seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
1,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4297861852895756
3,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4077522306375399
2,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4074096633968281
7,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3956621410539016
6,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4266587061561604
0,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4309231072028574
11,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4106135226232228
4,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4139800439461542
12,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4137250496869994
10,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,10,0.5,0.4129371645709408
34,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4026966584209315
22,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4260752301725439
38,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4128833210713237
43,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.43875670457809
23,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4291839770495657
15,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4118532044485993
47,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3879662631105322
31,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3931522631023484
39,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.422323024352713
19,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3887504613205114
46,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4173887096197286
14,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.3983246138481577
27,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4145090106817593
26,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4327761528094538
5,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4148342749309211
35,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4151797605898889
18,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4013616928132862
30,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3975850316934018
42,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4097924208266444
48,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3843432203972022
8,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4115132544678416
20,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4037544740068783
36,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,5,0.5,0.4200869213713552
40,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3953082864710193
44,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3926871039355021
32,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3887298004078712
24,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,10,0.5,0.4503743773389118
16,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,5,0.5,0.4237206845847391
9,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3985272661702605
25,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4356094110181623
13,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4342611520440982
28,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4390993516871601
29,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4113832377058437
21,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3901585082270266
45,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4297052726537966
33,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.4236712011423015
37,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.418588428499087
17,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.4024566751169419
49,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,0.5,0.415173497586516
41,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,0.5,0.3825956236296366
