seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
2,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4482303360180499
6,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4547096037325955
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.3944110876218457
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4336503825276272
5,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5362575642957016
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5067943048742782
7,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.5264760826579737
30,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4782259161419149
11,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4356272841329361
34,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4755022417872037
42,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4803744122692426
19,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4352933205502873
10,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4575643120573356
46,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4303024573113438
18,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4776018253575479
14,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4444737315048619
26,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5319814415021514
38,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4820747671160288
15,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4151895586807179
22,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.3597974781759074
41,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.544324403769972
40,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4722131433346587
27,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4171532134636344
39,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4939340755320285
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4550707411269342
47,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.5059838160331599
23,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.438538205034211
33,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.3965143276983615
43,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4271427400101739
31,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4127990411763459
36,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4667650475285667
13,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4893580046683007
35,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4176040377307038
25,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4865466167084566
44,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.5805622225803974
45,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4527657663358478
29,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4658153381721842
32,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4402056375785979
24,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5302206332785437
20,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4680466938862126
12,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.5129810517922014
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4936080595806003
17,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5089013969604604
48,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4908416148373838
49,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4075209653469423
21,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4416507786316271
16,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.5260708174481364
8,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4742801607643132
37,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4439015035835405
28,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.4434919621181102
