seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
0,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4763791716609925
15,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4697803934384217
6,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5,0.4686809488935665
14,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4571278461850658
3,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4552012592118081
2,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4483140210538423
1,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4659726035891452
19,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4444459380763838
47,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4348756895901398
18,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4494403624185508
7,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4374106179621783
22,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4645438469013787
30,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4815407246413785
23,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4444510509907259
34,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4665270707973448
10,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4670152512506453
42,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5,0.4644173982962314
27,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4916569711515864
46,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4593745581955634
39,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4371424303689399
35,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4476572013432112
43,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4654275930135825
31,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4434447185367012
26,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4738434785146375
11,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4785976573150677
38,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4472589950403295
17,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4946647849443449
4,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4767129379213234
9,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4558566723427174
36,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.5060872628766966
32,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4762437567464356
48,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4832976727511909
12,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4402234594824735
37,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5,0.473319903961708
16,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4472572292556029
24,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5,0.4488210161275271
45,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4340806409644057
20,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4321765765604636
8,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4536257968978631
40,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.448330473672097
29,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4539651317125311
28,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4736000600285588
13,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.484020980546725
44,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4618057382036706
21,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.453627866381169
49,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4855016556887381
25,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4562641291847424
5,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5,0.4291417036697496
41,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5,0.4687158095288359
33,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5,0.4609962199680896
