seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
6,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5365948282061239,0.4625663748358379
7,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4238504933869171,0.4773062233916154
2,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4948472012180038,0.4588662989899975
3,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5126134546796212,0.4657114729495449
1,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.4211019365111978,0.4727374235706443
0,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4862102132116611,0.4710591501210738
5,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.4818009889493795,0.4654433606596972
12,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5113589312783803,0.4622096916168914
4,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5028743721366672,0.4675314163677888
11,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5752645098010654,0.4594669807886229
15,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5148863169212283,0.4626683856540997
34,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5040365309537089,0.4667507132845037
46,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.512930477366728,0.465002016965532
22,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4699246874900881,0.4645220661249908
43,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5450839885211762,0.4645235096542884
42,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5667786170975158,0.4662457169088042
31,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5323555366651785,0.465107898832457
18,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4834009313970025,0.4776088140990245
10,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5583337537567838,0.461018264289752
23,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5330490148404354,0.4598563332477332
38,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5091569939347611,0.4607197845432879
14,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5093301049233252,0.4606544142587457
19,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5019825305852529,0.4619883987582333
35,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5076077976122211,0.4685437384435641
27,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5074984549981848,0.4658462389242752
