seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
3,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.649430574345099,0.4574274318497618
2,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6288499350959025,0.4444219485026908
1,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6070484256215328,0.4692763075966156
0,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6587127889344893,0.4487380399677512
4,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6547621018932495,0.4550118131990427
6,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6214839424141749,0.4452949988958344
7,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6392903964647894,0.4480906377836319
42,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6669617315058042,0.4492141225825268
46,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6881794649011949,0.4438580300909694
27,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6035850970371992,0.4682014593625943
15,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6557674266620288,0.4416565143420036
14,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6001884490493083,0.4433415615183457
5,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.7023368789413948,0.4145340843118166
43,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.639274263817819,0.4482056845967077
39,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6774666618955605,0.4290179498025072
30,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6266999312843577,0.4576223903072065
8,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6632646637222998,0.4406440027346294
47,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.669676087661374,0.4346353375080723
22,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6217003640515806,0.4477490473725937
19,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6536536977846357,0.4271101555504024
26,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6050443608176288,0.4623725502865041
18,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6597754856061053,0.4610356533481768
31,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.67117948988294,0.4339508098597814
11,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6328944548146576,0.4632673862949635
10,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6817998087673905,0.4493425779093241
35,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6900387118820202,0.4396248206527904
23,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6348411443997708,0.4345717526529858
34,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6585513712747642,0.4483874715086738
38,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6622463100401521,0.4351517463053803
32,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6206944638125785,0.4576387687670727
28,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6368449317852409,0.4538765462587955
20,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6730674255073964,0.4112214199095155
12,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6331539127488991,0.4398845335243541
44,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5997243853208669,0.4558705973285761
40,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6777760783114102,0.4234814610482524
36,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6240359066427289,0.4809547385533869
29,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6979504539252968,0.422418438611905
24,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6414570443937915,0.4310249494657569
49,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6332751872162079,0.4718300400087547
48,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6016659446701721,0.4564856508554794
16,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6721601486784669,0.4284992607838098
17,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5953172153635117,0.4675891967329437
25,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6319891844226894,0.4358017180167792
33,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6325628447559101,0.4497103944667177
9,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6726231065218451,0.4548530021782683
45,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6952506596306068,0.4207426698990226
37,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6471971479887282,0.4557657408797355
41,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6200353687324663,0.4508676204875965
13,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6067597225558161,0.4767479770119389
21,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6602542491923022,0.4458610101231694
