seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_rasch,rmse_rasch
2,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5790092724621569,0.446726094626178
6,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5564206944085466,0.4810639548173762
0,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5773792409430708,0.4761023097431536
4,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5832099045980417,0.4560991220657741
3,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5916220050441363,0.4583245424670249
22,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5611322146413424,0.4816578981839975
34,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5861434522761754,0.4356552810214886
10,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6050079935281314,0.4559847596365617
38,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.572193803489575,0.4612917427878629
46,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6054393464424812,0.4555604040930048
30,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5789859693877552,0.4433699283100065
26,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5716093628696919,0.4825333532111268
18,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6101163679605879,0.4421829546907098
14,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6356511236682051,0.435421160016154
42,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5684103097734732,0.4522316281470803
11,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6125567733584553,0.457928551035747
7,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5878844867937144,0.440086975740036
48,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6294841509641268,0.4214301943314779
43,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5601602505527424,0.4891023065131629
47,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.644699865598436,0.413214643191277
23,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5637196320768537,0.4771265225524834
31,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6231732168850073,0.428280312148483
5,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6054251922683735,0.4655301451873831
19,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6031859045557676,0.4260250233645892
15,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6035900302139275,0.4542759058172793
39,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5757459442983099,0.4755286117563754
35,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6192375292312734,0.4549402019746989
40,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6251566811499842,0.4332988182712924
36,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5789932331567741,0.4620459370347671
27,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5484872239510337,0.4647894755502325
44,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6243821439604572,0.4248781513401385
8,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5896364622897451,0.4558559041679722
32,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5464335518690234,0.4312843302178714
12,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6241740307300374,0.44990263587606
20,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5730979187990447,0.4482883105514776
24,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5288571504561291,0.5127357394310581
1,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5935779073534175,0.4747292951877013
16,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5586443810966104,0.4728059452810229
28,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.555872209048019,0.4920851434512308
29,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5934893641840043,0.4642522719280915
45,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5533333333333332,0.4858025464640969
25,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5632765861761314,0.489024260735293
13,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5945308511479748,0.478305895250459
21,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6202374834826017,0.4335910693936353
17,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5485056211730853,0.4538560757506765
37,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.581814840098724,0.463243856738263
33,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.612068696452816,0.4690282154959796
49,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.5706262879399755,0.453236599037615
9,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.5993330030784473,0.4417303127938488
41,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6128442536919961,0.41600541652995354
