n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.4,562,0.4738054098673858,0.5569155446756426,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,36,0.4,562,0.4640961252739575,0.6687830687830687,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3375487327575684, 1.265231728553772, 1.2750176191329956, 1.2794289588928223, 1.3088316917419434, 1.3357118368148804, 1.313498616218567, 1.3044908046722412, 1.2920539379119873, 1.3056621551513672, 1.2926969528198242, 1.246775507926941, 1.3423351049423218, 1.324437141418457, 1.3640214204788208, 1.34627103805542, 1.2920987606048584, 1.3033931255340576, 1.3171203136444092, 1.3160595893859863, 1.34401535987854, 1.3341201543807983, 1.2958824634552002, 1.2905691862106323, 1.3628594875335693, 1.2950263023376465, 1.2396399974822998, 1.273188591003418, 1.287855863571167, 1.2771782875061035]",pca,Pre-8
1,beta,8,0.4,562,0.4192049338004461,0.7948717948717949,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4154208898544312, 1.4532055854797363, 1.3634891510009766, 1.4979811906814575, 1.431746244430542, 1.3471184968948364, 1.5094964504241943, 1.4481476545333862, 1.4853191375732422, 1.446413278579712, 1.4719825983047485, 1.4471375942230225, 1.4488873481750488, 1.495734691619873, 1.3148887157440186, 1.4225969314575195, 1.5137768983840942, 1.2559260129928589, 1.4620566368103027, 1.3845345973968506, 1.4579044580459595, 1.4220900535583496, 1.4871350526809692, 1.3958024978637695, 1.3858637809753418, 1.4440181255340576, 1.4861476421356201, 1.3992894887924194, 1.5252691507339478, 1.4098966121673584]",pca,Pre-8
1,beta,44,0.4,562,0.4220787898337221,0.7563025210084034,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9860111474990845, 1.1039886474609375, 1.129960536956787, 1.0469284057617188, 1.1685291528701782, 1.1061657667160034, 1.0957787036895752, 1.0946592092514038, 1.1303874254226685, 1.0539087057113647, 1.157320499420166, 1.0760955810546875, 1.081154704093933, 1.1109867095947266, 1.0993475914001465, 1.0930873155593872, 1.0763169527053833, 1.1245037317276, 1.0562001466751099, 1.138781189918518, 1.1215274333953857, 1.1151748895645142, 1.0944544076919556, 1.0825670957565308, 1.0635533332824707, 1.129907250404358, 1.1573303937911987, 1.0884748697280884, 1.1787270307540894, 1.0975353717803955]",pca,Pre-8
1,beta,20,0.4,580,0.4679156825779083,0.5162561576354681,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2042185068130493, 1.3217545747756958, 1.3416807651519775, 1.3668268918991089, 1.2748359441757202, 1.207911491394043, 1.314447045326233, 1.3368662595748901, 1.316001534461975, 1.283284306526184, 1.255901575088501, 1.204626441001892, 1.2090281248092651, 1.2653337717056274, 1.352925419807434, 1.3093383312225342, 1.3154358863830566, 1.3498927354812622, 1.2858165502548218, 1.3329485654830933, 1.3722745180130005, 1.2285701036453247, 1.3113981485366821, 1.226274847984314, 1.2300950288772583, 1.2997397184371948, 1.2738916873931885, 1.3253097534179688, 1.3298410177230835, 1.301966905593872]",pca,Pre-8
1,beta,48,0.4,562,0.4269233051018227,0.6140350877192983,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5033968687057495, 1.4866180419921875, 1.3672194480895996, 1.4765270948410034, 1.4942302703857422, 1.4548513889312744, 1.4229092597961426, 1.470145583152771, 1.4723443984985352, 1.5070946216583252, 1.4636842012405396, 1.466706395149231, 1.3195185661315918, 1.476289987564087, 1.3604766130447388, 1.5025696754455566, 1.5218104124069214, 1.4801236391067505, 1.4393340349197388, 1.5111746788024902, 1.466194987297058, 1.4419124126434326, 1.4701842069625854, 1.4928604364395142, 1.4206326007843018, 1.483805537223816, 1.4506494998931885, 1.499928593635559, 1.4655400514602661, 1.4741265773773193]",pca,Pre-8
1,beta,4,0.4,562,0.5485483997519475,0.5862433862433862,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,28,0.4,562,0.437851900537384,0.638095238095238,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2131590843200684, 1.4891648292541504, 1.449499249458313, 1.1740610599517822, 1.2177081108093262, 1.5227876901626587, 1.5173755884170532, 1.1402291059494019, 1.16877281665802, 1.3696205615997314, 1.442578673362732, 1.5021579265594482, 1.4606761932373047, 1.1772849559783936, 1.5115472078323364, 1.1826057434082031, 1.4864646196365356, 1.5310207605361938, 1.524296522140503, 1.5150226354599, 1.5506360530853271, 1.5115611553192139, 1.4616525173187256, 1.471828818321228, 1.4030903577804565, 1.1695616245269775, 1.2037465572357178, 1.5258276462554932, 1.5135997533798218, 1.3990625143051147]",pca,Pre-8
1,beta,12,0.4,562,0.4357644636683158,0.5702380952380953,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3948088884353638, 1.3903613090515137, 1.4571982622146606, 1.439591646194458, 1.4098751544952393, 1.4286589622497559, 1.3038181066513062, 1.4432204961776733, 1.4469939470291138, 1.4200729131698608, 1.4326515197753906, 1.440371036529541, 1.4205102920532227, 1.4324501752853394, 1.4086049795150757, 1.4383262395858765, 1.4402997493743896, 1.4242316484451294, 1.35739004611969, 1.420792818069458, 1.349111557006836, 1.3930248022079468, 1.3787026405334473, 1.479496955871582, 1.4009920358657837, 1.4061098098754883, 1.4251755475997925, 1.3663488626480103, 1.4302338361740112, 1.3882849216461182]",pca,Pre-8
1,beta,32,0.4,562,0.4677920088933953,0.5920454545454545,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,24,0.4,568,0.4982206751935714,0.4989583333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4425292015075684, 1.5137851238250732, 1.3676307201385498, 1.4264791011810303, 1.0555529594421387, 1.3175967931747437, 1.4623074531555176, 1.4814797639846802, 1.4129505157470703, 1.376441240310669, 1.4499175548553467, 1.2218117713928223, 1.4506314992904663, 1.3211357593536377, 1.411719560623169, 1.5112417936325073, 1.406258225440979, 1.5249828100204468, 1.4376152753829956, 1.441521167755127, 1.4294142723083496, 1.4511816501617432, 1.5081286430358887, 1.5144058465957642, 1.4954830408096313, 1.3327628374099731, 1.3858124017715454, 1.4081807136535645, 1.4087597131729126, 1.4600598812103271]",pca,Pre-8
1,beta,16,0.4,569,0.5013763735991792,0.625615763546798,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,40,0.4,562,0.4379134608634434,0.6047008547008547,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.1753246784210205, 1.0903128385543823, 1.1553030014038086, 1.3241899013519287, 1.2039952278137207, 1.1647188663482666, 1.1705071926116943, 1.172689437866211, 1.1379988193511963, 1.2447230815887451, 1.1556425094604492, 1.2338651418685913, 1.1880683898925781, 1.1785303354263306, 1.1123327016830444, 1.1580291986465454, 1.2857167720794678, 1.1396329402923584, 1.1343859434127808, 1.1289113759994507, 1.1881344318389893, 1.1783065795898438, 1.1524816751480103, 1.1366976499557495, 1.144046425819397, 1.1769919395446777, 1.1907625198364258, 1.300362467765808, 1.1796281337738037, 1.1906870603561401]",pca,Pre-8
1,beta,10,0.4,562,0.4740975528298241,0.5723684210526316,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5934290885925293, 1.4822866916656494, 1.514672875404358, 1.6074680089950562, 1.5653280019760132, 1.5911086797714233, 1.5888060331344604, 1.512557864189148, 1.5198990106582642, 1.5550224781036377, 1.4799573421478271, 1.553591251373291, 1.4701429605484009, 1.5365500450134277, 1.4296307563781738, 1.5031583309173584, 1.6128337383270264, 1.3352947235107422, 1.5530118942260742, 1.5297878980636597, 1.4311954975128174, 1.560378074645996, 1.598258376121521, 1.5826267004013062, 1.3749058246612549, 1.247672200202942, 1.2905685901641846, 1.5814852714538574, 1.3441113233566284, 1.4677646160125732]",pca,Pre-8
1,beta,19,0.4,562,0.4101549602669919,0.634453781512605,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.497351050376892, 1.5095494985580444, 1.4179604053497314, 1.430503249168396, 1.4432145357131958, 1.5083132982254028, 1.3293222188949585, 1.5187358856201172, 1.3744535446166992, 1.4710255861282349, 1.4942163228988647, 1.394352674484253, 1.383931040763855, 1.4784283638000488, 1.4991250038146973, 1.3381023406982422, 1.5490857362747192, 1.2023553848266602, 1.468743085861206, 1.533505916595459, 1.307821273803711, 1.5324244499206543, 1.4562519788742065, 1.5231157541275024, 1.475333333015442, 1.5212939977645874, 1.462078332901001, 1.4319519996643066, 1.4802745580673218, 1.5147191286087036]",pca,Pre-8
1,beta,30,0.4,566,0.4617068610298544,0.7264705882352942,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,14,0.4,562,0.5092784848662162,0.7226890756302521,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,6,0.4,562,0.4472717717843606,0.6392543859649122,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3201727867126465, 1.3620431423187256, 1.3137125968933105, 1.259124755859375, 1.2374542951583862, 1.2640408277511597, 1.3584498167037964, 1.2764912843704224, 1.3253040313720703, 1.2724634408950806, 1.2376147508621216, 1.203501582145691, 1.3716983795166016, 1.3178117275238037, 1.3515708446502686, 1.187434196472168, 1.2598894834518433, 1.260206699371338, 1.2758457660675049, 1.3120840787887573, 1.22030770778656, 1.3759028911590576, 1.2068663835525513, 1.2692551612854004, 1.2835360765457153, 1.2807539701461792, 1.2139865159988403, 1.222380518913269, 1.2698407173156738, 1.2277191877365112]",pca,Pre-8
1,beta,3,0.4,562,0.443324654853939,0.6008403361344538,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.1494472026824951, 1.173996090888977, 1.1983801126480103, 1.127820611000061, 1.1601611375808716, 1.2098640203475952, 1.1629352569580078, 1.1439257860183716, 1.1536586284637451, 1.2262630462646484, 1.16327965259552, 1.0774195194244385, 1.1870208978652954, 1.2096099853515625, 1.190382480621338, 1.137865662574768, 1.3474079370498657, 1.18844473361969, 1.1692591905593872, 1.1321814060211182, 1.090339183807373, 1.1740658283233643, 1.1482949256896973, 1.3533486127853394, 1.2128856182098389, 1.2256090641021729, 1.190036416053772, 1.1563827991485596, 1.1433568000793457, 1.1915991306304932]",pca,Pre-8
1,beta,18,0.4,562,0.432241703118189,0.5526315789473684,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.480475902557373, 1.4357730150222778, 1.5182377099990845, 1.4908435344696045, 1.4994875192642212, 1.4234895706176758, 1.481500506401062, 1.4806748628616333, 1.3927372694015503, 1.4836454391479492, 1.4891451597213745, 1.4723083972930908, 1.1959425210952759, 1.3684971332550049, 1.5122814178466797, 1.4799662828445435, 1.3893733024597168, 1.472406268119812, 1.4462037086486816, 1.2397996187210083, 1.4561339616775513, 1.474194884300232, 1.532977819442749, 1.5107369422912598, 1.4604802131652832, 1.1610032320022583, 1.523476243019104, 1.4922682046890259, 1.4265185594558716, 1.4884614944458008]",pca,Pre-8
1,beta,31,0.4,562,0.4764118894629214,0.5913865546218487,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,42,0.4,562,0.5077474112245124,0.5979166666666667,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,22,0.4,562,0.4314857135885245,0.6969696969696969,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4493153095245361, 1.4613499641418457, 1.4264717102050781, 1.4196650981903076, 1.385370135307312, 1.412145733833313, 1.4315598011016846, 1.3075956106185913, 1.377870798110962, 1.449889063835144, 1.3017406463623047, 1.4266653060913086, 1.433464527130127, 1.4064608812332153, 1.3832130432128906, 1.422688603401184, 1.417793869972229, 1.4620778560638428, 1.424542784690857, 1.4723732471466064, 1.4122645854949951, 1.4203598499298096, 1.3858954906463623, 1.400543451309204, 1.4500728845596313, 1.4527380466461182, 1.3122669458389282, 1.4250646829605103, 1.415844202041626, 1.453079342842102]",pca,Pre-8
1,beta,34,0.4,562,0.3458881529577412,0.8177083333333334,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4826836585998535, 1.0512161254882812, 1.3811137676239014, 1.1231404542922974, 1.407964825630188, 1.441390037536621, 1.5759516954421997, 1.3939316272735596, 1.5529042482376099, 0.9853177070617676, 1.461470603942871, 1.4601187705993652, 1.4536736011505127, 1.5293807983398438, 1.542449951171875, 1.4202029705047607, 1.4679120779037476, 1.5501691102981567, 1.5580072402954102, 1.512705683708191, 1.5051605701446533, 1.504244327545166, 1.5373693704605103, 1.4048502445220947, 1.4750957489013672, 1.5476185083389282, 1.386308193206787, 1.475272297859192, 1.4739599227905273, 1.3037474155426025]",pca,Pre-8
1,beta,38,0.4,562,0.4191421544312857,0.6793145654834761,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-8
1,beta,7,0.4,562,0.4267523653917957,0.732972972972973,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3686504364013672, 1.362472653388977, 1.2712615728378296, 1.2528407573699951, 1.308637022972107, 1.2522081136703491, 1.2344988584518433, 1.268226146697998, 1.2314292192459106, 1.333332896232605, 1.3347333669662476, 1.3747670650482178, 1.2876914739608765, 1.3467422723770142, 1.2124429941177368, 1.3412684202194214, 1.2829231023788452, 1.2069905996322632, 1.3677853345870972, 1.3102221488952637, 1.278221607208252, 1.2820085287094116, 1.3679943084716797, 1.3104314804077148, 1.189282774925232, 1.2934962511062622, 1.3579740524291992, 1.3109062910079956, 1.1871041059494019, 1.3912632465362549]",pca,Pre-8
