n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.0159,23500,0.4269198845351081,0.7632717327683287,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5915777683258057, 2.350477695465088, 2.4032633304595947, 2.348487138748169, 2.3256635665893555, 2.579686403274536, 2.8198561668395996, 2.6944713592529297, 2.48217511177063, 2.491034746170044, 2.5300564765930176, 2.79721999168396, 2.4159023761749268, 2.4023842811584473, 2.7341995239257812, 2.338848114013672, 2.3512730598449707, 2.7913904190063477, 2.4187240600585938, 2.6633448600769043, 2.4107155799865723, 2.5951457023620605, 2.6857590675354004, 2.482887029647827, 2.814483404159546, 2.6795883178710938, 2.408050537109375, 2.4877021312713623, 2.430914878845215, 2.5402157306671143]",pca,Pre-max
1,beta,28,0.0159,23472,0.4376485436171987,0.7376256937879322,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7904598712921143, 2.6515538692474365, 2.727679491043091, 2.7160253524780273, 2.652264356613159, 2.591047763824463, 2.53395938873291, 2.53165602684021, 2.366417407989502, 2.4032626152038574, 2.7517924308776855, 2.6540985107421875, 2.813046932220459, 2.592668056488037, 2.5363056659698486, 2.6353747844696045, 2.531604766845703, 2.6314146518707275, 2.4240643978118896, 2.4741857051849365, 2.6729180812835693, 2.486377716064453, 2.3299624919891357, 2.2754921913146973, 2.517899990081787, 2.4903485774993896, 2.494044780731201, 2.6609208583831787, 2.54050874710083, 2.314741611480713]",pca,Pre-max
1,beta,1,0.0159,23406,0.4368533055126609,0.7251579515101705,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4818084239959717, 2.404945135116577, 2.4219582080841064, 2.7050631046295166, 2.597848415374756, 2.6309900283813477, 2.565162181854248, 2.3946597576141357, 2.4530117511749268, 2.578482151031494, 2.5765109062194824, 2.305286407470703, 2.6084935665130615, 2.3174755573272705, 2.361015796661377, 2.670806884765625, 2.3345892429351807, 2.3843162059783936, 2.540593147277832, 2.7077584266662598, 2.512572765350342, 2.3396923542022705, 2.3013317584991455, 2.6312906742095947, 2.6185643672943115, 2.6769979000091553, 2.267979621887207, 2.6505470275878906, 2.5901851654052734, 2.5755927562713623]",pca,Pre-max
1,beta,4,0.0159,23514,0.4667019128971119,0.6969262295081967,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.641826629638672, 2.3688013553619385, 2.3709542751312256, 2.307185411453247, 2.3612568378448486, 2.3818752765655518, 2.675787925720215, 2.3118698596954346, 2.669684886932373, 2.291548728942871, 2.5271644592285156, 2.6146490573883057, 2.402987480163574, 2.7018940448760986, 2.725398063659668, 2.3489491939544678, 2.4416754245758057, 2.669252634048462, 2.608283758163452, 2.263861656188965, 2.7282090187072754, 2.6911046504974365, 2.3818347454071045, 2.629160165786743, 2.7462024688720703, 2.4694883823394775, 2.3403329849243164, 2.7096874713897705, 2.76460337638855, 2.6444098949432373]",pca,Pre-max
1,beta,16,0.0159,23340,0.419149300235727,0.7545189504373178,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.451914072036743, 2.2652511596679688, 2.3827919960021973, 2.4854891300201416, 2.291688919067383, 2.3011884689331055, 2.3985443115234375, 2.6177330017089844, 2.3959264755249023, 2.673076629638672, 2.6989502906799316, 2.4455974102020264, 2.738685131072998, 2.677677631378174, 2.559866428375244, 2.302091360092163, 2.6185336112976074, 2.575551986694336, 2.549619197845459, 2.161529064178467, 2.6540536880493164, 2.337106704711914, 2.6407809257507324, 2.57798433303833, 2.6255452632904053, 2.410207748413086, 2.62268328666687, 2.556048631668091, 2.6280202865600586, 2.627453327178955]",pca,Pre-max
1,beta,44,0.0159,23458,0.4585003999908017,0.6880781548181217,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5522983074188232, 2.3681867122650146, 2.43681263923645, 2.632835865020752, 2.6162657737731934, 2.3936781883239746, 2.612978458404541, 2.4280824661254883, 2.276507616043091, 2.3845973014831543, 2.2960715293884277, 2.435601234436035, 2.548903226852417, 2.673036813735962, 2.4996657371520996, 2.362809181213379, 2.5820388793945312, 2.423078775405884, 2.37575364112854, 2.755065441131592, 2.560818910598755, 2.514172077178955, 2.412097692489624, 2.7072370052337646, 2.7385690212249756, 2.7406516075134277, 2.6508188247680664, 2.5967042446136475, 2.471482753753662, 2.5675530433654785]",pca,Pre-max
1,beta,40,0.0159,23354,0.4147147313873935,0.757016034465178,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.570502281188965, 2.6563053131103516, 2.357024669647217, 2.3271467685699463, 2.396087169647217, 2.601199150085449, 2.312206268310547, 2.5787363052368164, 2.4427521228790283, 2.3903961181640625, 2.485297918319702, 2.616042375564575, 2.523977279663086, 2.7104053497314453, 2.571558952331543, 2.5773448944091797, 2.550656795501709, 2.5198230743408203, 2.5586068630218506, 2.5742924213409424, 2.5404481887817383, 2.4356281757354736, 2.6073267459869385, 2.400758743286133, 2.6351706981658936, 2.5889382362365723, 2.5651655197143555, 2.390320301055908, 2.4912235736846924, 2.3651604652404785]",pca,Pre-max
1,beta,8,0.0159,23284,0.428666305825619,0.7435410371145205,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6232709884643555, 2.7045042514801025, 2.281177043914795, 2.5365335941314697, 2.6767232418060303, 2.666560649871826, 2.4076030254364014, 2.776707887649536, 2.463470935821533, 2.7571229934692383, 2.4371755123138428, 2.384652614593506, 2.458390235900879, 2.685349464416504, 2.7734487056732178, 2.5864627361297607, 2.2887070178985596, 2.338087320327759, 2.6851999759674072, 2.817868709564209, 2.6348862648010254, 2.2987422943115234, 2.662708282470703, 2.468021869659424, 2.591804265975952, 2.7637412548065186, 2.6852004528045654, 2.46097731590271, 2.4493260383605957, 2.642601728439331]",pca,Pre-max
1,beta,20,0.0159,23476,0.417124224804097,0.7339645410503046,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4975082874298096, 2.8618714809417725, 2.7106034755706787, 2.8256607055664062, 2.6205902099609375, 2.535095453262329, 2.4757590293884277, 2.55415678024292, 2.593029260635376, 2.4642186164855957, 2.945173978805542, 2.4937644004821777, 2.594179630279541, 2.7638180255889893, 2.460023880004883, 2.496901273727417, 2.4977927207946777, 2.6094319820404053, 2.5843801498413086, 2.516098976135254, 2.619281053543091, 2.7168824672698975, 2.885249614715576, 2.8202455043792725, 2.67535400390625, 2.791229486465454, 2.8797523975372314, 2.7038280963897705, 2.5645911693573, 2.3853507041931152]",pca,Pre-max
1,beta,24,0.0159,23420,0.4398457447501392,0.699932839465972,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4585418701171875, 2.4034926891326904, 2.572195529937744, 2.531871795654297, 2.565662145614624, 2.5771820545196533, 2.6535816192626953, 2.4537558555603027, 2.5763797760009766, 2.499662160873413, 2.3249199390411377, 2.3742055892944336, 2.5671045780181885, 2.3133046627044678, 2.534984588623047, 2.4565649032592773, 2.5860238075256348, 2.6353633403778076, 2.714958429336548, 2.491999387741089, 2.5637474060058594, 2.401829957962036, 2.511402130126953, 2.673722982406616, 2.443697929382324, 2.3843235969543457, 2.583228349685669, 2.4793903827667236, 2.3986387252807617, 2.338015556335449]",pca,Pre-max
