seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
0,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.3051857948303222,0.3675284385681152,0.4233807921409607,0.0,0.471572231902661,0.2223803796293619,0.8314732907708791,0.5591520726680757,0.4391520738601684,0.6176689982414245,0.647374963760376,0.3333333333333333,0.5768880757082596,0.3327998447775446,1.2198311831858497,0.5753124445676804,0.4553124457597732,0.816660898923874,0.8545955806970595
0,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.3963576257228851,0.3675284385681152,0.4233807921409607,0.5,0.2881440831358476,0.0830270142741822,0.6143106235945006,0.4540640513102213,0.2458807925383249,0.3949809730052948,0.4266550868749618,0.5,0.2942362514644869,0.0865749691915395,0.4545464632929922,0.3445144742727279,0.2786065191030502,0.3488562285900116,0.3499971494078636
0,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.487872838973999,0.3675284385681152,0.4233807921409607,0.5,0.5577019996079167,0.3110315345889951,0.8281656285055079,0.5305725932121277,0.5305725932121277,0.6680335879325867,0.6852162122726441,0.5,0.9475897165766212,0.8979262682726734,3.363367267581894,0.9467240246012808,0.9467240246012808,0.9791204640641809,0.9831700189970434
36,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.3321706652641296,0.3674501478672027,0.4253580570220947,1.0,0.4629199827517799,0.2142949162266099,0.6164197722601649,0.4424137949943543,0.4424137949943542,0.6062343835830688,0.6133957862854004,0.6666666666666667,0.490446462765901,0.240537741866332,0.7928066637982389,0.3731554985046387,0.3731554985046387,0.7688739776611329,0.8539981484413146
36,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.4059108197689056,0.3674501478672027,0.4253580570220947,0.0,0.4991423433482931,0.2491431164993076,1.018185528644843,0.6384678184986115,0.4718011493484179,0.6053215309977531,0.6119598917663097,0.5,0.4540575067622337,0.2061682223123967,1.2107509738213222,0.5827063818772633,0.4160397127270698,0.5599333941936493,0.5653468370437622
36,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.4414101839065552,0.3674501478672027,0.4253580570220947,0.0,0.5757145246458251,0.3314472309991952,0.8891930330289507,0.5133747681975365,0.5133747681975365,0.7218259379267693,0.7478823341429234,1.0,0.6065405925900114,0.367891510560584,0.998838266553846,0.4579190872609615,0.4579190872609615,0.7761156253516674,0.8158901926130055
20,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.351583868265152,0.385875403881073,0.4837817847728729,0.25,0.5753653360831928,0.3310452767316142,0.8748590453213729,0.552704918384552,0.552704918384552,0.7168593287467957,0.7511050939559936,0.5,0.5627114375411442,0.3166441771770423,0.8895183647501688,0.468680153042078,0.468680153042078,0.8030878305435181,0.853712260723114
20,0.064,1,beta,4,0.1,pca,raw,moderate,1,3,3,0.4294248521327972,0.385875403881073,0.4837817847728729,1.0,0.3791432180420142,0.1437495855934546,0.5808654224119252,0.4392496248086293,0.3125119904677073,0.4764827191829681,0.4807032197713852,0.0,0.7360476255531071,0.5417661175562384,1.9180017936848777,0.8503766159216563,0.7170432905356089,0.8463026314973832,0.8504216685891152
20,0.064,1,beta,4,0.1,pca,raw,outlier,2,2,2,0.529470682144165,0.385875403881073,0.4837817847728729,1.0,0.4535231321043721,0.2056832384275009,0.6041635514963486,0.4532036930322647,0.4532036930322647,0.4668190032243728,0.4685209169983864,1.0,0.3716095802631524,0.138093663480921,0.3996747922258738,0.2905782088637352,0.2905782088637352,0.4758917257189751,0.49905591532588
24,0.064,1,beta,4,0.1,pca,raw,inlier,0,5,5,0.2944754064083099,0.3373364806175232,0.4457640647888183,0.6666666666666666,0.4257117223405286,0.1812304777328595,0.6597898183954465,0.4758435368537902,0.4158435344696045,0.511574798822403,0.5309427201747894,0.5,0.5759606701665663,0.3317307177203504,0.9406539960275128,0.5300186336040498,0.501093178987503,0.8212267339229584,0.8422012567520142
