n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,94,0.7517530695348601,0.25,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.787548542022705, 4.845381259918213, 4.747349739074707, 4.873265266418457, 4.761025428771973, 4.856789588928223, 4.7811150550842285, 4.702563285827637, 4.666321277618408, 4.735278129577637, 4.809471607208252, 4.9139180183410645, 4.826782703399658, 4.961475849151611, 4.8293890953063965, 4.818130016326904, 4.695297718048096, 4.854923725128174, 4.646557331085205, 4.802720546722412, 4.789797306060791, 4.800914764404297, 4.68750524520874, 4.746728420257568, 4.922702312469482, 4.753329753875732, 4.742424964904785, 4.635342121124268, 4.656174182891846, 4.891903877258301]",sae,Pre-4
1,beta,1,0.002,94,0.7708169875259071,0.2083333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.924846172332764, 4.771420001983643, 4.922820091247559, 4.897711753845215, 4.888869285583496, 4.977849960327148, 4.899604797363281, 5.004113674163818, 4.981598854064941, 4.683885097503662, 4.65945291519165, 4.766446113586426, 4.73099422454834, 4.845901966094971, 4.621809005737305, 4.924432277679443, 4.820443153381348, 5.0103888511657715, 4.675750732421875, 4.871223449707031, 4.7030205726623535, 4.863955974578857, 4.811399936676025, 4.779689311981201, 4.792214393615723, 4.992030620574951, 4.628209590911865, 4.921154499053955, 4.7602763175964355, 4.834845066070557]",sae,Pre-4
1,beta,20,0.015,97,0.5250271812850305,0.5416666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.190462589263916, 4.217170715332031, 4.118312358856201, 4.170394420623779, 4.157613277435303, 4.165439128875732, 4.039795398712158, 4.050117015838623, 4.086155414581299, 4.231131553649902, 4.105190277099609, 4.1255412101745605, 4.2187395095825195, 4.169563293457031, 4.219429016113281, 4.061220169067383, 4.201578617095947, 4.072867393493652, 4.0861921310424805, 4.175960540771484, 4.0639967918396, 4.138441562652588, 4.160867214202881, 4.0748491287231445, 4.014216423034668, 4.102529525756836, 4.203144073486328, 4.105571746826172, 4.0785112380981445, 4.208793640136719]",sae,Pre-4
1,beta,0,0.02,94,0.7482939230036301,0.25,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.35175085067749, 4.397144317626953, 4.302072525024414, 4.430469989776611, 4.320578575134277, 4.408580780029297, 4.33120584487915, 4.251560211181641, 4.2150421142578125, 4.296727180480957, 4.363224029541016, 4.466660499572754, 4.383671283721924, 4.516322612762451, 4.388448238372803, 4.373804092407227, 4.24257755279541, 4.414482116699219, 4.201870918273926, 4.361301898956299, 4.338332176208496, 4.359086513519287, 4.238251686096191, 4.3025360107421875, 4.48685359954834, 4.307053089141846, 4.293106555938721, 4.191521644592285, 4.2107954025268555, 4.450167655944824]",sae,Pre-4
1,beta,21,0.015,97,0.6348560210198495,0.48,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.280179023742676, 4.158365249633789, 4.084489345550537, 4.063900947570801, 4.174264430999756, 4.103107929229736, 4.013731002807617, 4.125190734863281, 4.175669193267822, 4.127362251281738, 4.220438480377197, 4.190774917602539, 4.073971748352051, 4.1120500564575195, 4.015170097351074, 4.026235103607178, 4.047155380249023, 4.138454914093018, 4.157700538635254, 4.192842483520508, 4.1039581298828125, 4.187014579772949, 4.184196949005127, 4.185849189758301, 4.046695709228516, 4.217171669006348, 4.139590263366699, 3.9941210746765137, 4.036137104034424, 4.2340874671936035]",sae,Pre-4
1,beta,1,0.02,94,0.7699845813470797,0.2083333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.481720447540283, 4.326102256774902, 4.486035346984863, 4.452330112457275, 4.452023029327393, 4.534475326538086, 4.46339750289917, 4.569127559661865, 4.538656234741211, 4.232649326324463, 4.215726852416992, 4.320939064025879, 4.2849321365356445, 4.40533971786499, 4.172600269317627, 4.47632360458374, 4.369998455047607, 4.573137283325195, 4.2283220291137695, 4.430448532104492, 4.2575249671936035, 4.420517444610596, 4.369142055511475, 4.335636138916016, 4.343174934387207, 4.546607494354248, 4.178293704986572, 4.481321811676025, 4.309245586395264, 4.383434295654297]",sae,Pre-4
1,beta,26,0.0151,94,0.6517914587017819,0.56,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.087337017059326, 4.201583385467529, 4.18646240234375, 4.08665132522583, 4.253572463989258, 4.146897792816162, 4.1242265701293945, 4.168266773223877, 4.228663921356201, 4.27880859375, 3.8859188556671143, 4.134676933288574, 3.9813873767852783, 4.25924015045166, 3.9453952312469482, 4.05119514465332, 3.925281524658203, 4.037464618682861, 4.243592262268066, 4.032573223114014, 4.089545249938965, 3.9790475368499756, 4.047542095184326, 4.181186676025391, 4.213447093963623, 3.98585844039917, 3.992093801498413, 4.156399250030518, 3.99501371383667, 3.962219715118408]",sae,Pre-4
1,beta,2,0.01,94,0.3668078428016008,1.0,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.240776062011719, 4.261244297027588, 4.3142409324646, 4.268282890319824, 4.140529632568359, 4.2508015632629395, 4.273235321044922, 4.297241687774658, 4.296566486358643, 4.18449068069458, 4.294949054718018, 4.273456573486328, 4.175050735473633, 4.358720779418945, 4.283771514892578, 4.218700408935547, 4.208448886871338, 4.294543743133545, 4.292206764221191, 4.345707893371582, 4.231143474578857, 4.198453426361084, 4.206347942352295, 4.270659446716309, 4.250938415527344, 4.372679233551025, 4.288299083709717, 4.1159186363220215, 4.121272563934326, 4.401397705078125]",sae,Pre-4
1,beta,34,0.004,94,0.5543370819026222,0.1666666666666666,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.572094917297363, 4.648544788360596, 4.69219970703125, 4.588661193847656, 4.684180736541748, 4.765448093414307, 4.665811538696289, 4.609538555145264, 4.627024173736572, 4.675837993621826, 4.645322799682617, 4.593148708343506, 4.602540016174316, 4.648191452026367, 4.647704601287842, 4.659018039703369, 4.808151721954346, 4.594400405883789, 4.710906505584717, 4.61981725692749, 4.5838751792907715, 4.6722307205200195, 4.771772861480713, 4.674017906188965, 4.6269073486328125, 4.649112224578857, 4.644720554351807, 4.638638973236084, 4.507187843322754, 4.613332271575928]",sae,Pre-4
1,beta,18,0.006,94,0.4307581826814897,0.75,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.545456886291504, 4.397348880767822, 4.641937732696533, 4.420942306518555, 4.582756519317627, 4.53200101852417, 4.435360431671143, 4.63010835647583, 4.505415439605713, 4.491776943206787, 4.500152587890625, 4.541260719299316, 4.405930995941162, 4.517349720001221, 4.485439777374268, 4.398741722106934, 4.351330757141113, 4.4645538330078125, 4.374073505401611, 4.2464399337768555, 4.3564133644104, 4.386246204376221, 4.498400688171387, 4.443912982940674, 4.272457599639893, 4.545110702514648, 4.570584297180176, 4.455996990203857, 4.478950500488281, 4.4201531410217285]",sae,Pre-4
