seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,16,1.0,raw,16,0.62879064669346,0.5244202569066477
1,beta,1,16,1.0,raw,16,0.6018702651515151,0.4929636935354098
10,beta,1,16,1.0,raw,16,0.6398985629754861,0.4992446259909933
11,beta,1,16,1.0,raw,16,0.5525793650793651,0.5026697764949745
12,beta,1,16,1.0,raw,16,0.594515065913371,0.4648386530236086
13,beta,1,16,1.0,raw,16,0.5729638554216867,0.5432483858662978
14,beta,1,16,1.0,raw,16,0.5714805995237429,0.4844113459332895
15,beta,1,16,1.0,raw,16,0.5525876858558902,0.5047581295513174
16,beta,1,16,1.0,raw,16,0.6118122160524987,0.4937124696785209
17,beta,1,16,1.0,raw,16,0.6239036144578313,0.5474131524866578
18,beta,1,16,1.0,raw,16,0.6268996402613611,0.4666183481434638
19,beta,1,16,1.0,raw,16,0.6334510842900598,0.4700946436359189
2,beta,1,16,1.0,raw,16,0.5692129804187718,0.4766091808532173
20,beta,1,16,1.0,raw,16,0.6297548605240912,0.4659756095698047
21,beta,1,16,1.0,raw,16,0.6450361445783133,0.5208039434406009
22,beta,1,16,1.0,raw,16,0.6000278629144609,0.5308466670499112
23,beta,1,16,1.0,raw,16,0.622093023255814,0.481380512449667
24,beta,1,16,1.0,raw,16,0.5917173887098699,0.4809250564403037
25,beta,1,16,1.0,raw,16,0.560234637157714,0.4916855508065734
26,beta,1,16,1.0,raw,16,0.6061549870226177,0.5031055624388021
27,beta,1,16,1.0,raw,16,0.5502279851809633,0.5033024563802756
28,beta,1,16,1.0,raw,16,0.5637254901960784,0.5477539628345598
29,beta,1,16,1.0,raw,16,0.5579870915691811,0.5181627822095207
3,beta,1,16,1.0,raw,16,0.5554876590770211,0.4749065144046088
30,beta,1,16,1.0,raw,16,0.5901159908793497,0.5186122136795882
31,beta,1,16,1.0,raw,16,0.5727272727272728,0.5032388866256788
32,beta,1,16,1.0,raw,16,0.5667364433811802,0.4943803650460013
33,beta,1,16,1.0,raw,16,0.6002327893498872,0.5597957669519542
34,beta,1,16,1.0,raw,16,0.5980404631632522,0.5381999094148955
35,beta,1,16,1.0,raw,16,0.5907097288676236,0.4724018578809369
36,beta,1,16,1.0,raw,16,0.5951386471748463,0.5125476152119145
37,beta,1,16,1.0,raw,16,0.600870620138443,0.6077370025503426
38,beta,1,16,1.0,raw,16,0.5695458875833599,0.4686209501008553
39,beta,1,16,1.0,raw,16,0.5840457922299355,0.4804871873496961
4,beta,1,16,1.0,raw,16,0.6118467782851345,0.51905439477296
40,beta,1,16,1.0,raw,16,0.5761834319526626,0.4664174696756529
41,beta,1,16,1.0,raw,16,0.6004267804747933,0.4958654914840535
42,beta,1,16,1.0,raw,16,0.6192390889426136,0.4866490664739776
43,beta,1,16,1.0,raw,16,0.5474365234375,0.5101549262457552
44,beta,1,16,1.0,raw,16,0.5677765843179376,0.5571136873725889
45,beta,1,16,1.0,raw,16,0.58694719786504,0.5250713981035191
46,beta,1,16,1.0,raw,16,0.5830796549974632,0.468867414392278
47,beta,1,16,1.0,raw,16,0.5667126225490196,0.496209183727145
48,beta,1,16,1.0,raw,16,0.5552815649081209,0.4877836820312182
49,beta,1,16,1.0,raw,16,0.6095489807405232,0.5311729150832887
5,beta,1,16,1.0,raw,16,0.5870501201265492,0.4816912628309976
6,beta,1,16,1.0,raw,16,0.5961019527033657,0.5069065816520846
7,beta,1,16,1.0,raw,16,0.6175704656862745,0.5203844106658502
8,beta,1,16,1.0,raw,16,0.5657642089093702,0.5013125596045818
9,beta,1,16,1.0,raw,16,0.6183284419395891,0.4646405168445904
