seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,4,0.5,raw,4,0.6815476190476191,0.4459180896921442
1,beta,1,4,0.5,raw,4,0.3925925925925925,0.459242906197929
10,beta,1,4,0.5,raw,4,0.4482758620689655,0.4422069646372698
11,beta,1,4,0.5,raw,4,0.6140350877192983,0.4713580217432122
12,beta,1,4,0.5,raw,4,0.28125,0.5000745002556811
13,beta,1,4,0.5,raw,4,0.5625,0.4474238319946994
14,beta,1,4,0.5,raw,4,0.568215892053973,0.4462551212551199
15,beta,1,4,0.5,raw,4,0.5592203898050975,0.4980200666804564
16,beta,1,4,0.5,raw,4,0.3377777777777778,0.475831346426967
17,beta,1,4,0.5,raw,4,0.5461309523809524,0.4532054961165024
18,beta,1,4,0.5,raw,4,0.5392592592592593,0.4982543214092822
19,beta,1,4,0.5,raw,4,0.6133333333333334,0.4749028903425406
2,beta,1,4,0.5,raw,4,0.4696969696969697,0.4512860372529931
20,beta,1,4,0.5,raw,4,0.4823348694316436,0.4809482012097903
21,beta,1,4,0.5,raw,4,0.6355555555555554,0.4743452082641148
22,beta,1,4,0.5,raw,4,0.6581709145427286,0.46135862154377
23,beta,1,4,0.5,raw,4,0.5277777777777777,0.5273554482751942
24,beta,1,4,0.5,raw,4,0.4921874999999999,0.4714346460445416
25,beta,1,4,0.5,raw,4,0.3741830065359477,0.4560303446707728
26,beta,1,4,0.5,raw,4,0.4859375,0.4739672866087419
27,beta,1,4,0.5,raw,4,0.2857142857142857,0.4989527971468928
28,beta,1,4,0.5,raw,4,0.4533333333333333,0.4930785605461952
29,beta,1,4,0.5,raw,4,0.4385185185185185,0.4658053253769851
3,beta,1,4,0.5,raw,4,0.6225490196078431,0.4222913735979465
30,beta,1,4,0.5,raw,4,0.4208909370199693,0.4675898022257168
31,beta,1,4,0.5,raw,4,0.5982008995502248,0.4435925815643476
32,beta,1,4,0.5,raw,4,0.5984375,0.4495971578600248
33,beta,1,4,0.5,raw,4,0.6033834586466165,0.4662203560474275
34,beta,1,4,0.5,raw,4,0.5163690476190477,0.4855939233132604
35,beta,1,4,0.5,raw,4,0.5277777777777778,0.4089268561051791
36,beta,1,4,0.5,raw,4,0.6130952380952381,0.4466801772221264
37,beta,1,4,0.5,raw,4,0.4864864864864865,0.4686227625775389
38,beta,1,4,0.5,raw,4,0.365925925925926,0.469044926369446
39,beta,1,4,0.5,raw,4,0.6620583717357911,0.4100337981040294
4,beta,1,4,0.5,raw,4,0.5119047619047619,0.4269752734024528
40,beta,1,4,0.5,raw,4,0.4657097288676236,0.4428614875062852
41,beta,1,4,0.5,raw,4,0.6045454545454546,0.4293851482241556
42,beta,1,4,0.5,raw,4,0.5550239234449761,0.4329775306254584
43,beta,1,4,0.5,raw,4,0.5863095238095238,0.4342679804415961
44,beta,1,4,0.5,raw,4,0.5515151515151515,0.451822892847711
45,beta,1,4,0.5,raw,4,0.6056971514242878,0.4618797370141208
46,beta,1,4,0.5,raw,4,0.5502248875562219,0.4479414984746955
47,beta,1,4,0.5,raw,4,0.593939393939394,0.4612805657739309
48,beta,1,4,0.5,raw,4,0.4827586206896551,0.46362642163439
49,beta,1,4,0.5,raw,4,0.4127218934911242,0.4682022072821091
5,beta,1,4,0.5,raw,4,0.5427286356821589,0.4698123972421838
6,beta,1,4,0.5,raw,4,0.5610119047619049,0.4724856297260507
7,beta,1,4,0.5,raw,4,0.44,0.470075101280029
8,beta,1,4,0.5,raw,4,0.5578125,0.4580412081843358
9,beta,1,4,0.5,raw,4,0.4673202614379085,0.4317675442756324
