seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,16,0.3,raw,16,0.6382978723404256,0.4314021319034249
1,beta,1,16,0.3,raw,16,0.6044407894736842,0.4187872706381073
10,beta,1,16,0.3,raw,16,0.5542837322233785,0.4830850837868394
11,beta,1,16,0.3,raw,16,0.6669479606188466,0.430772573074439
12,beta,1,16,0.3,raw,16,0.6101190476190477,0.4255523591364881
13,beta,1,16,0.3,raw,16,0.5766526019690577,0.4758952582055148
14,beta,1,16,0.3,raw,16,0.6625910509885535,0.4453541920201774
15,beta,1,16,0.3,raw,16,0.6868318122555409,0.4297996027970819
16,beta,1,16,0.3,raw,16,0.6101265822784812,0.4482433344009786
17,beta,1,16,0.3,raw,16,0.6938920454545455,0.4034644508963019
18,beta,1,16,0.3,raw,16,0.7038690476190477,0.4012484223937873
19,beta,1,16,0.3,raw,16,0.5702737940026075,0.451480066635664
2,beta,1,16,0.3,raw,16,0.6104078762306611,0.4269516284354489
20,beta,1,16,0.3,raw,16,0.6594076655052266,0.4299368568290272
21,beta,1,16,0.3,raw,16,0.6618224666142969,0.4274146396064303
22,beta,1,16,0.3,raw,16,0.7103072064312375,0.4123554489424686
23,beta,1,16,0.3,raw,16,0.7294117647058823,0.3772484408233254
24,beta,1,16,0.3,raw,16,0.6043740573152337,0.4536292788802266
25,beta,1,16,0.3,raw,16,0.667450365726228,0.4229746192381174
26,beta,1,16,0.3,raw,16,0.6328229922105829,0.4399159685543529
27,beta,1,16,0.3,raw,16,0.5574136008918618,0.47581586038517
28,beta,1,16,0.3,raw,16,0.6465728274173806,0.4567966348051454
29,beta,1,16,0.3,raw,16,0.5688048245614036,0.4526396651516748
3,beta,1,16,0.3,raw,16,0.7229448491155047,0.4487509738359005
30,beta,1,16,0.3,raw,16,0.5611979166666666,0.4462886451368655
31,beta,1,16,0.3,raw,16,0.5331160365058669,0.4619054813676698
32,beta,1,16,0.3,raw,16,0.7423295454545454,0.3914111428326176
33,beta,1,16,0.3,raw,16,0.7155797101449276,0.4165554573740085
34,beta,1,16,0.3,raw,16,0.6811974789915967,0.4336075995355533
35,beta,1,16,0.3,raw,16,0.5950039861812384,0.442270041401424
36,beta,1,16,0.3,raw,16,0.6539772727272728,0.4560015727118509
37,beta,1,16,0.3,raw,16,0.6251794430089004,0.4421893069226985
38,beta,1,16,0.3,raw,16,0.6382385730211817,0.4599075286374673
39,beta,1,16,0.3,raw,16,0.7668027210884354,0.4092463800891227
4,beta,1,16,0.3,raw,16,0.6693418940609952,0.4064908230849513
40,beta,1,16,0.3,raw,16,0.5374669409344696,0.4523884937248163
41,beta,1,16,0.3,raw,16,0.7926863572433193,0.4046842221455032
42,beta,1,16,0.3,raw,16,0.7384868421052632,0.398954822318993
43,beta,1,16,0.3,raw,16,0.6741477272727272,0.4549507159223582
44,beta,1,16,0.3,raw,16,0.672335902205687,0.4135084764276018
45,beta,1,16,0.3,raw,16,0.6187232905982906,0.4496690234960707
46,beta,1,16,0.3,raw,16,0.6333333333333333,0.4277018704540031
47,beta,1,16,0.3,raw,16,0.6388443017656501,0.4112046964963023
48,beta,1,16,0.3,raw,16,0.6951058201058201,0.4140739439336521
49,beta,1,16,0.3,raw,16,0.6865612648221344,0.425836244583754
5,beta,1,16,0.3,raw,16,0.5556962025316456,0.4623036425264037
6,beta,1,16,0.3,raw,16,0.6606373815676141,0.4241755243974102
7,beta,1,16,0.3,raw,16,0.7259546368073501,0.4197083928580828
8,beta,1,16,0.3,raw,16,0.7847604084838963,0.3913189255693018
9,beta,1,16,0.3,raw,16,0.6391891891891892,0.4428710264565481
