seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,8,1.0,raw,8,0.707807386629266,0.4410760370171515
1,beta,1,8,1.0,raw,8,0.6813411349493823,0.4465382253991161
10,beta,1,8,1.0,raw,8,0.6672690204800297,0.4352571182183816
11,beta,1,8,1.0,raw,8,0.6336563123396979,0.4434029982023688
12,beta,1,8,1.0,raw,8,0.6332778394376618,0.4359037194785335
13,beta,1,8,1.0,raw,8,0.6198846726190477,0.4485915740095542
14,beta,1,8,1.0,raw,8,0.7023845763571791,0.4343895010963314
15,beta,1,8,1.0,raw,8,0.6838983050847458,0.4308713556804538
16,beta,1,8,1.0,raw,8,0.6809664694280079,0.442681453861201
17,beta,1,8,1.0,raw,8,0.7192346986161419,0.4357396370656237
18,beta,1,8,1.0,raw,8,0.6911160880925719,0.4300266487990367
19,beta,1,8,1.0,raw,8,0.7250868789330327,0.4092814243907838
2,beta,1,8,1.0,raw,8,0.6476144578313253,0.4534908166321469
20,beta,1,8,1.0,raw,8,0.6421850998463902,0.4420243720567591
21,beta,1,8,1.0,raw,8,0.6819912696201356,0.4362067112581723
22,beta,1,8,1.0,raw,8,0.7487976322604514,0.3875282369600643
23,beta,1,8,1.0,raw,8,0.7015427769985974,0.4225109040811362
24,beta,1,8,1.0,raw,8,0.6351566152407667,0.4487395840820042
25,beta,1,8,1.0,raw,8,0.5586914062499999,0.4728243662825735
26,beta,1,8,1.0,raw,8,0.6766304347826086,0.4376954936172267
27,beta,1,8,1.0,raw,8,0.6549262703108856,0.4620791214933574
28,beta,1,8,1.0,raw,8,0.6824205356315448,0.4270234143473085
29,beta,1,8,1.0,raw,8,0.6718931475029035,0.4364581475299206
3,beta,1,8,1.0,raw,8,0.6760902255639097,0.4346618041692175
30,beta,1,8,1.0,raw,8,0.663299027476159,0.4438424356655038
31,beta,1,8,1.0,raw,8,0.6241187384044526,0.4595877232720902
32,beta,1,8,1.0,raw,8,0.6109995217599236,0.4558636022010551
33,beta,1,8,1.0,raw,8,0.7408547965658828,0.419969085878297
34,beta,1,8,1.0,raw,8,0.7004844685095468,0.4398350221841923
35,beta,1,8,1.0,raw,8,0.7340909090909091,0.4010483712300602
36,beta,1,8,1.0,raw,8,0.6407241508025383,0.4478332216322778
37,beta,1,8,1.0,raw,8,0.7117117117117117,0.4282144091169746
38,beta,1,8,1.0,raw,8,0.6427696078431372,0.4434115677415945
39,beta,1,8,1.0,raw,8,0.6251399776035834,0.4488991637156908
4,beta,1,8,1.0,raw,8,0.596433734939759,0.454297636626795
40,beta,1,8,1.0,raw,8,0.7230667547918043,0.4055041472285244
41,beta,1,8,1.0,raw,8,0.7045348293595137,0.4339597720804353
42,beta,1,8,1.0,raw,8,0.6638598528842432,0.4507520133971632
43,beta,1,8,1.0,raw,8,0.6457627118644067,0.435348705147171
44,beta,1,8,1.0,raw,8,0.6367604718120182,0.4528519202186279
45,beta,1,8,1.0,raw,8,0.6150925925925925,0.4549634076694427
46,beta,1,8,1.0,raw,8,0.6665716728412654,0.4321783694821924
47,beta,1,8,1.0,raw,8,0.6962890625,0.4320094401423079
48,beta,1,8,1.0,raw,8,0.5915114447224539,0.4702098683760498
49,beta,1,8,1.0,raw,8,0.68836291913215,0.4327759978673736
5,beta,1,8,1.0,raw,8,0.6014674468282716,0.4477948884502303
6,beta,1,8,1.0,raw,8,0.7520536304409403,0.4202599517420054
7,beta,1,8,1.0,raw,8,0.5329507412721186,0.4722145949087435
8,beta,1,8,1.0,raw,8,0.6833849910772988,0.4418283149467098
9,beta,1,8,1.0,raw,8,0.6272081413210446,0.4524047981666309
