seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,32,0.5,raw,32,0.5,0.4524473516385248
1,beta,1,32,0.5,raw,32,0.5,0.4418123284697216
10,beta,1,32,0.5,raw,32,0.5,0.4502427413351094
14,beta,1,32,0.5,raw,32,0.5,0.4375521254141206
15,beta,1,32,0.5,raw,32,0.5,0.4541449577351918
16,beta,1,32,0.5,raw,32,0.5,0.4368752719403513
17,beta,1,32,0.5,raw,32,0.5,0.447499376541641
18,beta,1,32,0.5,raw,32,0.5,0.4494969874621591
19,beta,1,32,0.5,raw,32,0.5,0.4459308881476653
2,beta,1,32,0.5,raw,32,0.5,0.4376963106864908
20,beta,1,32,0.5,raw,32,0.5,0.4472340401903874
21,beta,1,32,0.5,raw,32,0.5,0.4532163626544768
22,beta,1,32,0.5,raw,32,0.5,0.4543965683741174
23,beta,1,32,0.5,raw,32,0.5,0.4353949619736377
25,beta,1,32,0.5,raw,32,0.5,0.4439123461156034
27,beta,1,32,0.5,raw,32,0.5,0.4489380000644189
28,beta,1,32,0.5,raw,32,0.5,0.4493422297067257
3,beta,1,32,0.5,raw,32,0.5,0.4484575207324937
30,beta,1,32,0.5,raw,32,0.5,0.4329446108974633
32,beta,1,32,0.5,raw,32,0.5,0.4551997533843641
33,beta,1,32,0.5,raw,32,0.5,0.4345904913514248
34,beta,1,32,0.5,raw,32,0.5,0.4547874930634852
35,beta,1,32,0.5,raw,32,0.5,0.4547907040327051
36,beta,1,32,0.5,raw,32,0.5,0.4482161570451868
37,beta,1,32,0.5,raw,32,0.5,0.4653241215901247
40,beta,1,32,0.5,raw,32,0.5,0.4585950945650889
41,beta,1,32,0.5,raw,32,0.5,0.4415371456007773
42,beta,1,32,0.5,raw,32,0.5,0.4292972873619813
43,beta,1,32,0.5,raw,32,0.5,0.4442876265535699
44,beta,1,32,0.5,raw,32,0.5,0.4485828210714496
46,beta,1,32,0.5,raw,32,0.5,0.4629697772248659
47,beta,1,32,0.5,raw,32,0.5,0.4592477083631808
48,beta,1,32,0.5,raw,32,0.5,0.4612199112142003
49,beta,1,32,0.5,raw,32,0.5,0.448857717974355
5,beta,1,32,0.5,raw,32,0.5,0.4691419393376497
7,beta,1,32,0.5,raw,32,0.5,0.4645556350399907
8,beta,1,32,0.5,raw,32,0.5,0.4603443855694035
9,beta,1,32,0.5,raw,32,0.5,0.4482844380597434
