seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
35,beta,1,4,0.1,raw,4,0.4583333333333333,0.5196211314072259
15,beta,1,4,0.1,raw,4,0.4761904761904761,0.4598247221089369
23,beta,1,4,0.1,raw,4,0.5833333333333333,0.488993940940912
38,beta,1,4,0.1,raw,4,0.4583333333333333,0.5870848040791327
30,beta,1,4,0.1,raw,4,0.5833333333333334,0.5894539157465237
46,beta,1,4,0.1,raw,4,0.6666666666666667,0.7319325351007604
6,beta,1,4,0.1,raw,4,0.8095238095238095,0.4325947637322206
43,beta,1,4,0.1,raw,4,0.6399999999999999,0.5788157177353632
34,beta,1,4,0.1,raw,4,0.5833333333333334,0.4913447294554822
18,beta,1,4,0.1,raw,4,0.75,0.609212878253482
31,beta,1,4,0.1,raw,4,0.75,0.565344558658731
2,beta,1,4,0.1,raw,4,0.7142857142857142,0.5250076826986667
14,beta,1,4,0.1,raw,4,0.7142857142857144,0.6563366878111235
26,beta,1,4,0.1,raw,4,0.44,0.6624340285436903
39,beta,1,4,0.1,raw,4,0.5599999999999999,0.6225722367530844
27,beta,1,4,0.1,raw,4,0.96,0.6619703658924803
7,beta,1,4,0.1,raw,4,0.4800000000000001,0.6947475238219201
47,beta,1,4,0.1,raw,4,0.2916666666666666,0.6400287691370637
22,beta,1,4,0.1,raw,4,0.375,0.5512317952028362
19,beta,1,4,0.1,raw,4,0.7083333333333333,0.5034528067195835
3,beta,1,4,0.1,raw,4,0.5833333333333333,0.5192107739497438
42,beta,1,4,0.1,raw,4,0.1904761904761904,0.52295639930732
11,beta,1,4,0.1,raw,4,0.25,0.4285605825175737
10,beta,1,4,0.1,raw,4,0.75,0.5432774057545777
0,beta,1,4,0.1,raw,4,0.4285714285714286,0.5996691894518825
40,beta,1,4,0.1,raw,4,0.3199999999999999,0.6697502027484947
12,beta,1,4,0.1,raw,4,0.2083333333333333,0.524166737916797
8,beta,1,4,0.1,raw,4,0.3333333333333333,0.7712253183901068
48,beta,1,4,0.1,raw,4,0.4583333333333333,0.5965012503624447
4,beta,1,4,0.1,raw,4,0.4583333333333333,0.6007405648016425
44,beta,1,4,0.1,raw,4,0.7916666666666667,0.5586586227626934
36,beta,1,4,0.1,raw,4,0.1904761904761905,0.5737334295967483
20,beta,1,4,0.1,raw,4,0.52,0.7038456932040708
32,beta,1,4,0.1,raw,4,0.5,0.4233300935003003
25,beta,1,4,0.1,raw,4,0.4166666666666666,0.6100675608789755
28,beta,1,4,0.1,raw,4,0.5238095238095238,0.5258049731407899
16,beta,1,4,0.1,raw,4,0.3333333333333333,0.6515937879995136
24,beta,1,4,0.1,raw,4,0.64,0.5201627865326471
45,beta,1,4,0.1,raw,4,0.2857142857142857,0.5450489073866022
9,beta,1,4,0.1,raw,4,0.9166666666666669,0.5134963109051979
29,beta,1,4,0.1,raw,4,0.3333333333333333,0.5158579906841944
33,beta,1,4,0.1,raw,4,0.0833333333333333,0.6281017583845815
37,beta,1,4,0.1,raw,4,0.6666666666666666,0.5016773223167743
49,beta,1,4,0.1,raw,4,0.1111111111111111,0.3862251059525168
41,beta,1,4,0.1,raw,4,0.8333333333333334,0.6037661825503112
21,beta,1,4,0.1,raw,4,0.6000000000000001,0.6644308975691157
5,beta,1,4,0.1,raw,4,0.625,0.5418894352469629
1,beta,1,4,0.1,raw,4,0.5833333333333334,0.5884251493271053
17,beta,1,4,0.1,raw,4,0.5,0.732568182001599
13,beta,1,4,0.1,raw,4,0.56,0.6069644297149619
