n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,4,0.0155,8336,0.4065078870493814,0.6815146845963487,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.012157101184129715, 0.009628559462726116, 0.00819949060678482, 0.013009736314415932, 0.005060925614088774, 0.011040529236197472, 0.0142606720328331, 0.012457684613764286, 0.013525406830012798, 0.004269736353307962, 0.013519666157662868, 0.012767738662660122, 0.013327223248779774, 0.013637930154800415, 0.012016289867460728, 0.014787690714001656, 0.012410699389874935, 0.014669856987893581, 0.01128271222114563, 0.012686553411185741, 0.011566738598048687, 0.012238066643476486, 0.013999084010720253, 0.0027755892369896173, 0.010843159630894661, 0.011499806307256222, 0.011872305534780025, 0.012156998738646507, 0.013985076919198036, 0.01331618893891573]",pca,Pre-32
1,bernoulli,16,0.0155,8317,0.4071270388832373,0.7641492385857364,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.011377879418432713, 0.00515559921041131, 0.013602303341031075, 0.015462208539247513, 0.014817900955677032, 0.01571260765194893, 0.013072188943624496, 0.01503018382936716, 0.01620836928486824, 0.014505174942314625, 0.013118983246386051, 0.01140108983963728, 0.013307766057550907, 0.015426518395543098, 0.012694137170910835, 0.016691850498318672, 0.008502611890435219, 0.007524387910962105, 0.01593966595828533, 0.012614994309842587, 0.013009081594645977, 0.012274428270757198, 0.015384752303361893, 0.009029886685311794, 0.011375071480870247, 0.008888263255357742, 0.015536787919700146, 0.0169572401791811, 0.014481542631983757, 0.008221795782446861]",pca,Pre-32
1,bernoulli,8,0.0155,8318,0.4224875735819926,0.6411287336917085,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.008121308870613575, 0.008061220869421959, 0.014924071729183197, 0.010063892230391502, 0.01393377035856247, 0.014348250813782215, 0.015245305374264717, 0.012717868201434612, 0.014738069847226143, 0.014614684507250786, 0.0167671050876379, 0.015518639236688614, 0.014382122084498405, 0.013773112557828426, 0.013249672017991543, 0.013861067593097687, 0.009163565933704376, 0.013061310164630413, 0.01883123815059662, 0.013639307580888271, 0.014246394857764244, 0.01338739600032568, 0.014036490581929684, 0.01394957397133112, 0.01283974852412939, 0.008206823840737343, 0.014929951168596745, 0.011914405971765518, 0.014322558417916298, 0.014908620156347752]",pca,Pre-32
1,bernoulli,20,0.0155,8313,0.4131606194553852,0.7003732033804208,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.006251872517168522, 0.016287844628095627, 0.015393123030662537, 0.014389265328645706, 0.012519321404397488, 0.013575666584074497, 0.016040999442338943, 0.007685694843530655, 0.016479412093758583, 0.013719305396080017, 0.014884508214890957, 0.013066484592854977, 0.01362802367657423, 0.010370753705501556, 0.01499257329851389, 0.014495844952762127, 0.006645846180617809, 0.014802358113229275, 0.012044083327054977, 0.013475554063916206, 0.012453371658921242, 0.015724360942840576, 0.014277985319495201, 0.0049783941358327866, 0.012965829111635685, 0.011968957260251045, 0.007642462383955717, 0.014026309363543987, 0.01616539992392063, 0.007723347749561071]",pca,Pre-32
1,bernoulli,12,0.0155,8329,0.4241742070314135,0.6911208267090619,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02417190931737423, 0.02530554123222828, 0.02426251396536827, 0.015485157258808613, 0.020440582185983658, 0.017824210226535797, 0.021073512732982635, 0.01940658688545227, 0.02670411951839924, 0.020788706839084625, 0.025942733511328697, 0.018536310642957687, 0.02230532467365265, 0.019707567989826202, 0.02290341816842556, 0.020346855744719505, 0.01900619827210903, 0.02192763239145279, 0.02696421928703785, 0.023167936131358147, 0.02190483547747135, 0.022279372438788414, 0.022898932918906212, 0.022678229957818985, 0.019762152805924416, 0.021329306066036224, 0.014643235132098198, 0.021844161674380302, 0.019168270751833916, 0.026713665574789047]",pca,Pre-32
1,bernoulli,0,0.0155,8342,0.4040296841872166,0.6825768413751245,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]","[0.008377346210181713, 0.010131888091564178, 0.006483668927103281, 0.006909272167831659, 0.00986709725111723, 0.0015274396864697337, 0.006118968594819307, 0.003924873657524586, 0.01158841047435999, 0.007895938120782375, 0.009573958814144135, 0.0040659066289663315, 0.009726684540510178, 0.010569038800895214, 0.007714167237281799, 0.008418571203947067, 0.002474324544891715, 0.010027815587818623, 0.00921863503754139, 0.0029461649246513844, 0.009218151681125164, 0.005651689600199461, 0.007404733449220657, 0.008640959858894348, 0.009503311477601528, 0.005988087970763445, 0.00427560368552804, 0.00499659962952137, 0.0, 0.008614313788712025]",pca,Pre-32
1,bernoulli,32,0.0155,8311,0.4125923833566545,0.6764237054934729,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.016837643459439278, 0.013308529742062092, 0.0096683818846941, 0.019068893045186996, 0.01805136725306511, 0.016343358904123306, 0.016701756045222282, 0.018141351640224457, 0.014621871523559093, 0.016375413164496422, 0.013321345672011375, 0.012156151235103607, 0.013238828629255295, 0.019362984225153923, 0.018615055829286575, 0.021164916455745697, 0.015511926263570786, 0.009542414918541908, 0.016194025054574013, 0.016071252524852753, 0.018977580592036247, 0.02078522928059101, 0.009431542828679085, 0.01786344312131405, 0.01766536757349968, 0.016852660104632378, 0.017850633710622787, 0.010551794432103634, 0.011763003654778004, 0.015800900757312775]",pca,Pre-32
1,bernoulli,24,0.0155,8313,0.4259172624802656,0.7455463892874223,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.015950223430991173, 0.014131905511021614, 0.005766548682004213, 0.014728764072060585, 0.015006311237812042, 0.016146736219525337, 0.016771791502833366, 0.015225439332425594, 0.016920512542128563, 0.016787901520729065, 0.009243198670446873, 0.0060235485434532166, 0.016543740406632423, 0.015546011738479137, 0.016894984990358353, 0.012316737323999405, 0.015776949003338814, 0.0178433358669281, 0.0033750354778021574, 0.01441247295588255, 0.009048974141478539, 0.015020688995718956, 0.012406124733388424, 0.01898537576198578, 0.01658102683722973, 0.015581871382892132, 0.01396169513463974, 0.01636391319334507, 0.00557484058663249, 0.015957914292812347]",pca,Pre-32
1,bernoulli,36,0.0155,8326,0.4037106082584568,0.7055877196859209,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.0017080613179132342, 0.010984965600073338, 0.004463636316359043, 0.012179371900856495, 0.008350638672709465, 0.006405557040125132, 0.014222576282918453, 0.008176076225936413, 0.007942944765090942, 0.01022427249699831, 0.0, 0.009393221698701382, 0.012368951924145222, 0.0015944514889270067, 0.010012284852564335, 0.012210141867399216, 0.006718308199197054, 0.01084964070469141, 0.011430653743445873, 0.0008225132478401065, 0.010827714577317238, 0.012705516070127487, 0.012897334061563015, 0.012047506868839264, 0.011930431239306927, 0.009760449640452862, 0.009633954614400864, 0.011383316479623318, 0.011101977899670601, 0.008775755763053894]",pca,Pre-32
1,bernoulli,44,0.0155,8318,0.4241620168106285,0.6309166411994176,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.013040327467024326, 0.018390273675322533, 0.015825580805540085, 0.019496576860547066, 0.017024554312229156, 0.015518898144364357, 0.017888523638248444, 0.020043570548295975, 0.016142364591360092, 0.01653153821825981, 0.017506496980786324, 0.0159296914935112, 0.01770828291773796, 0.010132391937077045, 0.009403261356055737, 0.01860131323337555, 0.018248649314045906, 0.015441288240253925, 0.018028344959020615, 0.01845204457640648, 0.011674769222736359, 0.01591239869594574, 0.01790224015712738, 0.017283262684941292, 0.017569584771990776, 0.013136761263012886, 0.017261698842048645, 0.01794692501425743, 0.017911488190293312, 0.0188251044601202]",pca,Pre-32
