n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,18,0.006,0.4376221894885211,0.754623541259404,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8516507148742676, 2.661318302154541, 2.724407196044922, 2.6315956115722656, 2.676352024078369, 2.824078321456909, 2.8794894218444824, 2.96356463432312, 2.8178703784942627, 2.703760862350464, 2.6932742595672607, 2.7548372745513916, 2.715102434158325, 2.8303565979003906, 2.652714967727661, 2.8864290714263916, 2.875732421875, 2.620059013366699, 2.7794907093048096, 2.8372738361358643, 2.563166379928589, 2.882765293121338, 2.590944528579712, 2.808138847351074, 2.5813212394714355, 2.9292526245117188, 2.837887763977051, 2.729454517364502, 2.569859743118286, 2.87130069732666]",pca,Pre-32
1,beta,12,0.005,0.4667106612647258,0.6979066022544284,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.71299147605896, 2.771446943283081, 2.8819875717163086, 2.750613212585449, 2.7377803325653076, 2.670208215713501, 3.0298140048980713, 2.77245831489563, 2.98325514793396, 2.864511251449585, 2.906489849090576, 2.8477742671966553, 2.877779960632324, 2.9485795497894287, 3.0253233909606934, 2.9171676635742188, 2.9718658924102783, 2.9129066467285156, 2.684962034225464, 2.946577548980713, 2.95651912689209, 2.869243621826172, 2.6329803466796875, 2.882747173309326, 2.736405611038208, 2.834881544113159, 2.877230405807495, 2.8393020629882812, 2.662858486175537, 2.917559862136841]",pca,Pre-32
1,beta,19,0.006,0.4545169694059635,0.6852727727727728,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5905542373657227, 2.9266536235809326, 2.9250998497009277, 2.9986064434051514, 2.936164617538452, 2.910741090774536, 2.954498052597046, 2.6028716564178467, 2.8607473373413086, 2.937330484390259, 2.9566688537597656, 2.570500135421753, 2.9248712062835693, 2.904642343521118, 2.891730546951294, 2.5638644695281982, 2.9561543464660645, 2.9070003032684326, 2.8090767860412598, 2.9544246196746826, 2.5688624382019043, 2.584771156311035, 2.883821725845337, 2.91318416595459, 2.9563236236572266, 2.908404588699341, 2.90385365486145, 2.9285311698913574, 2.787508964538574, 2.6575887203216553]",pca,Pre-32
1,beta,13,0.005,0.4485734201924859,0.7482504826254825,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.041256904602051, 2.6065657138824463, 2.8841376304626465, 2.6165435314178467, 2.946178913116455, 2.981083631515503, 3.023538589477539, 3.011585235595703, 2.829841375350952, 2.9933576583862305, 3.0176925659179688, 2.9827451705932617, 2.6057863235473633, 2.6585772037506104, 2.8873066902160645, 3.030543088912964, 2.561983585357666, 2.92616868019104, 2.9674696922302246, 2.682403087615967, 3.022068500518799, 2.924687385559082, 3.0346574783325195, 2.638049364089966, 2.9830446243286133, 3.021754503250122, 2.713378667831421, 3.04486346244812, 3.0740301609039307, 2.9779069423675537]",pca,Pre-32
1,beta,34,0.004,0.4959016262701637,0.6140039097209881,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.044292449951172, 3.0591747760772705, 3.303107738494873, 3.0664219856262207, 3.2445480823516846, 3.262873649597168, 3.3081307411193848, 3.1212265491485596, 3.3147385120391846, 3.2245163917541504, 3.082000732421875, 3.3154244422912598, 3.246784210205078, 3.2121849060058594, 3.2439074516296387, 3.1287827491760254, 3.1016900539398193, 3.2713968753814697, 3.151911497116089, 3.2031726837158203, 3.2674269676208496, 2.9165756702423096, 2.9389963150024414, 3.2440245151519775, 3.284769058227539, 3.2369327545166016, 3.147202730178833, 3.2014236450195312, 2.913722038269043, 3.0097620487213135]",pca,Pre-32
1,beta,6,0.004,0.4944913622060262,0.6031673679289388,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.102644205093384, 3.0236456394195557, 3.1153392791748047, 3.0550644397735596, 3.025761127471924, 3.0042662620544434, 3.044759750366211, 3.135838508605957, 2.773317337036133, 3.1128430366516113, 2.941185712814331, 3.177950382232666, 3.0948050022125244, 3.0991270542144775, 3.070181369781494, 2.8620645999908447, 3.1029274463653564, 3.0747783184051514, 3.1464483737945557, 3.08709454536438, 2.7344205379486084, 3.1348867416381836, 3.0860745906829834, 3.07407283782959, 3.041888952255249, 2.789454936981201, 2.7234811782836914, 2.847867488861084, 3.1009862422943115, 3.1273536682128906]",pca,Pre-32
1,beta,35,0.004,0.4651050153968759,0.656369222890795,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.05476975440979, 2.9981775283813477, 3.0500826835632324, 2.6277153491973877, 3.0488622188568115, 2.7497918605804443, 3.172089099884033, 3.1277594566345215, 3.143885612487793, 2.970494270324707, 3.113412857055664, 3.0871660709381104, 3.0750105381011963, 3.1775975227355957, 3.0481455326080322, 2.7138683795928955, 2.6626574993133545, 2.7309792041778564, 2.695389986038208, 3.148867130279541, 3.063767910003662, 3.1665866374969482, 3.0892252922058105, 3.149876832962036, 3.1267528533935547, 3.030790090560913, 3.1718685626983643, 3.097224473953247, 2.69498610496521, 2.9421658515930176]",pca,Pre-32
1,beta,24,0.026,0.4486012236352271,0.6710933213626613,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.529977560043335, 2.5684750080108643, 2.5422747135162354, 2.5292468070983887, 2.5537562370300293, 2.153776168823242, 2.086439847946167, 2.1778247356414795, 2.1107232570648193, 2.5808987617492676, 2.4188060760498047, 2.4621706008911133, 2.471991777420044, 2.526827096939087, 2.59582781791687, 2.131805658340454, 2.5752055644989014, 2.448967933654785, 2.5043623447418213, 2.509420871734619, 2.471217155456543, 2.1352345943450928, 2.550157070159912, 2.121544122695923, 2.337167501449585, 2.4926745891571045, 2.496419668197632, 2.450333595275879, 2.614502429962158, 2.3859574794769287]",pca,Pre-32
1,beta,7,0.004,0.4866808948521771,0.6871379632513237,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.088118076324463, 2.9905614852905273, 2.9396660327911377, 3.0801894664764404, 2.8882532119750977, 2.657463550567627, 3.011760711669922, 3.064101457595825, 2.7510986328125, 3.0544707775115967, 3.0178732872009277, 2.9099233150482178, 3.0633726119995117, 2.950275421142578, 2.997688055038452, 3.067319869995117, 2.61759877204895, 3.032888650894165, 2.7279105186462402, 2.9865081310272217, 3.1198322772979736, 3.044177770614624, 2.8619396686553955, 3.1289689540863037, 2.6887290477752686, 2.7543463706970215, 2.961512565612793, 2.847245931625366, 3.001406192779541, 3.0322492122650146]",pca,Pre-32
1,beta,20,0.015,0.4772113853777108,0.6297145051849955,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8287980556488037, 2.540862560272217, 2.5151495933532715, 2.5625741481781006, 2.5293211936950684, 2.6495237350463867, 2.7048723697662354, 2.5287024974823, 2.7670373916625977, 2.736694574356079, 2.846186399459839, 2.747868776321411, 2.8128390312194824, 2.59183931350708, 2.4788384437561035, 2.7797627449035645, 2.5282726287841797, 2.7336087226867676, 2.7024333477020264, 2.534820318222046, 2.8057541847229004, 2.7456016540527344, 2.62758731842041, 2.5807809829711914, 2.786090850830078, 2.692882776260376, 2.7554168701171875, 2.657386064529419, 2.5666120052337646, 2.5682613849639893]",pca,Pre-32
