n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,4168,0.3292173753482488,0.8772677432216905,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9224939346313477, 2.7197558879852295, 3.0051822662353516, 2.935183048248291, 2.967494010925293, 3.081721305847168, 2.9737181663513184, 2.8091917037963867, 2.758767604827881, 2.961716651916504, 2.76408052444458, 2.765608549118042, 3.189553737640381, 2.9882888793945312, 2.8125503063201904, 3.097899913787842, 3.0464906692504883, 2.5154764652252197, 2.827991008758545, 3.036121129989624, 2.4292383193969727, 2.758244752883911, 3.11434006690979, 3.0331227779388428, 3.0900166034698486, 2.9342052936553955, 2.7550323009490967, 3.0760016441345215, 2.717998504638672, 3.0335304737091064]",raw,Pre-16
1,beta,28,0.002,4168,0.3122815083579288,0.8735899059546425,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.877490758895874, 2.504572868347168, 2.932474136352539, 3.064521074295044, 2.8382856845855713, 2.794525146484375, 2.952840566635132, 2.9371325969696045, 2.9573397636413574, 2.770080804824829, 2.8422091007232666, 2.7719006538391113, 2.945786952972412, 2.652891159057617, 3.0822336673736572, 2.6898088455200195, 2.570469379425049, 2.4770002365112305, 3.0770609378814697, 2.8326618671417236, 2.7674694061279297, 2.851982355117798, 2.7088682651519775, 2.508073329925537, 2.795616865158081, 3.0823543071746826, 2.7880494594573975, 2.800260066986084, 2.7643070220947266, 2.40928053855896]",raw,Pre-16
1,beta,29,0.002,4168,0.3017652072432518,0.8802125818811025,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7486417293548584, 3.1052157878875732, 2.4429781436920166, 2.815005302429199, 2.7088518142700195, 3.0015275478363037, 2.614542245864868, 2.926133394241333, 2.7103359699249268, 2.8224432468414307, 2.704422950744629, 2.8063299655914307, 2.7262051105499268, 2.395042657852173, 2.9087390899658203, 2.7799973487854004, 2.973353147506714, 3.070568323135376, 3.0977096557617188, 2.782479763031006, 3.016068458557129, 2.797781229019165, 2.806032180786133, 2.766923666000366, 2.5000338554382324, 2.799952983856201, 2.830801010131836, 2.494921922683716, 2.8602044582366943, 2.8450722694396973]",raw,Pre-16
1,beta,1,0.002,4168,0.3327613656963946,0.8751579663653155,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.947843074798584, 3.0438780784606934, 2.719890594482422, 2.9927778244018555, 3.0097670555114746, 3.0065951347351074, 2.7773044109344482, 3.022620916366577, 3.039684772491455, 3.095308780670166, 2.4733774662017822, 2.6092445850372314, 3.017760753631592, 3.030851364135742, 2.8059351444244385, 2.9403491020202637, 2.8746583461761475, 3.0234992504119873, 2.7050669193267822, 3.1129894256591797, 2.7632546424865723, 2.764904260635376, 3.0528457164764404, 3.0138516426086426, 2.8255867958068848, 2.9947617053985596, 2.9842305183410645, 3.0038015842437744, 2.6627614498138428, 2.597789764404297]",raw,Pre-16
1,beta,14,0.002,4168,0.2926221195651141,0.8735351562499999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.956092119216919, 3.1145741939544678, 2.6066970825195312, 3.0326595306396484, 2.951148509979248, 2.934565305709839, 2.65492844581604, 3.0454442501068115, 2.6817121505737305, 3.064303159713745, 2.9394145011901855, 2.942643165588379, 2.9129068851470947, 2.990211009979248, 2.957263231277466, 2.9483158588409424, 2.9804670810699463, 2.897435426712036, 2.9248390197753906, 2.967543125152588, 2.930006742477417, 2.9388630390167236, 2.760676860809326, 2.9019200801849365, 3.0234861373901367, 2.927417516708374, 2.9542043209075928, 2.939892053604126, 2.938408374786377, 2.8955466747283936]",raw,Pre-16
1,beta,15,0.002,4168,0.3262205944109631,0.87476133229616,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9441423416137695, 2.9687981605529785, 2.9412407875061035, 2.6934714317321777, 2.9187490940093994, 2.9611809253692627, 2.918799877166748, 2.954378843307495, 2.962324619293213, 2.956477403640747, 2.971271276473999, 2.734889268875122, 2.934260606765747, 2.913367986679077, 2.6822943687438965, 2.9456064701080322, 2.9488728046417236, 2.9795422554016113, 2.9134273529052734, 2.974907636642456, 2.9563326835632324, 2.987111806869507, 2.9396398067474365, 2.9593982696533203, 2.953798532485962, 2.618635654449463, 2.9974749088287354, 2.976532459259033, 2.944459915161133, 2.9661061763763428]",raw,Pre-16
1,beta,42,0.002,4168,0.2953294375774773,0.8980277388980786,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.384019613265991, 2.8609938621520996, 2.8859219551086426, 2.896078109741211, 2.9452104568481445, 2.7713170051574707, 2.802433967590332, 2.855260133743286, 2.7515270709991455, 2.7511484622955322, 2.4009273052215576, 2.7764644622802734, 2.8212785720825195, 2.8628578186035156, 2.837571859359741, 2.665015935897827, 2.954331159591675, 2.974057912826538, 2.846406936645508, 2.6261861324310303, 2.819837808609009, 2.943831205368042, 2.8426930904388428, 2.4408373832702637, 3.039940118789673, 2.858560085296631, 3.0461313724517822, 2.840480327606201, 2.740097761154175, 2.3620452880859375]",raw,Pre-16
1,beta,18,0.006,4168,0.3474099862200693,0.8182843701996927,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7467427253723145, 2.858029842376709, 2.724642038345337, 2.7083497047424316, 2.82242751121521, 2.800211191177368, 2.777486562728882, 2.8201615810394287, 2.8229410648345947, 2.7779436111450195, 2.864333391189575, 2.7856814861297607, 2.824424982070923, 2.785052537918091, 2.8531382083892822, 2.8636231422424316, 2.8116650581359863, 2.791388988494873, 2.824042797088623, 2.869880437850952, 2.844611883163452, 2.8273396492004395, 2.826190233230591, 2.8611526489257812, 2.85504412651062, 2.794039487838745, 2.8498775959014893, 2.835822105407715, 2.805720329284668, 2.8145623207092285]",raw,Pre-16
1,beta,43,0.002,4168,0.303848370431501,0.871484375,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.880976676940918, 2.705744981765747, 2.8261361122131348, 3.033503770828247, 3.0598690509796143, 2.825572967529297, 2.8836820125579834, 2.8871188163757324, 2.8466312885284424, 2.8878726959228516, 2.3987491130828857, 2.8467767238616943, 2.5193817615509033, 2.857553005218506, 2.361910581588745, 2.846487283706665, 2.881450891494751, 2.9326508045196533, 2.43316388130188, 2.8515987396240234, 2.8474278450012207, 2.809659719467163, 2.858508348464966, 2.4522252082824707, 2.814995765686035, 2.8614625930786133, 2.548396110534668, 2.8231656551361084, 2.80721378326416, 2.9430007934570312]",raw,Pre-16
1,beta,40,0.005,4168,0.3288002559192733,0.8644387517466232,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.3465263843536377, 3.353227376937866, 3.371638536453247, 3.3517074584960938, 3.334941864013672, 3.373480796813965, 3.330564022064209, 3.300513505935669, 3.3532590866088867, 3.321807384490967, 3.116659641265869, 3.3842155933380127, 2.3362507820129395, 3.3215107917785645, 3.3667690753936768, 3.333378553390503, 3.398684024810791, 3.26779842376709, 3.3325436115264893, 3.348790168762207, 3.3816707134246826, 3.344895124435425, 3.3420209884643555, 3.2517504692077637, 3.402904987335205, 2.983107089996338, 3.374629497528076, 3.418797731399536, 3.4077703952789307, 3.3442575931549072]",raw,Pre-16
