seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,64,1.0,1.0,raw,64,0.8873527130181724,0.3243356516939153
18,beta,1,64,1.0,1.0,raw,64,0.905587500057546,0.309389308155456
4,beta,1,64,1.0,1.0,raw,64,0.8833797015017139,0.3275505441508273
39,beta,1,64,1.0,1.0,raw,64,0.8838622717056852,0.3211822100187195
11,beta,1,64,1.0,1.0,raw,64,0.8955128357782436,0.3092398820453883
20,beta,1,64,1.0,1.0,raw,64,0.8588569207922166,0.3306130020005389
49,beta,1,64,1.0,1.0,raw,64,0.8642673010646248,0.3371120810814516
40,beta,1,64,1.0,1.0,raw,64,0.8987476649680562,0.3071250005573774
3,beta,1,64,1.0,1.0,raw,64,0.8848808817912834,0.3156168473956517
30,beta,1,64,1.0,1.0,raw,64,0.8849211202152378,0.327398312921669
35,beta,1,64,1.0,1.0,raw,64,0.8884159804272587,0.3124558894496811
27,beta,1,64,1.0,1.0,raw,64,0.8926654072121074,0.3199922658872274
42,beta,1,64,1.0,1.0,raw,64,0.8759140328089672,0.3307318787451053
15,beta,1,64,1.0,1.0,raw,64,0.8637284101160476,0.3397142777508673
7,beta,1,64,1.0,1.0,raw,64,0.8790817280019138,0.3226254159820488
47,beta,1,64,1.0,1.0,raw,64,0.8953007155916569,0.3084064349731422
2,beta,1,64,1.0,1.0,raw,64,0.8474850809889174,0.344446971212796
23,beta,1,64,1.0,1.0,raw,64,0.8736448537095088,0.325844423311847
31,beta,1,64,1.0,1.0,raw,64,0.8917554797065107,0.317154235692872
19,beta,1,64,1.0,1.0,raw,64,0.875463926505953,0.3206940100207405
43,beta,1,64,1.0,1.0,raw,64,0.901630430723499,0.3007275545816759
34,beta,1,64,1.0,1.0,raw,64,0.8841471546695427,0.3250312505882871
14,beta,1,64,1.0,1.0,raw,64,0.8537168537168537,0.3413171289601934
46,beta,1,64,1.0,1.0,raw,64,0.919262532858688,0.2891704254748916
10,beta,1,64,1.0,1.0,raw,64,0.8703607555799274,0.3268751910630318
6,beta,1,64,1.0,1.0,raw,64,0.879040206136601,0.3254382054046728
26,beta,1,64,1.0,1.0,raw,64,0.8904807527396814,0.3078430073525549
22,beta,1,64,1.0,1.0,raw,64,0.8863561296154648,0.320016549788862
38,beta,1,64,1.0,1.0,raw,64,0.8871780129664792,0.312421013863577
12,beta,1,64,1.0,1.0,raw,64,0.8707454516649007,0.3201084068262472
8,beta,1,64,1.0,1.0,raw,64,0.889648033126294,0.3152643012267496
28,beta,1,64,1.0,1.0,raw,64,0.897879570557989,0.3105713216887904
24,beta,1,64,1.0,1.0,raw,64,0.8834830339321358,0.3194558271450995
25,beta,1,64,1.0,1.0,raw,64,0.8895896645159358,0.314755726571289
36,beta,1,64,1.0,1.0,raw,64,0.8820314693299858,0.3302246423157525
44,beta,1,64,1.0,1.0,raw,64,0.8720642222123933,0.3292509809485198
16,beta,1,64,1.0,1.0,raw,64,0.8914959225123005,0.3075965874450085
48,beta,1,64,1.0,1.0,raw,64,0.8761651341478774,0.3255440843543561
32,beta,1,64,1.0,1.0,raw,64,0.9106001027330534,0.2996821945404988
13,beta,1,64,1.0,1.0,raw,64,0.9219347743937908,0.2831701851465845
37,beta,1,64,1.0,1.0,raw,64,0.9093091913903432,0.3049052389670997
1,beta,1,64,1.0,1.0,raw,64,0.9043265548905164,0.3093140440914071
9,beta,1,64,1.0,1.0,raw,64,0.8790338164251208,0.3259286716176248
29,beta,1,64,1.0,1.0,raw,64,0.886713087109689,0.3141386698880436
33,beta,1,64,1.0,1.0,raw,64,0.9238185311998764,0.275494116417426
5,beta,1,64,1.0,1.0,raw,64,0.8895154810197126,0.3077204455292834
45,beta,1,64,1.0,1.0,raw,64,0.8795580343938818,0.3186070818354352
41,beta,1,64,1.0,1.0,raw,64,0.9021717017597396,0.3146060074388452
17,beta,1,64,1.0,1.0,raw,64,0.9097568397547376,0.298269010585459
21,beta,1,64,1.0,1.0,raw,64,0.8957335399643092,0.3010879043304621
