seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,32,0.1,raw,32,0.3973214285714285,0.5049877832370236
3,beta,1,32,0.1,raw,32,0.638095238095238,0.4585577585111165
31,beta,1,32,0.1,raw,32,0.4852941176470588,0.4940154026271214
2,beta,1,32,0.1,raw,32,0.584045584045584,0.4235059155025133
14,beta,1,32,0.1,raw,32,0.6306306306306306,0.4643172319555966
7,beta,1,32,0.1,raw,32,0.6253908692933083,0.4422186405822519
27,beta,1,32,0.1,raw,32,0.5956112852664577,0.4543515737442295
30,beta,1,32,0.1,raw,32,0.5669191919191918,0.4852826935015051
15,beta,1,32,0.1,raw,32,0.5741818181818182,0.4592403915305521
11,beta,1,32,0.1,raw,32,0.3236621534493875,0.5221769612845168
39,beta,1,32,0.1,raw,32,0.5409961685823754,0.5210844642463799
38,beta,1,32,0.1,raw,32,0.6604651162790698,0.4148372743032892
18,beta,1,32,0.1,raw,32,0.5833333333333333,0.4725171034104116
42,beta,1,32,0.1,raw,32,0.7129690585911784,0.413632061188765
34,beta,1,32,0.1,raw,32,0.7109974424552429,0.4150241804259713
47,beta,1,32,0.1,raw,32,0.7307692307692307,0.4209321400188568
35,beta,1,32,0.1,raw,32,0.6637500000000001,0.4476102808705703
23,beta,1,32,0.1,raw,32,0.5753595997498437,0.4497170545556514
43,beta,1,32,0.1,raw,32,0.73828125,0.3922471126525498
10,beta,1,32,0.1,raw,32,0.3337595907928388,0.5013950080122466
19,beta,1,32,0.1,raw,32,0.7132582864290182,0.4127062773071611
6,beta,1,32,0.1,raw,32,0.5151415404871627,0.4580804567943571
46,beta,1,32,0.1,raw,32,0.6178385416666667,0.4500038252773883
26,beta,1,32,0.1,raw,32,0.6121875,0.4483398297907504
22,beta,1,32,0.1,raw,32,0.6518308080808081,0.4678230976033236
1,beta,1,32,0.1,raw,32,0.5105799373040752,0.4503265818366971
28,beta,1,32,0.1,raw,32,0.5853968253968255,0.4523490806621267
12,beta,1,32,0.1,raw,32,0.6926984126984127,0.4497929593477436
40,beta,1,32,0.1,raw,32,0.5656660412757974,0.4870810903552481
20,beta,1,32,0.1,raw,32,0.4818959842001317,0.48866110712838
48,beta,1,32,0.1,raw,32,0.6754385964912281,0.459685062684652
24,beta,1,32,0.1,raw,32,0.6060037523452158,0.461606687575593
8,beta,1,32,0.1,raw,32,0.5071428571428571,0.4217618154646883
4,beta,1,32,0.1,raw,32,0.631875,0.4695558931862563
16,beta,1,32,0.1,raw,32,0.5382205513784462,0.4914834876075972
32,beta,1,32,0.1,raw,32,0.6088888888888888,0.4369549421371196
44,beta,1,32,0.1,raw,32,0.7531969309462915,0.4398693741267629
36,beta,1,32,0.1,raw,32,0.477621483375959,0.4867595459570669
13,beta,1,32,0.1,raw,32,0.6774296675191814,0.4230467806012021
5,beta,1,32,0.1,raw,32,0.6566666666666666,0.4478762593636253
45,beta,1,32,0.1,raw,32,0.6488095238095238,0.4345118622636646
9,beta,1,32,0.1,raw,32,0.5594121325828643,0.4738284306788579
41,beta,1,32,0.1,raw,32,0.7467166979362101,0.4126210584154672
49,beta,1,32,0.1,raw,32,0.5674353598881899,0.4546041025451575
25,beta,1,32,0.1,raw,32,0.6324786324786326,0.4356216400706511
29,beta,1,32,0.1,raw,32,0.7247442455242967,0.4148682545754035
17,beta,1,32,0.1,raw,32,0.4526143790849673,0.4942973947439389
33,beta,1,32,0.1,raw,32,0.6699604743083004,0.4235133219327162
37,beta,1,32,0.1,raw,32,0.610062893081761,0.4762646103667892
21,beta,1,32,0.1,raw,32,0.5134459036898061,0.4773902583214642
