seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
4,beta,1,8,1.0,1.0,raw,8,0.8956661316211878,0.3784220639899374
38,beta,1,8,1.0,1.0,raw,8,0.8038730500268962,0.3646067362040648
47,beta,1,8,1.0,1.0,raw,8,0.8671449067431851,0.3751098551376676
14,beta,1,8,1.0,1.0,raw,8,0.8660644585703134,0.340461487414703
23,beta,1,8,1.0,1.0,raw,8,0.8236250597800095,0.3846367557255244
46,beta,1,8,1.0,1.0,raw,8,0.8667279411764706,0.3596846241840166
43,beta,1,8,1.0,1.0,raw,8,0.8503093545110352,0.3681693848242924
11,beta,1,8,1.0,1.0,raw,8,0.87327648766328,0.3527389762637453
39,beta,1,8,1.0,1.0,raw,8,0.8890199637023593,0.3480803656600341
6,beta,1,8,1.0,1.0,raw,8,0.8500231160425334,0.3728934366922213
3,beta,1,8,1.0,1.0,raw,8,0.8023338406900051,0.3705962610922841
27,beta,1,8,1.0,1.0,raw,8,0.8558027338515144,0.3740950433697408
34,beta,1,8,1.0,1.0,raw,8,0.8714285714285714,0.3493011543798442
29,beta,1,8,1.0,1.0,raw,8,0.8541974852071006,0.3461711969112848
7,beta,1,8,1.0,1.0,raw,8,0.8088220551378447,0.3597464300578947
15,beta,1,8,1.0,1.0,raw,8,0.8627568922305764,0.3464016618885068
31,beta,1,8,1.0,1.0,raw,8,0.8710922787193974,0.3670220103588821
2,beta,1,8,1.0,1.0,raw,8,0.863610369805566,0.3724675298466458
19,beta,1,8,1.0,1.0,raw,8,0.8508064516129032,0.3317951260370839
35,beta,1,8,1.0,1.0,raw,8,0.8925956815865073,0.3360993860216443
42,beta,1,8,1.0,1.0,raw,8,0.8554006968641115,0.3687502901431736
18,beta,1,8,1.0,1.0,raw,8,0.8795259425158641,0.358466929197904
30,beta,1,8,1.0,1.0,raw,8,0.8789892278264372,0.3631057315251136
22,beta,1,8,1.0,1.0,raw,8,0.8545135035146134,0.3518835191559306
26,beta,1,8,1.0,1.0,raw,8,0.847534910230835,0.3542619908833344
10,beta,1,8,1.0,1.0,raw,8,0.8427573358174197,0.3630063236936306
25,beta,1,8,1.0,1.0,raw,8,0.8083133971291866,0.3856269374532887
0,beta,1,8,1.0,1.0,raw,8,0.9037781705700396,0.342490685503362
21,beta,1,8,1.0,1.0,raw,8,0.8409598214285714,0.3616606754291629
40,beta,1,8,1.0,1.0,raw,8,0.8612112806287564,0.3708020519428718
45,beta,1,8,1.0,1.0,raw,8,0.8243970315398887,0.3749768925541033
32,beta,1,8,1.0,1.0,raw,8,0.8047284487565518,0.3768565197426088
48,beta,1,8,1.0,1.0,raw,8,0.8058044046285927,0.3782855780573319
36,beta,1,8,1.0,1.0,raw,8,0.771799628942486,0.3934400784420879
28,beta,1,8,1.0,1.0,raw,8,0.9092057937202294,0.3200182726418846
24,beta,1,8,1.0,1.0,raw,8,0.8794182621502209,0.3442843575449454
12,beta,1,8,1.0,1.0,raw,8,0.8674654035478777,0.3472113602316821
44,beta,1,8,1.0,1.0,raw,8,0.8375407545412203,0.3767889386693175
33,beta,1,8,1.0,1.0,raw,8,0.8796923640358909,0.3512145227625378
8,beta,1,8,1.0,1.0,raw,8,0.901851851851852,0.3557202633608795
16,beta,1,8,1.0,1.0,raw,8,0.8563703633431364,0.3541562508940118
9,beta,1,8,1.0,1.0,raw,8,0.8215213358070501,0.3823176513731422
1,beta,1,8,1.0,1.0,raw,8,0.8368736383442266,0.3847169796938025
17,beta,1,8,1.0,1.0,raw,8,0.8863380809595203,0.3606238228301036
20,beta,1,8,1.0,1.0,raw,8,0.9138232318587326,0.3505765865853403
13,beta,1,8,1.0,1.0,raw,8,0.8320512820512821,0.3576199550719494
5,beta,1,8,1.0,1.0,raw,8,0.8135722455203965,0.3780484271741907
41,beta,1,8,1.0,1.0,raw,8,0.8613901572805682,0.3599386770285802
49,beta,1,8,1.0,1.0,raw,8,0.8753623188405797,0.3552793270585499
37,beta,1,8,1.0,1.0,raw,8,0.9159803830850375,0.34848157022378257
