seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
23,beta,1,32,0.5,raw,32,0.5657882195958825,0.4441716823270832,24,2,30,2
27,beta,1,32,0.5,raw,32,0.6072150072150072,0.4417314260018075,30,2,30,2
3,beta,1,32,0.5,raw,32,0.6277831325301206,0.4437130429096781,27,2,30,2
35,beta,1,32,0.5,raw,32,0.6086021505376344,0.4497925286713974,26,2,30,2
7,beta,1,32,0.5,raw,32,0.571750805585392,0.4516801984309528,5,2,30,2
30,beta,1,32,0.5,raw,32,0.5754452199398923,0.44206236291897,6,2,30,2
47,beta,1,32,0.5,raw,32,0.614812030075188,0.449056280858903,26,2,30,2
43,beta,1,32,0.5,raw,32,0.621556607433848,0.4396503768735771,19,2,30,2
38,beta,1,32,0.5,raw,32,0.55585,0.4499209513375733,19,2,30,2
46,beta,1,32,0.5,raw,32,0.6042338563010742,0.4412885019346588,21,2,30,2
14,beta,1,32,0.5,raw,32,0.5602679792179381,0.4507305910149533,21,2,30,2
15,beta,1,32,0.5,raw,32,0.596571290595195,0.4631282502290701,18,2,30,2
31,beta,1,32,0.5,raw,32,0.6055160984848484,0.4544681505011614,30,2,30,2
11,beta,1,32,0.5,raw,32,0.6304716823256593,0.4431069785786103,15,2,30,2
39,beta,1,32,0.5,raw,32,0.6105535388046598,0.4592731622452441,11,2,30,2
19,beta,1,32,0.5,raw,32,0.583315852038319,0.4581788969667124,15,2,30,2
18,beta,1,32,0.5,raw,32,0.5721107250076826,0.4630123252072654,22,2,30,2
26,beta,1,32,0.5,raw,32,0.607450980392157,0.4456812854066631,29,2,30,2
10,beta,1,32,0.5,raw,32,0.6125843328335832,0.4397897575399625,29,2,30,2
22,beta,1,32,0.5,raw,32,0.6309151914844382,0.4687085769152607,26,2,30,2
34,beta,1,32,0.5,raw,32,0.5435855074459053,0.4499681441634613,21,2,30,2
6,beta,1,32,0.5,raw,32,0.5832688383873919,0.4477293950051697,21,2,30,2
2,beta,1,32,0.5,raw,32,0.5991503908704723,0.444272684478779,26,2,30,2
42,beta,1,32,0.5,raw,32,0.5520983694199412,0.4339452985172405,27,2,30,2
0,beta,1,32,0.5,raw,32,0.5955700798838054,0.4460680725403798,20,2,30,2
32,beta,1,32,0.5,raw,32,0.5849465543569282,0.4582360030636462,25,2,30,2
12,beta,1,32,0.5,raw,32,0.5867695184665731,0.4645057058127624,24,2,30,2
20,beta,1,32,0.5,raw,32,0.5668717948717948,0.4474574348249341,30,2,30,2
16,beta,1,32,0.5,raw,32,0.6210702843412095,0.4271543567807241,23,2,30,2
40,beta,1,32,0.5,raw,32,0.6077953132472501,0.4361962750152517,25,2,30,2
44,beta,1,32,0.5,raw,32,0.5930103035366192,0.4510305439265503,26,2,30,2
48,beta,1,32,0.5,raw,32,0.5584224879379064,0.4539158923492261,18,2,30,2
8,beta,1,32,0.5,raw,32,0.6600052521008404,0.4436637237117088,21,2,30,2
24,beta,1,32,0.5,raw,32,0.5920395421436004,0.4528196884753575,29,2,30,2
28,beta,1,32,0.5,raw,32,0.5594212962962963,0.4559088888466531,5,2,30,2
4,beta,1,32,0.5,raw,32,0.5727729301948051,0.454336175506086,12,2,30,2
36,beta,1,32,0.5,raw,32,0.6061911487758945,0.4428844008291843,30,2,30,2
45,beta,1,32,0.5,raw,32,0.6034646061814556,0.4500290735442576,28,2,30,2
37,beta,1,32,0.5,raw,32,0.5669168636210165,0.4459714364422716,21,2,30,2
17,beta,1,32,0.5,raw,32,0.5986166889781348,0.4498941071743569,16,2,30,2
49,beta,1,32,0.5,raw,32,0.5777478944015855,0.4626591421524549,17,2,30,2
33,beta,1,32,0.5,raw,32,0.5734519346222647,0.4350724822802009,15,2,30,2
25,beta,1,32,0.5,raw,32,0.5624500322372663,0.4377084984552846,26,2,30,2
5,beta,1,32,0.5,raw,32,0.5973335224452166,0.4509451325286788,27,2,30,2
1,beta,1,32,0.5,raw,32,0.5673964218455744,0.445012058164337,10,2,30,2
13,beta,1,32,0.5,raw,32,0.6135215794306703,0.4339346361885803,29,2,30,2
21,beta,1,32,0.5,raw,32,0.5945636690563482,0.4553252764645761,23,2,30,2
9,beta,1,32,0.5,raw,32,0.5389885729343842,0.4413410071034055,26,2,30,2
41,beta,1,32,0.5,raw,32,0.6252305775818702,0.4343160506940627,13,2,30,2
29,beta,1,32,0.5,raw,32,0.5941566696715438,0.45299853829280656,27,2,30,2
