seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
7,bernoulli,1,64,1.0,1.0,raw,2,0.4087002843259397,0.5508316306985059,0.2048706822036338,0.9674874797996768
0,bernoulli,1,64,1.0,1.0,raw,2,0.4253049688912725,0.5492333925810321,0.2046315644544782,0.9751491053677932
15,bernoulli,1,64,1.0,1.0,raw,2,0.4044370177998127,0.5891256880316608,0.248351533279386,0.9556986705581082
18,bernoulli,1,64,1.0,1.0,raw,2,0.3952402976218737,0.5977735343111364,0.2019206989457465,0.9735250525913176
19,bernoulli,1,64,1.0,1.0,raw,2,0.3860261861548844,0.6308305694728672,0.2106509381461921,0.975455180405416
6,bernoulli,1,64,1.0,1.0,raw,2,0.4217593069739899,0.5766706129965798,0.2060595236115825,0.9738882889957792
27,bernoulli,1,64,1.0,1.0,raw,2,0.419776341258729,0.5344574126870991,0.1992566035341889,0.9739596774193549
14,bernoulli,1,64,1.0,1.0,raw,2,0.4047116717922169,0.560300308846054,0.2080518380438699,0.9752084940079202
3,bernoulli,1,64,1.0,1.0,raw,2,0.4057544840731199,0.6093752352843741,0.2171848965907321,0.9731940776117484
20,bernoulli,1,64,1.0,1.0,raw,2,0.406384390830147,0.5687341928320276,0.2106525120750854,0.9752114671109288
26,bernoulli,1,64,1.0,1.0,raw,2,0.420163444409214,0.575088077885055,0.2306666009877939,0.95707768137195
11,bernoulli,1,64,1.0,1.0,raw,2,0.4201945816605338,0.556892296844703,0.2061515959884692,0.9754512577093224
31,bernoulli,1,64,1.0,1.0,raw,2,0.3944859998077777,0.5928334055772287,0.2157345079073604,0.9703279521247044
42,bernoulli,1,64,1.0,1.0,raw,2,0.401580067261455,0.590988443950068,0.2402323125735196,0.95664339037833
23,bernoulli,1,64,1.0,1.0,raw,2,0.4149285562042347,0.568581691473802,0.2206050942034874,0.9632567291808376
10,bernoulli,1,64,1.0,1.0,raw,2,0.4050585441307899,0.5836007130124777,0.230136567288695,0.9619962817200668
46,bernoulli,1,64,1.0,1.0,raw,2,0.4085223031533171,0.5950151515151516,0.2128504268947081,0.9670505669974488
7,bernoulli,1,64,1.0,1.0,raw,3,0.4014778819898056,0.5740406716894395,0.224721117833935,0.9662394598313574
34,bernoulli,1,64,1.0,1.0,raw,2,0.4049627377004673,0.5523047815617476,0.2239244383660637,0.9664748212892644
38,bernoulli,1,64,1.0,1.0,raw,2,0.4111249111983846,0.5857216948158839,0.2135602586297589,0.9726120653540008
0,bernoulli,1,64,1.0,1.0,raw,3,0.4296259922740888,0.5653169751882199,0.2129066706218901,0.9745770276301376
1,bernoulli,1,64,1.0,1.0,raw,2,0.4337896128053708,0.5615047066317502,0.2145033914685843,0.9698077608266122
