seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,32,1.0,1.0,raw,32,0.8142323975398131,0.3671621557376507
43,beta,1,32,1.0,1.0,raw,32,0.9177947203471551,0.2938145444856071
2,beta,1,32,1.0,1.0,raw,32,0.8423904700500446,0.3571808007213623
6,beta,1,32,1.0,1.0,raw,32,0.8662410608297866,0.338912642011077
26,beta,1,32,1.0,1.0,raw,32,0.865887502605485,0.3284239882712393
30,beta,1,32,1.0,1.0,raw,32,0.8818030294355276,0.3330892312312125
23,beta,1,32,1.0,1.0,raw,32,0.8775745434485962,0.3224544203323201
10,beta,1,32,1.0,1.0,raw,32,0.8403822245352299,0.3606488621914187
42,beta,1,32,1.0,1.0,raw,32,0.8533658536585367,0.3419427179082409
7,beta,1,32,1.0,1.0,raw,32,0.8776668402192889,0.3189879338133444
39,beta,1,32,1.0,1.0,raw,32,0.8369467455621301,0.3553545212871467
3,beta,1,32,1.0,1.0,raw,32,0.8084677419354839,0.3735870923606177
34,beta,1,32,1.0,1.0,raw,32,0.8980448454231086,0.3167085380959213
38,beta,1,32,1.0,1.0,raw,32,0.8801029702497208,0.3185276218800115
27,beta,1,32,1.0,1.0,raw,32,0.8166941747304853,0.3782279441930706
35,beta,1,32,1.0,1.0,raw,32,0.8414191389773799,0.3524702432937165
24,beta,1,32,1.0,1.0,raw,32,0.8428292477769767,0.3606543573961674
47,beta,1,32,1.0,1.0,raw,32,0.8816054070376296,0.323394244061212
46,beta,1,32,1.0,1.0,raw,32,0.913817037342859,0.3019343726885111
18,beta,1,32,1.0,1.0,raw,32,0.8983778065122839,0.3164818284933509
14,beta,1,32,1.0,1.0,raw,32,0.877577677224736,0.3271474354287358
11,beta,1,32,1.0,1.0,raw,32,0.9001456823181773,0.3145692267423447
15,beta,1,32,1.0,1.0,raw,32,0.8675899621212121,0.3355893171511235
22,beta,1,32,1.0,1.0,raw,32,0.8864796440411388,0.3213202278767607
19,beta,1,32,1.0,1.0,raw,32,0.8795436358786585,0.3166598257572371
31,beta,1,32,1.0,1.0,raw,32,0.8987865129583081,0.3082353224574195
33,beta,1,32,1.0,1.0,raw,32,0.8925611272275177,0.3117432013460923
16,beta,1,32,1.0,1.0,raw,32,0.878973424468396,0.3200807547187738
32,beta,1,32,1.0,1.0,raw,32,0.8429392278150742,0.355119135033778
12,beta,1,32,1.0,1.0,raw,32,0.8725430833721473,0.316092335428645
20,beta,1,32,1.0,1.0,raw,32,0.8375885945382872,0.3472908972007192
4,beta,1,32,1.0,1.0,raw,32,0.8588685567652409,0.3493532702558671
48,beta,1,32,1.0,1.0,raw,32,0.8676146767725935,0.3377625437630072
28,beta,1,32,1.0,1.0,raw,32,0.8938329634742292,0.3125456538230634
40,beta,1,32,1.0,1.0,raw,32,0.8641962047977085,0.3338590130129378
36,beta,1,32,1.0,1.0,raw,32,0.8159606817056785,0.3780643903218688
44,beta,1,32,1.0,1.0,raw,32,0.829076023391813,0.3602228115577892
8,beta,1,32,1.0,1.0,raw,32,0.9379527258863896,0.2751447377999897
37,beta,1,32,1.0,1.0,raw,32,0.856998254799302,0.3504611459996455
29,beta,1,32,1.0,1.0,raw,32,0.8145721799567953,0.3671534908047166
1,beta,1,32,1.0,1.0,raw,32,0.8065955989637613,0.3835439894462727
21,beta,1,32,1.0,1.0,raw,32,0.8291921475173328,0.349963514946772
41,beta,1,32,1.0,1.0,raw,32,0.8691467018120325,0.3467872775048058
5,beta,1,32,1.0,1.0,raw,32,0.7999783565399322,0.3721183485526502
17,beta,1,32,1.0,1.0,raw,32,0.8742157335907335,0.3335722226203156
49,beta,1,32,1.0,1.0,raw,32,0.8226026407789431,0.3621579307420376
45,beta,1,32,1.0,1.0,raw,32,0.7949848337603441,0.3792912601640723
25,beta,1,32,1.0,1.0,raw,32,0.8562414094714483,0.3388572273659503
9,beta,1,32,1.0,1.0,raw,32,0.8382877805954729,0.3605321829500152
13,beta,1,32,1.0,1.0,raw,32,0.922441533720087,0.28712733206094604
