n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,0,0.0155,train_items_only_refit_v1,train_items_only,950,none,,29.0,9833,0.4176557563296453,0.6720408437458014,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.024269916117191315, 0.023214144632220268, 0.02136249653995037, 0.022557087242603302, 0.023111730813980103, 0.023663237690925598, 0.02490023523569107, 0.02274697832763195, 0.024447891861200333, 0.02198655530810356, 0.026421615853905678, 0.02342042326927185, 0.02400273270905018, 0.02514604851603508, 0.023777691647410393, 0.0252862386405468, 0.022264543920755386, 0.02266518585383892, 0.02310004271566868, 0.021684201434254646, 0.02025817148387432, 0.022456448525190353, 0.025755707174539566, 0.022183338180184364, 0.020859917625784874, 0.021288849413394928, 0.024842172861099243, 0.022457312792539597, 0.024367069825530052, 0.021453171968460083]",pca,32
54,bernoulli,4,0.0155,train_items_only_refit_v1,train_items_only,951,none,,29.0,9059,0.3972326086797526,0.7170572790041816,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.028203018009662628, 0.029488973319530487, 0.03528794273734093, 0.026063911616802216, 0.03306902199983597, 0.029476063326001167, 0.030607815831899643, 0.029287846758961678, 0.030600272119045258, 0.026615142822265625, 0.03024796023964882, 0.028694504871964455, 0.029764290899038315, 0.027834510430693626, 0.030163399875164032, 0.029708823189139366, 0.0322955921292305, 0.0316610261797905, 0.03056992217898369, 0.031348492950201035, 0.028702884912490845, 0.02858142927289009, 0.028371231630444527, 0.028092944994568825, 0.029772961512207985, 0.02757393755018711, 0.02736765705049038, 0.027980715036392212, 0.02916199341416359, 0.03163032978773117]",pca,32
54,bernoulli,1,0.0155,train_items_only_refit_v1,train_items_only,951,none,,29.0,9008,0.4363254550452579,0.6454814783905863,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.03012264333665371, 0.03148753568530083, 0.028013763949275017, 0.030497204512357712, 0.030618058517575264, 0.02868209220468998, 0.0296165868639946, 0.029998576268553734, 0.0302639938890934, 0.029372332617640495, 0.02990097366273403, 0.029620615765452385, 0.030443591997027397, 0.0292515866458416, 0.030829116702079773, 0.028127390891313553, 0.02819475345313549, 0.025284891948103905, 0.02893221005797386, 0.029759135097265244, 0.030342215672135353, 0.030534254387021065, 0.029443206265568733, 0.030470125377178192, 0.028025077655911446, 0.02986149862408638, 0.030353708192706108, 0.030423812568187714, 0.03125767409801483, 0.0315336175262928]",pca,32
54,bernoulli,3,0.0155,train_items_only_refit_v1,train_items_only,950,none,,29.0,8229,0.3969744392533278,0.6667929388590045,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.03689416125416756, 0.04117690026760101, 0.0389459989964962, 0.038535211235284805, 0.03803235664963722, 0.04014774039387703, 0.03867323696613312, 0.04237319529056549, 0.04378916323184967, 0.035863544791936874, 0.03888469934463501, 0.041307080537080765, 0.03484277054667473, 0.04394787177443504, 0.03938130661845207, 0.035857297480106354, 0.03733676299452782, 0.03991226479411125, 0.03929946944117546, 0.04402156546711922, 0.03856588155031204, 0.04074743390083313, 0.03626708686351776, 0.04312380030751228, 0.04031283035874367, 0.037899237126111984, 0.03714557737112045, 0.03633416071534157, 0.040695540606975555, 0.03618535399436951]",pca,32
54,bernoulli,8,0.0155,train_items_only_refit_v1,train_items_only,951,none,,29.0,9790,0.3731400338535587,0.6985549215001562,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.0263062696903944, 0.024610327556729317, 0.025056961923837662, 0.02576797641813755, 0.027076242491602898, 0.02459227666258812, 0.02668832615017891, 0.02571442350745201, 0.021808108314871788, 0.027145151048898697, 0.02603788487613201, 0.02524409256875515, 0.027063552290201187, 0.02892795391380787, 0.025499798357486725, 0.02297072671353817, 0.0243813656270504, 0.02677123062312603, 0.024154407903552055, 0.026535913348197937, 0.02432309091091156, 0.024386107921600342, 0.025764845311641693, 0.024648180231451988, 0.02673880010843277, 0.0285418052226305, 0.024877026677131653, 0.02805935963988304, 0.025326579809188843, 0.024438505992293358]",pca,32
54,bernoulli,2,0.0155,train_items_only_refit_v1,train_items_only,950,none,,30.0,9068,0.3802414600973329,0.7625301357695724,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.017961351200938225, 0.019860468804836273, 0.016068628057837486, 0.016988618299365044, 0.019048145040869713, 0.021075375378131866, 0.02027934417128563, 0.023581458255648613, 0.01861792616546154, 0.019208747893571854, 0.020659329369664192, 0.023700518533587456, 0.01967468671500683, 0.018941430374979973, 0.02274184487760067, 0.017916284501552582, 0.02147812396287918, 0.018826577812433243, 0.019138921052217484, 0.020394716411828995, 0.020395036786794662, 0.017885396257042885, 0.01857154071331024, 0.018012160435318947, 0.021122053265571594, 0.01732904464006424, 0.01934235915541649, 0.019075699150562286, 0.022060461342334747, 0.017855172976851463]",pca,32
54,bernoulli,6,0.0155,train_items_only_refit_v1,train_items_only,950,none,,29.0,8987,0.3957043948063712,0.691243757983974,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02698124386370182, 0.026811648160219193, 0.025271151214838028, 0.026418324559926987, 0.026920638978481293, 0.0237421914935112, 0.026980003342032433, 0.027925141155719757, 0.025179186835885048, 0.027382176369428635, 0.026662196964025497, 0.03053181990981102, 0.027178185060620308, 0.027370622381567955, 0.02745509333908558, 0.028371063992381096, 0.026118235662579536, 0.030641531571745872, 0.026958880946040154, 0.028444575145840645, 0.028128232806921005, 0.026360750198364258, 0.02879089117050171, 0.028644563630223274, 0.029001276940107346, 0.025133874267339706, 0.026695149019360542, 0.02773994579911232, 0.02836102992296219, 0.02616162784397602]",pca,32
54,bernoulli,12,0.0155,train_items_only_refit_v1,train_items_only,951,none,,29.0,8245,0.3885856992948264,0.6526251241927471,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.021001586690545082, 0.021216360852122307, 0.02082630805671215, 0.020824642851948738, 0.022630516439676285, 0.01886794902384281, 0.020552968606352806, 0.02125544100999832, 0.02184852957725525, 0.021943479776382446, 0.024904167279601097, 0.02234421856701374, 0.021267587319016457, 0.021934473887085915, 0.021244574338197708, 0.027907993644475937, 0.020235367119312286, 0.0263891089707613, 0.02128518745303154, 0.02307737246155739, 0.02507781609892845, 0.020156225189566612, 0.022485384717583656, 0.02305709198117256, 0.01983717642724514, 0.021200744435191154, 0.01999969780445099, 0.020753702148795128, 0.020278677344322205, 0.021240195259451866]",pca,32
54,bernoulli,7,0.0155,train_items_only_refit_v1,train_items_only,952,none,,29.0,9821,0.3936306901340595,0.6141048032602135,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02963717095553875, 0.028700973838567734, 0.032735101878643036, 0.03147038444876671, 0.030416138470172882, 0.027163930237293243, 0.030516553670167923, 0.03168296813964844, 0.0331602543592453, 0.027816185727715492, 0.02930794470012188, 0.029207507148385048, 0.02938530594110489, 0.028306590393185616, 0.03003064915537834, 0.02898254431784153, 0.029986394569277763, 0.03260602802038193, 0.029411813244223595, 0.032030485570430756, 0.03022802621126175, 0.029639871791005135, 0.030385563150048256, 0.031220829114317894, 0.029259424656629562, 0.02903352864086628, 0.03225008398294449, 0.028625955805182457, 0.027473166584968567, 0.03446686640381813]",pca,32
54,bernoulli,11,0.0155,train_items_only_refit_v1,train_items_only,949,none,,29.0,9722,0.4035229670252707,0.6695744470774092,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02707873471081257, 0.024056430906057358, 0.02249462530016899, 0.024768009781837463, 0.022461825981736183, 0.02255144529044628, 0.022563643753528595, 0.021773356944322586, 0.02366000786423683, 0.02188977599143982, 0.022370323538780212, 0.021415213122963905, 0.023436881601810455, 0.023399528115987778, 0.022087451070547104, 0.025244146585464478, 0.02042062021791935, 0.02176247537136078, 0.022888166829943657, 0.02246132493019104, 0.021579263731837273, 0.02496102638542652, 0.02178730070590973, 0.02381753735244274, 0.021655654534697533, 0.0229891836643219, 0.022157685831189156, 0.024271847680211067, 0.020263759419322014, 0.021028000861406326]",pca,32
