n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,0,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5489,0.4342245376492209,0.6836049856184085,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.016680611297488213, 0.009252797812223434, 0.014209900982677937, 0.012221761979162693, 0.015249424614012241, 0.020411357283592224, 0.017404397949576378, 0.012097849510610104, 0.014739491045475006, 0.022120831534266472, 0.01710306480526924, 0.012517561204731464, 0.013821364380419254, 0.016591763123869896, 0.013527984730899334, 0.01745232380926609, 0.021830542013049126, 0.02628573216497898, 0.02347552590072155, 0.015047265216708183, 0.015564925968647003, 0.01596786268055439, 0.009709513746201992, 0.019319741055369377, 0.017814407125115395, 0.013746390119194984, 0.016998033970594406, 0.015093861147761345, 0.012669638730585575, 0.01886053755879402]",raw,32
54,bernoulli,3,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,4604,0.4162750330835111,0.6058383453131876,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.018744660541415215, 0.01786181703209877, 0.0225068386644125, 0.0226591769605875, 0.025026248767971992, 0.020656976848840714, 0.019649801775813103, 0.02029949240386486, 0.02359781228005886, 0.024403978139162064, 0.01975873112678528, 0.023984141647815704, 0.020027093589305878, 0.025470327585935593, 0.030784156173467636, 0.016178961843252182, 0.024085862562060356, 0.024675387889146805, 0.01949659176170826, 0.016690444201231003, 0.012040907517075539, 0.023664524778723717, 0.01891610026359558, 0.017635857686400414, 0.019018493592739105, 0.01574878953397274, 0.02080713026225567, 0.011215255595743656, 0.017198732122778893, 0.01728878915309906]",raw,32
54,bernoulli,1,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5009,0.4507736331025118,0.6902985074626864,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02652076631784439, 0.012913230806589127, 0.01794213429093361, 0.010926621034741402, 0.017099570482969284, 0.01069557759910822, 0.022679395973682404, 0.016608696430921555, 0.017214816063642502, 0.014921603724360466, 0.020969005301594734, 0.024377167224884033, 0.01568427123129368, 0.029111267998814583, 0.015464373864233494, 0.014476016163825989, 0.010513217188417912, 0.014530008658766747, 0.0175862405449152, 0.010332941077649593, 0.028209734708070755, 0.01916969008743763, 0.012352009303867817, 0.015539760701358318, 0.008541450835764408, 0.015371466055512428, 0.015259363688528538, 0.011822708882391453, 0.011104738339781761, 0.016313379630446434]",raw,32
54,bernoulli,4,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5062,0.4463449188603848,0.6151024849080444,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.019780876114964485, 0.030587702989578247, 0.016202665865421295, 0.018125461414456367, 0.02035336196422577, 0.017309783026576042, 0.014772485941648483, 0.016843844205141068, 0.010365108959376812, 0.016477111726999283, 0.01879688911139965, 0.009671960026025772, 0.018783269450068474, 0.014359653927385807, 0.015610374510288239, 0.012647860683500767, 0.011596864089369774, 0.024090223014354706, 0.020080290734767914, 0.016420528292655945, 0.016586335375905037, 0.01725703850388527, 0.018292199820280075, 0.010648820549249649, 0.020614786073565483, 0.017116811126470566, 0.019554249942302704, 0.02001154236495495, 0.02010754495859146, 0.015518128871917725]",raw,32
54,bernoulli,2,0.0151,external_raw_frozen_v1,external_frozen,0,none,,30.0,5004,0.3548194908540613,0.7550014055472263,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02124369703233242, 0.014484704472124577, 0.010776609182357788, 0.012740434147417545, 0.028184430673718452, 0.013324452564120293, 0.015199536457657814, 0.02245255932211876, 0.025210628286004066, 0.013441585935652256, 0.009879994206130505, 0.008457528427243233, 0.012635939754545689, 0.013078278861939907, 0.011273995041847229, 0.013585236854851246, 0.014379458501935005, 0.019211500883102417, 0.014537310227751732, 0.01398627832531929, 0.029772652313113213, 0.014526202343404293, 0.014990369789302349, 0.016955377534031868, 0.015422806143760681, 0.003241505939513445, 0.007832000963389874, 0.014993379823863506, 0.01565639302134514, 0.01644638553261757]",raw,32
54,bernoulli,8,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5455,0.4093295530761802,0.6814370245139475,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01365455612540245, 0.01780225709080696, 0.01916467398405075, 0.022367525845766068, 0.018176402896642685, 0.016615288332104683, 0.019694695249199867, 0.01690099574625492, 0.020205087959766388, 0.017738230526447296, 0.021459316834807396, 0.02261810563504696, 0.022118499502539635, 0.020761685445904732, 0.03204674646258354, 0.024350758641958237, 0.025286240503191948, 0.01952083595097065, 0.01572852022945881, 0.019981784746050835, 0.02214059792459011, 0.024224331602454185, 0.017200862988829613, 0.016706258058547974, 0.026372170075774193, 0.01726776920258999, 0.023999517783522606, 0.018182363361120224, 0.016753273084759712, 0.018555300310254097]",raw,32
54,bernoulli,6,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5019,0.419944585141711,0.6598252836630183,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.022227801382541656, 0.017837652936577797, 0.014246822334825993, 0.021051468327641487, 0.01405212190002203, 0.03104107454419136, 0.020667795091867447, 0.02498616650700569, 0.022619852796196938, 0.01849222369492054, 0.02374059520661831, 0.014817087911069393, 0.009267443791031837, 0.020680896937847137, 0.019322846084833145, 0.014718803577125072, 0.020007777959108353, 0.010566579177975655, 0.017857646569609642, 0.030662769451737404, 0.014051830396056175, 0.020042531192302704, 0.021355140954256058, 0.01703548990190029, 0.013830223120748997, 0.02722311019897461, 0.018388541415333748, 0.020533578470349312, 0.013588273897767067, 0.0162972379475832]",raw,32
54,bernoulli,5,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5053,0.3986582425055663,0.6542850990525411,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.012882095761597157, 0.011456562206149101, 0.015270502306520939, 0.019660647958517075, 0.011627688072621822, 0.01236671768128872, 0.024612994864583015, 0.021303342655301094, 0.010945986025035381, 0.010811802931129932, 0.01947201043367386, 0.0244706142693758, 0.012960569001734257, 0.019512435421347618, 0.013506467454135418, 0.018101444467902184, 0.02731681615114212, 0.012490923516452312, 0.011487706564366817, 0.010874618776142597, 0.008972835727036, 0.014282621443271637, 0.017879437655210495, 0.0162594523280859, 0.02091616578400135, 0.022232091054320335, 0.015017613768577576, 0.01715887524187565, 0.01786043867468834, 0.011543824337422848]",raw,32
54,bernoulli,9,0.0151,external_raw_frozen_v1,external_frozen,0,none,,30.0,4571,0.3999678077260448,0.7978586119288624,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02536172792315483, 0.009298511780798435, 0.02036283165216446, 0.018428971990942955, 0.014134556986391544, 0.0159914530813694, 0.016650767996907234, 0.02237933687865734, 0.017389368265867233, 0.01429503783583641, 0.027371032163500786, 0.026974663138389587, 0.01636279933154583, 0.012553858570754528, 0.011970758438110352, 0.018661046400666237, 0.014017481356859207, 0.015437747351825237, 0.012852728366851807, 0.019511759281158447, 0.01357037853449583, 0.01130537036806345, 0.02114184759557247, 0.012645108625292778, 0.016094518825411797, 0.013006393797695637, 0.012071977369487286, 0.014192582108080387, 0.006468051578849554, 0.01303097140043974]",raw,32
54,bernoulli,7,0.0151,external_raw_frozen_v1,external_frozen,0,none,,29.0,5501,0.4226343949567531,0.6099013157894737,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.015144295059144497, 0.026525117456912994, 0.010410989634692669, 0.013449838384985924, 0.0216755922883749, 0.012148985639214516, 0.011303883045911789, 0.011417394503951073, 0.01058890763670206, 0.011764024384319782, 0.013897950761020184, 0.020731210708618164, 0.016346577554941177, 0.021803483366966248, 0.009924905374646187, 0.023198647424578667, 0.020244749262928963, 0.01863279566168785, 0.01130211167037487, 0.013575030490756035, 0.008703822270035744, 0.019961336627602577, 0.01013856939971447, 0.01196987647563219, 0.02297021448612213, 0.012051106430590153, 0.010098771192133427, 0.012069514952600002, 0.011931847780942917, 0.01758723333477974]",raw,32
