n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7655,0.3151652642068737,0.6554466831173186,8,"[5, 7, 8, 18, 21, 23, 24, 26]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.034629471600055695, 0.0, 0.012737272307276726, 0.059918757528066635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0231710746884346, 0.0, 0.0, 0.0457833968102932, 0.0, 0.05768963322043419, 0.004503519739955664, 0.0, 0.09642405062913895, 0.0, 0.0, 0.0]",raw,32
54,beta,1,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7024,0.2715208866074745,0.6845741113346746,10,"[1, 2, 3, 5, 6, 11, 17, 22, 23, 28]","[0.0, 0.1203390508890152, 0.185624897480011, 0.17010366916656494, 0.0, 0.02732517197728157, 0.03320843726396561, 0.0, 0.0, 0.0, 0.0, 0.0061182486824691296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16830132901668549, 0.0, 0.0, 0.0, 0.0, 0.015284704975783825, 0.047752298414707184, 0.0, 0.0, 0.0, 0.0, 0.1548803448677063, 0.0]",raw,32
54,beta,3,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,6404,0.2921246384507024,0.690513659826262,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.16159696877002716, 0.14942261576652527, 0.21274110674858093, 0.16059455275535583, 0.2425825148820877, 0.14718125760555267, 0.1654149740934372, 0.2835472524166107, 0.25943925976753235, 0.16000987589359283, 0.13618217408657074, 0.14950083196163177, 0.27127692103385925, 0.1814897507429123, 0.18257810175418854, 0.10090700536966324, 0.19391605257987976, 0.23514080047607422, 0.15627281367778778, 0.12471818178892136, 0.1419411152601242, 0.2630130350589752, 0.11971750855445862, 0.10889437049627304, 0.17945973575115204, 0.1482398360967636, 0.1573924422264099, 0.2819182276725769, 0.13004207611083984, 0.13355790078639984]",raw,32
54,beta,4,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7072,0.3013783263090557,0.701319357530246,15,"[1, 2, 4, 7, 10, 12, 13, 15, 16, 18, 22, 24, 26, 27, 28]","[0.0, 0.065830297768116, 0.0053596459329128265, 0.0, 0.08562397211790085, 0.0, 0.0, 0.1596558541059494, 0.0, 0.0, 0.03423498198390007, 0.0, 0.08006653934717178, 0.1268800050020218, 0.0, 0.016105525195598602, 0.006620810832828283, 0.0, 0.2922496199607849, 0.0, 0.0, 0.0, 0.058833472430706024, 0.0, 0.025860371068120003, 0.0, 0.09168198704719543, 0.03394988924264908, 0.13389769196510315, 0.0]",raw,32
54,beta,7,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7705,0.3126909030505718,0.6498688486082294,5,"[1, 5, 7, 23, 29]","[0.0, 0.04041358083486557, 0.0, 0.0, 0.0, 0.029475927352905273, 0.0, 0.07085727900266647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019700912758708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005816233344376087]",raw,32
54,beta,8,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7608,0.2873765260465904,0.6848667396860169,16,"[1, 3, 7, 8, 11, 14, 15, 16, 18, 19, 20, 21, 24, 25, 26, 29]","[0.0, 0.001633164007216692, 0.0, 0.14396421611309052, 0.0, 0.0, 0.0, 0.002332258503884077, 0.1252111941576004, 0.0, 0.0, 0.009533806703984737, 0.0, 0.0, 0.22317521274089813, 0.07685527205467224, 0.03167714923620224, 0.0, 0.04666686803102493, 0.0626809149980545, 0.017341280356049538, 0.012578573077917099, 0.0, 0.0, 0.1506621390581131, 0.035635098814964294, 0.25281253457069397, 0.0, 0.0, 0.0018504186300560832]",raw,32
54,beta,2,0.029,external_raw_frozen_v1,external_frozen,0,none,,30.0,7043,0.2740839673141573,0.6227403846153847,3,"[2, 4, 20]","[0.0, 0.0, 0.021005481481552124, 0.0, 0.07897326350212097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06100910156965256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,32
54,beta,20,0.029,external_raw_frozen_v1,external_frozen,0,none,,30.0,7011,0.2281427846795504,0.7591269729226078,6,"[0, 1, 5, 15, 19, 22]","[0.07545117288827896, 0.15084576606750488, 0.0, 0.0, 0.0, 0.07585503160953522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00035037772613577545, 0.0, 0.0, 0.0, 0.04285367205739021, 0.0, 0.0, 0.0, 0.04832926020026207, 0.0, 0.0, 0.0336797796189785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,32
54,beta,24,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7638,0.2700924490345945,0.6979913916786227,5,"[3, 5, 14, 18, 28]","[0.0, 0.0, 0.0, 0.002222639275714755, 0.0, 0.030396737158298492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04266814514994621, 0.0, 0.0, 0.0, 0.0084858238697052, 0.0, 0.00012501089076977223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09959891438484192, 0.0]",raw,32
54,beta,28,0.029,external_raw_frozen_v1,external_frozen,0,none,,29.0,7050,0.306434574267281,0.6466969344346731,27,"[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[0.18812966346740723, 0.07300689071416855, 0.0, 0.03462455794215202, 0.05069498345255852, 0.044236067682504654, 0.033410683274269104, 0.2170015126466751, 0.012860693968832493, 0.0, 0.03447956219315529, 0.06962010264396667, 0.014333841390907764, 0.06871677935123444, 0.02429995685815811, 0.18918603658676147, 0.04014689847826958, 0.03465894237160683, 0.02584296278655529, 0.1351068764925003, 0.09187500923871994, 0.05810108035802841, 0.06406256556510925, 0.03996112942695618, 0.048288773745298386, 0.004349573981016874, 0.048046644777059555, 0.10201060026884079, 0.12450376152992249, 0.0]",raw,32
