n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,0,0.0159,train_items_only_refit_v1,train_items_only,739,none,,29.0,7655,0.4171266897222757,0.6398345351892224,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.015270531177520752, 0.011997878551483154, 0.008328840136528015, 0.0074065253138542175, 0.013884223066270351, 0.015731599181890488, 0.013338110409677029, 0.011862936429679394, 0.012411537580192089, 0.012553315609693527, 0.011313010938465595, 0.015553091652691364, 0.01898776926100254, 0.007824694737792015, 0.015303160063922405, 0.01392730139195919, 0.013968155719339848, 0.013001006096601486, 0.014976930804550648, 0.012154481373727322, 0.011398006230592728, 0.012936114333570004, 0.011519414372742176, 0.00874242838472128, 0.01344018243253231, 0.009369118139147758, 0.01227020937949419, 0.011392630636692047, 0.012693466618657112, 0.013731464743614197]",sae,32
54,bernoulli,1,0.0159,train_items_only_refit_v1,train_items_only,740,none,,29.0,7024,0.3701183550572159,0.6741448692152918,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01948929764330387, 0.016917292028665543, 0.01915379799902439, 0.017804760485887527, 0.018437715247273445, 0.022293299436569214, 0.021561989560723305, 0.021507585421204567, 0.019191762432456017, 0.020978419110178947, 0.02254108339548111, 0.019452717155218124, 0.019219934940338135, 0.022751061245799065, 0.020288478583097458, 0.02245393767952919, 0.018767617642879486, 0.01664050482213497, 0.020049791783094406, 0.024497807025909424, 0.01719105802476406, 0.020081743597984314, 0.022447315976023674, 0.01929001696407795, 0.020688708871603012, 0.02150418609380722, 0.024571090936660767, 0.024092698469758034, 0.0217116791754961, 0.02163727767765522]",sae,32
54,bernoulli,2,0.0159,train_items_only_refit_v1,train_items_only,738,none,,30.0,7043,0.3848583477626514,0.6678472222222221,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.009474258869886398, 0.009981924667954445, 0.010090157389640808, 0.011126507073640823, 0.011239015497267246, 0.012893198989331722, 0.014745982363820076, 0.01066975761204958, 0.00943948794156313, 0.012094281613826752, 0.01088662724941969, 0.012507137842476368, 0.010702514089643955, 0.015068490989506245, 0.010312597267329693, 0.014270162209868431, 0.011477175168693066, 0.010728871449828148, 0.014186639338731766, 0.013378125615417957, 0.01385902613401413, 0.010930370539426804, 0.009756400249898434, 0.01549020316451788, 0.017306232824921608, 0.01153082400560379, 0.011119434610009193, 0.010025897063314915, 0.012338018976151943, 0.01359040942043066]",sae,32
54,bernoulli,4,0.0159,train_items_only_refit_v1,train_items_only,739,none,,29.0,7072,0.4020207414020905,0.686717772215269,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.00839016493409872, 0.006996705196797848, 0.002118789590895176, 0.008580944500863552, 0.00497305765748024, 0.004572989419102669, 0.006470967549830675, 0.005999848712235689, 0.004912433680146933, 0.004314838442951441, 0.009292982518672943, 0.010119941085577011, 0.006186641287058592, 0.0023804379161447287, 0.006196001544594765, 0.004987888038158417, 0.007415737025439739, 0.006222154945135117, 0.0062788729555904865, 0.004588923417031765, 0.004535662475973368, 0.011250883340835571, 0.005833988077938557, 0.005238983780145645, 0.004080933518707752, 0.0041059209033846855, 0.006398071069270372, 0.003218273399397731, 0.005408206023275852, 0.006395940203219652]",sae,32
54,bernoulli,5,0.0159,train_items_only_refit_v1,train_items_only,740,none,,29.0,7046,0.4174724020373803,0.5795538191495385,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.021470937877893448, 0.01678329147398472, 0.015521567314863205, 0.01665058173239231, 0.023351985961198807, 0.01836468279361725, 0.017530566081404686, 0.023618726059794426, 0.015321257524192333, 0.021489223465323448, 0.020667772740125656, 0.016458142548799515, 0.020373575389385223, 0.016886835917830467, 0.01827569678425789, 0.016601545736193657, 0.016744887456297874, 0.023431619629263878, 0.013308413326740265, 0.017583487555384636, 0.017995283007621765, 0.016561005264520645, 0.015126131474971771, 0.019495058804750443, 0.02189566008746624, 0.018384236842393875, 0.0191647969186306, 0.02019309252500534, 0.020319757983088493, 0.01826435513794422]",sae,32
54,bernoulli,3,0.0159,train_items_only_refit_v1,train_items_only,739,none,,29.0,6404,0.4059032647759299,0.644026186579378,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.013210228644311428, 0.013729501515626907, 0.013116649352014065, 0.01449328102171421, 0.017597462981939316, 0.013193445280194283, 0.013300133869051933, 0.014009545557200909, 0.01531349215656519, 0.014314252883195877, 0.015334687195718288, 0.013410779647529125, 0.014763486571609974, 0.012468037195503712, 0.01342442724853754, 0.009636745788156986, 0.015908176079392433, 0.012661125510931015, 0.01565697230398655, 0.016983263194561005, 0.013387015089392662, 0.015918338671326637, 0.016575081273913383, 0.013856833800673485, 0.018231723457574844, 0.015727384015917778, 0.01709420047700405, 0.012745166197419167, 0.018103549256920815, 0.015880590304732323]",sae,32
54,bernoulli,8,0.0159,train_items_only_refit_v1,train_items_only,740,none,,29.0,7608,0.3868983073447227,0.641566265060241,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.006893207784742117, 0.00402383366599679, 0.004435883369296789, 0.00650800671428442, 0.006818691734224558, 0.004388924688100815, 0.008189952000975609, 0.010680028237402439, 0.006221373565495014, 0.007811468094587326, 0.007046950049698353, 0.005335623864084482, 0.006958997808396816, 0.006747339852154255, 0.005934617016464472, 0.0071443296037614346, 0.009172450751066208, 0.0059995269402861595, 0.006932357791811228, 0.011234791949391365, 0.009016355499625206, 0.0066116927191615105, 0.0072685712948441505, 0.011001787148416042, 0.007214895449578762, 0.002919212682172656, 0.006307067349553108, 0.004400282166898251, 0.009814910590648651, 0.006362301763147116]",sae,32
54,bernoulli,7,0.0159,train_items_only_refit_v1,train_items_only,741,none,,29.0,7705,0.4067077258884232,0.7012332145793367,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.009174080565571785, 0.00667219515889883, 0.0057283123023808, 0.009224244393408298, 0.009206503629684448, 0.00736022787168622, 0.007850042544305325, 0.008514182642102242, 0.006515022832900286, 0.008752064779400826, 0.008099768310785294, 0.008086358197033405, 0.005696433130651712, 0.0084953922778368, 0.010877411812543869, 0.005827215500175953, 0.009542244486510754, 0.008185992017388344, 0.006699292454868555, 0.010151774622499943, 0.0067019215784966946, 0.006490110885351896, 0.006998732220381498, 0.00881173275411129, 0.00783085823059082, 0.008429186418652534, 0.0061030820943415165, 0.008526189252734184, 0.006121787242591381, 0.006178917828947306]",sae,32
54,bernoulli,6,0.0159,train_items_only_refit_v1,train_items_only,741,none,,29.0,7024,0.3987677832079032,0.6003442865858973,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.020226912572979927, 0.02604377083480358, 0.01945433020591736, 0.019095614552497864, 0.024007171392440796, 0.02094542235136032, 0.02141549251973629, 0.02516820654273033, 0.022464869543910027, 0.019809359684586525, 0.019505299627780914, 0.01722176931798458, 0.021090537309646606, 0.02051113173365593, 0.021076882258057594, 0.017624951899051666, 0.022823186591267586, 0.01967572420835495, 0.021677006036043167, 0.019752642139792442, 0.02114001475274563, 0.0198891032487154, 0.021104300394654274, 0.022436054423451424, 0.022524334490299225, 0.02404841035604477, 0.025349879637360573, 0.01540216151624918, 0.019436374306678772, 0.02047000825405121]",sae,32
54,bernoulli,16,0.0159,train_items_only_refit_v1,train_items_only,739,none,,29.0,6410,0.4220549411613688,0.687735889983081,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.012438353151082993, 0.009428787045180798, 0.010011809878051281, 0.013666973449289799, 0.010722801089286804, 0.010650779120624065, 0.009480541571974754, 0.011571774259209633, 0.012097476981580257, 0.010338506661355495, 0.011044856160879135, 0.010717127472162247, 0.01183268427848816, 0.010277007706463337, 0.012073402293026447, 0.012615283019840717, 0.011964303441345692, 0.01921902410686016, 0.01360551081597805, 0.009316731244325638, 0.0074525452218949795, 0.010774331167340279, 0.013774432241916656, 0.011007764376699924, 0.009904985316097736, 0.010250386781990528, 0.013013133779168129, 0.014395756646990776, 0.011667012237012386, 0.010020731016993523]",sae,32
