seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl,knn_selection_version
3,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5811207275927828,0.3687986576176394,2.0
2,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.5327492503748126,0.3255859068359653,2.0
7,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.54125,0.3322083169366256,2.0
4,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5482942580373438,0.3980640456339889,2.0
1,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.5543990573448547,0.4122458317906234,2.0
5,beta,54,none,0.5,1.0,pca,none,,54,29.0,10,0.6363049095607235,0.3451987536618098,2.0
0,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.48891225682739,0.4099971280927791,2.0
19,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6030053097886796,0.3319599187186728,2.0
23,beta,54,none,0.5,1.0,pca,none,,54,30.0,10,0.5007164179104477,0.3195968635178397,2.0
43,beta,54,none,0.5,1.0,pca,none,,54,31.0,20,0.5971458538600897,0.2699396384283226,2.0
6,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5672055427251732,0.3665119409125152,2.0
10,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.5483828487147071,0.3853250880169085,2.0
31,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5438754950323075,0.4020526536625052,2.0
27,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5606455493183641,0.3747203101777113,2.0
15,beta,54,none,0.5,1.0,pca,none,,54,31.0,50,0.611800799086758,0.3017531089045773,2.0
11,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5164882534664846,0.3770947165729315,2.0
39,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.4420519059205191,0.4034084196121745,2.0
47,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6688770658236307,0.3436633997984519,2.0
36,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5730623662991607,0.3782972967879628,2.0
35,beta,54,none,0.5,1.0,pca,none,,54,30.0,20,0.4825250079487367,0.3697645374429596,2.0
16,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6006253006253006,0.3718984412170119,2.0
9,beta,54,none,0.5,1.0,pca,none,,54,30.0,20,0.5750897285962011,0.380430439737659,2.0
26,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.6321782869917565,0.387845718842297,2.0
48,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6168153636776047,0.3453984507442324,2.0
14,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5618718475621147,0.362571124794441,2.0
24,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.4984663536776212,0.3740031383772867,2.0
28,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6693256913107637,0.355572109077147,2.0
8,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.4312764158918005,0.4222370113308427,2.0
12,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5918857789086795,0.3636759183107796,2.0
22,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6426367749897162,0.3290802017660056,2.0
44,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.4942109649383892,0.4144877822867652,2.0
40,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.560717472782438,0.3781441368430798,2.0
20,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.450456570155902,0.3631786078377256,2.0
38,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.4642243726697666,0.3830278919487012,2.0
30,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6460836323919489,0.3439785999174595,2.0
34,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.5413547203713409,0.4108539097406678,2.0
32,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.494337376292879,0.4078119950273098,2.0
18,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.4655521783181357,0.4272188886427792,2.0
46,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.5799045599151644,0.3507186723382886,2.0
42,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.58840372226199,0.3859141099459748,2.0
13,beta,54,none,0.5,1.0,pca,none,,54,29.0,20,0.5595476144402158,0.3912297717096734,2.0
49,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5757600930387108,0.3696773401574947,2.0
37,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.5656742927221212,0.3583555897557911,2.0
33,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6458902032150441,0.3557514072947972,2.0
41,beta,54,none,0.5,1.0,pca,none,,54,30.0,50,0.4248288787483703,0.3748854223686969,2.0
29,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.5667338632992279,0.3737592635713121,2.0
25,beta,54,none,0.5,1.0,pca,none,,54,31.0,50,0.4787876683793918,0.3411526739973135,2.0
21,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.586268472906404,0.3636601225923848,2.0
17,beta,54,none,0.5,1.0,pca,none,,54,29.0,50,0.544005055976887,0.4059220787860428,2.0
45,beta,54,none,0.5,1.0,pca,none,,54,29.0,10,0.511661454843273,0.3943528631317995,2.0
