seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
2,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5865277777777778,0.3087811323639949
1,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.6518443997317236,0.3489917221986796
6,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5864529765536477,0.3557860456971904
0,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5270756969566293,0.4011853031039462
7,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5192498923384097,0.3416956833500891
4,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5614483382005284,0.3785654875643878
43,beta,54,none,0.7,1.0,pca,none,,54,31.0,50,0.510314465408805,0.3278427158645204
5,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5898307004133401,0.3590261383170878
19,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5978020127163249,0.3468749557529456
46,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5764329597623549,0.3753222829034452
38,beta,54,none,0.7,1.0,pca,none,,54,30.0,10,0.552923595598577,0.3921374224420934
23,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.581180385450848,0.2960679855812894
30,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.491362239988156,0.3986825376501696
40,beta,54,none,0.7,1.0,pca,none,,54,29.0,10,0.5137203389830509,0.3683662365368385
15,beta,54,none,0.7,1.0,pca,none,,54,31.0,5,0.5890613285350128,0.3307299075781665
3,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.530288723823912,0.3771411644161722
11,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.568021374644573,0.3724518269233281
10,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5594044110656906,0.3927974752376569
34,beta,54,none,0.7,1.0,pca,none,,54,30.0,10,0.5879718810196883,0.3688460491651409
26,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.6124408420823588,0.3713706740053867
18,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.6953875362966272,0.3367418152948003
14,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5864875984483366,0.369208072373967
27,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5364357214240076,0.357163007201831
35,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5551637403827184,0.3634436459730968
39,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.555745029610829,0.3821069677476353
47,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.567720563569272,0.3804442466349442
42,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5422724848151144,0.3708871165752984
31,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5531287110623915,0.3739208748137639
22,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.6280685502547475,0.3636028138175627
16,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.538642575159429,0.395359265723826
12,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5343421779988945,0.3983968639221144
13,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5760937342854269,0.3754456772463839
8,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.636464037970062,0.3634882101563312
24,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5514278882284622,0.3463983065460528
20,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5832650986814242,0.3344506249515912
32,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5845956850523061,0.3729492978607597
44,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5698662704309064,0.35403877875786
48,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5690902903811252,0.386202014207699
28,beta,54,none,0.7,1.0,pca,none,,54,29.0,5,0.6052536197325499,0.3735257615048654
36,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5644538016683102,0.3915250517952598
9,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5965451239353048,0.40282121123608
33,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5367288961038961,0.3975550472182855
41,beta,54,none,0.7,1.0,pca,none,,54,30.0,20,0.5603215500360713,0.3497375381231926
29,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5702874790300443,0.3570555179954295
37,beta,54,none,0.7,1.0,pca,none,,54,30.0,20,0.5532855212145725,0.3901483297708994
25,beta,54,none,0.7,1.0,pca,none,,54,31.0,50,0.548565441650548,0.3480191212215896
21,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5620031796502384,0.387103650217232
45,beta,54,none,0.7,1.0,pca,none,,54,29.0,10,0.565825383407801,0.3465267865050634
49,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.4783226152197213,0.4098686299714657
17,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.607973681275789,0.3595322182122978
