seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
7,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5367929292929292,0.3548838655816232
2,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5763012702621787,0.3295714761772921
6,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5717005293543247,0.3791723791502567
3,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5127156351737517,0.3727496895715251
1,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.553745433060946,0.3885806182618131
23,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5694717838215595,0.3426826552459591
5,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.570416874549587,0.3787039974023329
4,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.6307181093012343,0.3742591772362157
10,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5806802199207263,0.3719638461879611
11,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5639102414783757,0.3676485656959843
20,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5308630903710112,0.3039414123159417
30,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5691614960358498,0.3661888014143114
42,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5509465161363896,0.367463515410409
0,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5433830578982434,0.3853281430660197
43,beta,54,none,1.0,1.0,raw,none,,54,31.0,20,0.4935582926359443,0.377214963429881
14,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5753047510369687,0.3565964260895156
35,beta,54,none,1.0,1.0,raw,none,,54,30.0,20,0.521966997613035,0.3625789950885784
27,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5623683050915355,0.350713775619203
31,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5847291746887433,0.3452984548103024
15,beta,54,none,1.0,1.0,raw,none,,54,31.0,50,0.5487672459802833,0.34652610923125
47,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5807354404132657,0.3551133024040732
19,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.6303513112320633,0.3456098678580524
39,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5506806039488966,0.3803435133213269
18,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.6057950286302614,0.3598499890878561
26,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5265693926026469,0.3803839038655448
46,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5945094123245672,0.3552053544636473
38,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5351063776669314,0.3847818322810471
34,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.6386508638755646,0.3583888954326758
22,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5348872665179816,0.3956785233919023
48,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5666133138406473,0.366469025267046
12,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.6183028889165713,0.3559346133107524
28,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.559583500467977,0.3935036069978541
16,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5415902752313966,0.3639784859244128
32,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5913422434191067,0.3464119965692196
36,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5838411843172129,0.3788044979683392
40,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5192291939711664,0.3774443671935728
8,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5422366352201258,0.381572310425455
29,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.4992922143579373,0.3798887159187931
24,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,0.5289997198094705,0.4017458797568764
44,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.6016876524490737,0.3408874292608094
9,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.6178701015965167,0.3695340557677387
17,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5836419410500399,0.3656183152525075
33,beta,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5389172919930733,0.3776341744261489
45,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5804749108277734,0.3788663312196519
13,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.6088045137281131,0.3657722592297872
37,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.6191800420467668,0.3851235946523152
21,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5998435285943287,0.3578788878975487
41,beta,54,none,1.0,1.0,raw,none,,54,30.0,50,0.613004661933636,0.3411556769059858
49,beta,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5997861970665318,0.3575853901367372
25,beta,54,none,1.0,1.0,raw,none,,54,31.0,10,0.562718590260963,0.37446625792953786
