seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
3,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.5375487850937933,0.4789462117982465
2,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.5414529914529914,0.4486508137899093
7,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5151939866108131,0.4905952857671602
6,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5498997646648653,0.4502735359600162
1,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6064833445115134,0.4303928135185944
5,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5892031406300134,0.4559543507412022
0,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5287127764068902,0.4898629624342262
10,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5649142820927211,0.4728971765790044
13,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5717288544704817,0.4651662044722173
11,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5942004118050789,0.4518289446543152
16,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5313977701618151,0.5076375219683574
39,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5365464608009025,0.484716295165387
15,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,5,0.5377417903733693,0.4205406597825495
4,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.556224794882492,0.4783266122386783
38,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.5786899147844792,0.4422973482890357
31,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.543555311957614,0.4747759051996608
43,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,20,0.474190966266438,0.4936165725923702
35,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5239692246991517,0.4602224979088722
46,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.596973737510127,0.4546879745428486
19,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5757379258074025,0.4691324739915363
27,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5707334654892775,0.4468785572577323
47,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.571405358939953,0.4817849560978773
26,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.5841357050898475,0.4679310797812262
14,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5862650926128063,0.4501956434931334
23,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5411794611082867,0.4639697473484064
42,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5740747113581224,0.4532930950259524
18,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.643952423497878,0.4211117763588822
34,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.6034698421434468,0.4376481350381679
30,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5170349396698497,0.4752131887163059
22,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6183109464258144,0.4362815340280411
37,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.5164004774635244,0.4726812813175896
9,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5674035792898842,0.5298939395443512
17,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6255938440950151,0.4270138528953117
25,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,50,0.5222034171502257,0.4551754794133087
21,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,5,0.5605502561384914,0.4757205999644512
49,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.483902733118971,0.5269497282400859
33,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.4899594155844156,0.4991284463363653
45,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.615577828764642,0.4179563074844656
29,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5655692389812415,0.4524680999449786
41,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5741935483870968,0.434862411570113
40,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5866271186440678,0.4889233144316097
48,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5619215063520872,0.4759095205397147
12,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.509639303482587,0.4893436927573691
44,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5607726597325409,0.4466000064291229
20,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,10,0.5199339300335997,0.4106459101632244
32,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5362357356269076,0.475009608171562
28,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5269786917456745,0.478248194487215
24,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5416239666598346,0.4543053446641945
36,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5907110305679183,0.4783116275595466
8,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5755841548010222,0.4365406075670136
