seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.7947666791604197,0.3513638889058249
3,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7325558652388636,0.3817944126038036
0,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6834039526180683,0.4204255742558819
11,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7273151806882678,0.390756470490599
4,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6953267583883196,0.4126783845014067
1,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7498363445928253,0.4158794914624516
5,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7413652024117141,0.3786192328000297
10,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6687012747576906,0.4300173793651732
9,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.7900350848893011,0.4104074889413927
6,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7127221608595242,0.3895615980473565
16,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,20,0.7609066859066859,0.385229286403155
35,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,20,0.6587790740333113,0.3874729777727791
43,bernoulli,54,none,0.5,1.0,pca,none,,54,31.0,5,0.7286654165209929,0.3620319419462385
39,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7198398215733982,0.3947768060945461
15,bernoulli,54,none,0.5,1.0,pca,none,,54,31.0,20,0.7894549086757991,0.3293033400112503
23,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.7491741293532339,0.4127082631308303
27,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.718491045175087,0.391806246948729
14,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6684475994769288,0.3730534657799865
19,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,20,0.7151459044238039,0.4095933048196103
42,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6698622899410303,0.398755376833357
47,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7253450535893284,0.3810417716664204
7,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6732483552631578,0.3959475109999509
34,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,20,0.6945421876169798,0.4380998076081261
31,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.706133189745015,0.4284287655897904
38,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,5,0.7050500607431612,0.3982716757580249
26,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7310150901215593,0.4061415600933029
46,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7319459172852598,0.3707784819308745
18,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6862575551130211,0.4231572444862673
22,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,20,0.737787947346771,0.359796919067396
30,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7164144172257763,0.3877830117915963
8,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,10,0.6525866441251057,0.4167587019681757
33,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7335077343039127,0.3756609892781425
17,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,5,0.6769050198627663,0.4216670830853986
32,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7300394374581441,0.413038589253014
36,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7092315287148263,0.395286988200351
12,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6455918386579964,0.4054468725987309
44,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,20,0.732804035954521,0.4115624436919363
20,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.6611358574610244,0.3808589250610824
25,bernoulli,54,none,0.5,1.0,pca,none,,54,31.0,50,0.661748368282183,0.3636327908960848
13,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6802231826098175,0.3935687722840201
24,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6782629107981221,0.4111279557546047
49,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,10,0.7189234092041868,0.3966688844908627
48,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.680540853873683,0.3898054872438289
37,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.757442804584091,0.37270837175395
40,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,10,0.6734249509191503,0.414185343819505
28,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.7009880450822301,0.3837174792908282
29,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.6192993800159751,0.4140047896852177
21,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,50,0.650913382594417,0.3965863815403423
41,bernoulli,54,none,0.5,1.0,pca,none,,54,30.0,50,0.7515584256844849,0.388338856865862
45,bernoulli,54,none,0.5,1.0,pca,none,,54,29.0,10,0.7447602561238925,0.4035543543203409
