seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
3,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5779411764705883,0.3064346958361206
6,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7726793248945147,0.311593062892344
2,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.6756554307116105,0.2425642620800153
5,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.6121212121212121,0.2938607813552563
1,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7581453634085213,0.2711010703821696
9,beta,54,none,0.1,1.0,pca,none,,54,30.0,20,0.6338672768878718,0.2738618827178739
0,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.8845588235294117,0.2642009090218077
8,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7010869565217391,0.2834959686520806
4,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.693698347107438,0.2929223596083865
16,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.7279202279202279,0.263859053683338
7,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.7765151515151514,0.275711616499928
14,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.79,0.2541110459946949
30,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7101214574898785,0.2456942145789363
18,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.4822043628013777,0.433479929925799
26,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.873404255319149,0.2340319745871
10,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.7170940170940171,0.2676310104121033
43,beta,54,none,0.1,1.0,pca,none,,54,31.0,50,0.5986842105263158,0.2595373025058656
23,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.5742637644046095,0.2608960587035684
22,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7968106995884774,0.2788589485512744
19,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7587628865979382,0.2625621756079689
42,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.6838455772113942,0.2787764976719858
47,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.7241213288396726,0.3141751452692357
31,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.9145016532829476,0.2410730052510427
11,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.6383116883116884,0.3187489846157282
46,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.6484230055658627,0.2903180434331126
15,beta,54,none,0.1,1.0,pca,none,,54,31.0,10,0.7916666666666666,0.2187485269088191
45,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.649390243902439,0.3275349511540787
39,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5145238095238095,0.3326922288917246
38,beta,54,none,0.1,1.0,pca,none,,54,30.0,10,0.8562659846547315,0.2411034842780101
27,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.7755000000000001,0.3243570377543676
35,beta,54,none,0.1,1.0,pca,none,,54,30.0,5,0.6616161616161615,0.2678191776845257
34,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.7127329192546584,0.2517018210782057
17,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7047163362952837,0.245725863849446
33,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.6636904761904762,0.301617216176578
24,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7312359550561798,0.2964348039160642
32,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.711566265060241,0.3114774066077648
49,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.862753036437247,0.2590984869834394
36,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5911330049261083,0.3136795195031615
44,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.7676116838487972,0.2796463014318862
21,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.8979933110367894,0.232593761324674
29,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.6369969040247678,0.302486465837035
37,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.8005366726296959,0.2713573899812899
13,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.683,0.2624136254710908
41,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.6507692307692308,0.3094943100686635
25,beta,54,none,0.1,1.0,pca,none,,54,31.0,5,0.7386363636363636,0.3473611929731253
12,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.6430180180180181,0.281365582769908
28,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.7245696400625978,0.3070969072177488
48,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.704623287671233,0.2820520356356895
20,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.6540247678018576,0.2970986151521096
40,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.6967320261437908,0.27369357788295867
