seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6977941176470589,0.4381996928879912
2,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,50,2,0.7116104868913858,0.3425478287874834
7,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.7231404958677686,0.4374481068216461
3,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.5014705882352941,0.4312959218108131
1,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.7421679197994988,0.383888658796681
5,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.6567676767676767,0.4480240234826694
14,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.7953125,0.3371058042829997
8,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.7480237154150198,0.3847096203937042
9,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,20,2,0.6066933638443937,0.4203786627728719
15,bernoulli,54,none,0.1,1.0,raw,none,,54,31.0,20,2,0.731060606060606,0.2631317257418001
6,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.8074894514767933,0.3847630108584756
4,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,5,2,0.5361570247933884,0.4450000704272354
42,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.7265742128935533,0.3927484588799207
47,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.6230139624458353,0.4849391697312695
44,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.73840206185567,0.3868347533434293
11,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.5698051948051949,0.5271386489439899
16,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6495726495726496,0.3843876293867786
40,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6509803921568628,0.3407702805486499
12,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.6289414414414415,0.4296190380696096
32,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.6467469879518073,0.4301764567236733
21,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.8854515050167224,0.3148172533041088
48,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.675513698630137,0.4293389206932672
30,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.902834008097166,0.3022156239374434
36,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.5858990147783251,0.4696005098924192
29,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6048761609907121,0.4634364326552217
37,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,5,2,0.7061717352415027,0.3596544630387603
41,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,5,2,0.4228205128205128,0.5188188472700057
19,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.7572164948453608,0.3584819976936648
33,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.681547619047619,0.4220527874769468
39,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,5,2,0.5240476190476191,0.4722305619291883
28,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,5,2,0.5333854981742306,0.4710002452106607
13,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.805,0.3226712188758365
20,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,5,2,0.5110294117647058,0.5237782635949303
17,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6637047163362952,0.3831325088748377
24,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.68561797752809,0.4022912296718843
45,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.4971689895470383,0.4767834823305109
23,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,50,2,0.5685019206145966,0.4279020842890781
43,bernoulli,54,none,0.1,1.0,raw,none,,54,31.0,50,2,0.6393540669856459,0.4087879244683286
35,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,20,2,0.5378787878787878,0.3406744483612962
27,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.7645,0.3983119692054419
31,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.7307510628247519,0.4220633969144189
25,bernoulli,54,none,0.1,1.0,raw,none,,54,31.0,50,2,0.6484375,0.4314245831201231
49,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.6643724696356276,0.3996848981234259
22,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.7757201646090535,0.3925758096047819
10,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,50,2,0.7072649572649572,0.394803283876117
34,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,20,2,0.5698757763975155,0.3389157636933076
18,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,10,2,0.4595292766934559,0.4837972517864331
26,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,20,2,0.7659574468085106,0.3054499013017328
38,bernoulli,54,none,0.1,1.0,raw,none,,54,30.0,5,2,0.760613810741688,0.3822511722554207
46,bernoulli,54,none,0.1,1.0,raw,none,,54,29.0,5,2,0.6080705009276437,0.46024576103438203
