seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,2,0.7654844452773614,0.2256218027115518
3,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7219451371571072,0.2706747675983745
1,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,2,0.7219658287509819,0.3012313694950654
4,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6544293134915065,0.2881036655984305
0,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6616769245043764,0.2975651724338209
5,beta,54,none,0.5,1.0,raw,none,,54,29.0,5,2,0.6727713178294573,0.3062151611714222
6,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,2,0.6386986645245507,0.3002111680181351
7,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7035855263157895,0.2758908429559487
19,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.710096249483558,0.2941803990153996
23,beta,54,none,0.5,1.0,raw,none,,54,30.0,10,2,0.7610248756218906,0.2552581011974521
43,beta,54,none,0.5,1.0,raw,none,,54,31.0,20,2,0.7568572609096398,0.2394539321213727
27,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7639585004009624,0.2706611006182848
31,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6902921559091225,0.3061771291528714
15,beta,54,none,0.5,1.0,raw,none,,54,31.0,50,2,0.7549229452054794,0.2106701162873563
36,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7138939169546378,0.2924412874651997
39,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6908150851581507,0.2941937458152517
47,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6928059218135554,0.2901204056135656
16,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7102693602693604,0.2929825588786656
11,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7003915511171779,0.2842309518829929
35,beta,54,none,0.5,1.0,raw,none,,54,30.0,10,2,0.6722919265292147,0.2461230850900811
26,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7208502165711892,0.2842794551266437
14,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,2,0.5744629179899121,0.2803352633348207
48,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7066132365542617,0.2869369611957321
24,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,2,0.6538184663536776,0.290793955308579
8,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,2,0.6463736263736263,0.2982647890371689
28,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7358476443037705,0.2671166498934627
12,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,2,0.6040429742719818,0.3076992228279985
44,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.695517590332758,0.2923538494353493
34,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,2,0.6926424346784457,0.2894805642943373
40,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6408352668213457,0.305539297655137
20,beta,54,none,0.5,1.0,raw,none,,54,30.0,20,2,0.6308017817371937,0.2530219156617193
32,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.708892030657043,0.2868790903194595
38,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,2,0.6619119433622387,0.2983202763959886
22,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.746606334841629,0.2636529703780652
10,beta,54,none,0.5,1.0,raw,none,,54,29.0,5,2,0.547908765276022,0.3271457728946405
30,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,2,0.6737400530503979,0.2736251187383081
18,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6771040771407609,0.3102820004575046
46,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.738016967126193,0.2653255598046337
42,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.649188737771415,0.2885936207711633
37,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,2,0.7587220366219816,0.2738251934901327
13,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6633984820142339,0.2801155948447349
49,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6850141219471674,0.277888863756091
33,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7277828328783743,0.2650899125684496
25,beta,54,none,0.5,1.0,raw,none,,54,31.0,50,2,0.6333321760866546,0.2493811189048982
29,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6088680537065917,0.3044960080458264
21,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.6329022988505748,0.2819448602933797
41,beta,54,none,0.5,1.0,raw,none,,54,30.0,20,2,0.7570078226857888,0.2819301408134086
17,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.634597327555074,0.2972997462857303
9,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,2,0.7312779771746583,0.2841859272799443
45,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,2,0.7470218152036334,0.2840257470219729
