seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
3,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.6694364010239624,0.4169937062291667
2,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.6955021367521367,0.3783967436713865
7,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6862154014798575,0.415955660084658
6,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7005469362851914,0.3803034515370179
1,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7782137268052761,0.3579570328432003
5,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6895796765000095,0.3993465860912245
0,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7040599570366467,0.410905915848746
10,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6602576290521913,0.415332232882668
13,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.674972342351403,0.397485830666257
11,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7028303428440696,0.3999613810314271
16,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7472452388182727,0.4091304667509994
39,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.6983352721376199,0.4151828651381991
15,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,5,0.6368196131354027,0.3969533993037417
4,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7339469475733557,0.3987308245266521
38,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.65410668486804,0.394778466905676
31,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.6393121403124143,0.413510422363071
43,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,20,0.6931446540880504,0.4017428568280362
35,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5820613040047347,0.4103167810093256
46,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6923102889549014,0.3956628377878338
19,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7031201313739526,0.4004187783368518
27,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6923483346712757,0.3882252604836744
47,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6527905904059039,0.4199014525659342
26,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.6453380840994396,0.4280568131213756
14,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.6440410418310971,0.4073209401640989
23,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.6450697878633822,0.4024201663141517
42,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6644656468847325,0.4025623135281258
18,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6702702702702702,0.3851697126283516
34,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.6999474645385635,0.4008882175344573
30,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6975534828632763,0.3929576652283069
22,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.75038855437188,0.3701267895421778
37,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.6414288391914689,0.436957226984122
9,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.6116948990334004,0.4615629769273074
17,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.7152336344373815,0.376655441306099
25,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,50,0.7338491295938103,0.3685808529281269
21,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,5,0.6132176293941,0.4506097073810547
49,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6879153269024652,0.4307146626544026
33,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.6944724025974026,0.4103976311440541
45,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6064847240671417,0.388123475223808
29,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6770054903156931,0.3949455691812843
41,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.6477120478202617,0.3932351834003189
40,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6833177966101694,0.4194106960596751
48,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.6924568965517242,0.4011080199832429
12,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.652351667587986,0.4166128143636704
44,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6084016132455955,0.4030561898521768
20,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,10,0.7449600474348476,0.3446908667565109
32,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.7358403195541704,0.3902718473510297
28,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6525724423418096,0.4154707335517649
24,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.7619645419143268,0.3669975885356185
36,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.6290408549423021,0.4248426398500933
8,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.7381434830230011,0.3755420502459271
