seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.609557197859342,0.3172415551037851,11,2,30,2
1,beta,54,none,0.9,1.0,raw,none,,54,29.0,20,0.528828199163372,0.324319123047405,27,2,30,2
0,beta,54,none,0.9,1.0,raw,none,,54,29.0,20,0.58893612963902,0.3152758220099865,30,2,30,2
5,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.588811588357868,0.3093545805810384,3,2,30,2
7,beta,54,none,0.9,1.0,raw,none,,54,29.0,20,0.6058394355514963,0.2942271101660787,6,2,30,2
2,beta,54,none,0.9,1.0,raw,none,,54,30.0,50,0.5611808992090682,0.296709340706156,15,2,30,2
6,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.5890924399024504,0.3190390463717245,16,2,30,2
4,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.5567927647573665,0.3333744704174731,28,2,30,2
43,beta,54,none,0.9,1.0,raw,none,,54,31.0,50,0.5585439321293852,0.2891992941216273,6,2,30,2
23,beta,54,none,0.9,1.0,raw,none,,54,30.0,50,0.4947627586599493,0.3064882665304928,14,2,30,2
11,beta,54,none,0.9,1.0,raw,none,,54,29.0,20,0.6022906793048973,0.316071875225903,28,2,30,2
39,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.5875735464301811,0.3182300117573024,25,2,30,2
26,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.5303753163534544,0.3105249817046548,5,2,30,2
40,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.658273381294964,0.3050793793050499,22,2,30,2
28,beta,54,none,0.9,1.0,raw,none,,54,29.0,50,0.5399131112843936,0.3190005346311675,15,2,30,2
35,beta,54,none,0.9,1.0,raw,none,,54,30.0,50,0.582929313054836,0.3052231286512923,21,2,30,2
19,beta,54,none,0.9,1.0,raw,none,,54,29.0,10,0.563789310493534,0.3442711780602157,22,2,30,2
