seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
1,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.6864035087719298,0.321121833204318,10,2,30,2,2.0
4,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.6924070247933884,0.3673269128936431,25,2,30,2,2.0
0,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5249999999999999,0.3473782016830352,24,2,30,2,2.0
5,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.5349494949494951,0.3265159528129799,16,2,30,2,2.0
8,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.6432806324110673,0.3026427591809807,17,2,30,2,2.0
7,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.584366391184573,0.3197918125653426,25,2,30,2,2.0
10,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.7000000000000001,0.3346507802422395,15,2,30,2,2.0
3,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5205882352941176,0.3356509095141702,13,2,30,2,2.0
24,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.58561797752809,0.3199304651730335,4,2,30,2,2.0
45,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.4904181184668989,0.3290623491509681,18,2,30,2,2.0
16,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.3739316239316239,0.3453514659697215,18,2,30,2,2.0
36,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.4766009852216749,0.3063403195884969,7,2,30,2,2.0
44,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5846219931271477,0.330546503862476,30,2,30,2,2.0
32,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.4881927710843373,0.3279825309994894,2,2,30,2,2.0
12,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.4341216216216216,0.3312608195283298,18,2,30,2,2.0
28,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.6186750130412102,0.3328024602996513,13,2,30,2,2.0
9,beta,54,none,0.1,1.0,sae,none,,54,30.0,50,0.5102974828375285,0.2894572063369376,7,2,30,2,2.0
33,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5238095238095237,0.3728048328273148,17,2,30,2,2.0
48,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.478310502283105,0.2958902288626513,25,2,30,2,2.0
14,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.660625,0.3178905475247922,25,2,30,2,2.0
20,beta,54,none,0.1,1.0,sae,none,,54,30.0,5,0.5704334365325078,0.2872101094516447,14,2,30,2,2.0
40,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.6823529411764706,0.2989444880098452,2,2,30,2,2.0
17,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.5803144224196856,0.3012113963318927,21,2,30,2,2.0
29,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5259287925696594,0.3244693086676833,22,2,30,2,2.0
49,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.6072874493927126,0.3086309893387312,8,2,30,2,2.0
35,beta,54,none,0.1,1.0,sae,none,,54,30.0,20,0.5037878787878788,0.288067096158732,23,2,30,2,2.0
21,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.8436454849498327,0.3502482325858504,11,2,30,2,2.0
30,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.7157894736842105,0.2889205738847233,7,2,30,2,2.0
23,beta,54,none,0.1,1.0,sae,none,,54,30.0,20,0.5960307298335469,0.3064756739439004,12,2,30,2,2.0
41,beta,54,none,0.1,1.0,sae,none,,54,30.0,50,0.5928205128205128,0.3215062529117498,24,2,30,2,2.0
37,beta,54,none,0.1,1.0,sae,none,,54,30.0,50,0.8568872987477639,0.3229861210404055,11,2,30,2,2.0
13,beta,54,none,0.1,1.0,sae,none,,54,29.0,20,0.7260000000000001,0.3433971110884489,21,2,30,2,2.0
25,beta,54,none,0.1,1.0,sae,none,,54,31.0,10,0.5639204545454546,0.3381155290881379,14,2,30,2,2.0
43,beta,54,none,0.1,1.0,sae,none,,54,31.0,50,0.6788277511961722,0.2899714304358898,27,2,30,2,2.0
11,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.5345779220779221,0.328037863469294,24,2,30,2,2.0
2,beta,54,none,0.1,1.0,sae,none,,54,30.0,10,0.5917602996254682,0.2846602214720869,30,2,30,2,2.0
26,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.5585106382978724,0.3217830165426668,26,2,30,2,2.0
18,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.3871986222732491,0.3866716606678135,3,2,30,2,2.0
19,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.7067010309278351,0.2946478853065022,7,2,30,2,2.0
47,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.5026480500722195,0.3187311494152506,10,2,30,2,2.0
39,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.4957142857142856,0.3140220056115143,2,2,30,2,2.0
6,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.7104430379746836,0.3385575498620802,19,2,30,2,2.0
31,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.6376948512045347,0.3711591161077816,21,2,30,2,2.0
15,beta,54,none,0.1,1.0,sae,none,,54,31.0,10,0.4261363636363636,0.2746624213000741,3,2,30,2,2.0
27,beta,54,none,0.1,1.0,sae,none,,54,29.0,50,0.643,0.3574077415798742,30,2,30,2,2.0
22,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.5565843621399177,0.3064517271538733,9,2,30,2,2.0
42,beta,54,none,0.1,1.0,sae,none,,54,29.0,10,0.5438530734632683,0.3186407425569276,8,2,30,2,2.0
46,beta,54,none,0.1,1.0,sae,none,,54,29.0,5,0.8552875695732838,0.2945083725642591,3,2,30,2,2.0
38,beta,54,none,0.1,1.0,sae,none,,54,30.0,5,0.6184143222506393,0.2927083320323541,10,2,30,2,2.0
34,beta,54,none,0.1,1.0,sae,none,,54,30.0,20,0.7080745341614907,0.3372984089844109,16,2,30,2,2.0
