seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
3,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4235214670971441,0.5719923685678667,0.3252061034465604,0.8953076352853966
3,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4227435390287746,0.6041194580856677,0.326047736660859,0.8902668643439585
3,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4260019202995002,0.5881196233874467,0.3240570561384899,0.8926445515196442
3,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4252372381088359,0.6043364166706844,0.3246419626305621,0.8875018532246108
7,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4134115284196288,0.5805973497412233,0.2939366691053628,0.9222505083497446
1,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4519553874362246,0.5500151260679524,0.3019875327933206,0.9096225816682524
3,bernoulli,54,none,0.9,1.0,sae,none,,6,0.4279712386962462,0.5823099546108865,0.3225875749079215,0.8937583395107486
2,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4216866249266495,0.5502534727886841,0.2621816981631902,0.9344308528712196
7,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4184485738427081,0.5778146314367052,0.2949786731519077,0.9207107823515912
5,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4277866801850026,0.5829048195200646,0.3055625356914884,0.8976702645180906
3,bernoulli,54,none,0.9,1.0,sae,none,,7,0.4291684396793567,0.5850615404748293,0.3252167909419682,0.8822942920681986
1,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4426169880893572,0.5520154181575406,0.2963233892664301,0.9181763399936568
2,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4224431309714849,0.5457459471543978,0.258991924883546,0.938933061501869
6,bernoulli,54,none,0.9,1.0,sae,none,,2,0.429749363000563,0.585866914411799,0.2952013523099261,0.9198382996194356
7,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4192565437709271,0.5841999284291262,0.2944549375677152,0.917983572698016
3,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4283969224430138,0.6010476000247953,0.3269606777398954,0.8919866567828022
5,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4312554967225872,0.5732506553740674,0.3107837277597012,0.8992031519205432
1,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4453248975935375,0.5518693733635159,0.2947253399742056,0.9153060577228036
2,bernoulli,54,none,0.9,1.0,sae,none,,4,0.425441501401911,0.5428637893426627,0.2594363628326688,0.9435236153584776
6,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4276922893286671,0.5896963186621764,0.296341102269674,0.9183602570783396
7,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4199742661551074,0.6053160067725274,0.2998493546503287,0.9140688793890196
3,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4286337155112097,0.6005930201323791,0.3265629211678595,0.8811378799110452
5,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4311300338900282,0.5704191033138402,0.3039878245412632,0.9059823781291172
1,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4461723859594028,0.5510739508246315,0.2959119963608172,0.9125610529654296
2,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4255517288471844,0.5639331484401907,0.2600720398163214,0.9371015970098538
6,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4289652215825451,0.6002061316920219,0.2947306486722441,0.9080234339223396
7,bernoulli,54,none,0.9,1.0,sae,none,,6,0.4203392438640637,0.6149807452984879,0.2978091475507212,0.9153951251794568
