seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
3,beta,54,none,0.1,1.0,sae,none,,2,0.3284558716997537,0.5889705882352941,0.2176950595922009,0.8963560334528077
1,beta,54,none,0.1,1.0,sae,none,,2,0.3100729510970618,0.6478696741854637,0.2050821576403177,0.9329192546583852
5,beta,54,none,0.1,1.0,sae,none,,2,0.3082090345814526,0.5777777777777778,0.2430493953847594,0.8681455633100698
3,beta,54,none,0.1,1.0,sae,none,,3,0.3289536050155109,0.5772058823529412,0.2132494728114285,0.9005376344086022
6,beta,54,none,0.1,1.0,sae,none,,2,0.3315586766158261,0.7014767932489452,0.2245936927296406,0.926189797663152
2,beta,54,none,0.1,1.0,sae,none,,2,0.2686099879808318,0.5078651685393258,0.1957151934620194,0.9243176178660047
4,beta,54,none,0.1,1.0,sae,none,,2,0.3138921721792156,0.6518595041322315,0.2396559613825868,0.8844998844998845
5,beta,54,none,0.1,1.0,sae,none,,3,0.3166572023010541,0.6185858585858586,0.2628817127411901,0.8803589232303091
1,beta,54,none,0.1,1.0,sae,none,,3,0.3122311747131678,0.6666666666666666,0.2047168182895661,0.9383850931677018
3,beta,54,none,0.1,1.0,sae,none,,4,0.3312569959369579,0.5757352941176471,0.2171303529820717,0.8870967741935484
6,beta,54,none,0.1,1.0,sae,none,,3,0.3341943404320018,0.6635021097046414,0.2232787732226545,0.9310344827586208
2,beta,54,none,0.1,1.0,sae,none,,3,0.2632219219431039,0.5692883895131087,0.1819831326130221,0.94075682382134
5,beta,54,none,0.1,1.0,sae,none,,4,0.3074169778979111,0.5604040404040405,0.2424460999324816,0.8701395812562314
3,beta,54,none,0.1,1.0,sae,none,,5,0.3384481141846696,0.5272058823529411,0.2214963717970766,0.8915770609318997
1,beta,54,none,0.1,1.0,sae,none,,4,0.3140718387524828,0.6290726817042607,0.2068724833217256,0.9356521739130436
4,beta,54,none,0.1,1.0,sae,none,,3,0.3160067968467501,0.6787190082644629,0.2401449765976377,0.8826518826518827
6,beta,54,none,0.1,1.0,sae,none,,4,0.3266401755205085,0.634493670886076,0.2259551243351648,0.9247648902821316
2,beta,54,none,0.1,1.0,sae,none,,4,0.2634339000415205,0.5655430711610486,0.17479950348397,0.9497518610421836
7,beta,54,none,0.1,1.0,sae,none,,2,0.299650146216935,0.6243112947658404,0.2160178613805637,0.9184324447482344
3,beta,54,none,0.1,1.0,sae,none,,6,0.329268336841243,0.5566176470588236,0.2178059455317757,0.897252090800478
8,beta,54,none,0.1,1.0,sae,none,,2,0.2946146444751252,0.6561264822134388,0.2133193642232481,0.9359325125398996
5,beta,54,none,0.1,1.0,sae,none,,5,0.3226534272964075,0.6238383838383839,0.2750505688079087,0.8843469591226321
1,beta,54,none,0.1,1.0,sae,none,,5,0.3158793713252453,0.6450501253132832,0.2146875420477325,0.933416149068323
0,beta,54,none,0.1,1.0,sae,none,,2,0.3366633380691509,0.4944852941176471,0.2474102651837135,0.8774104683195593
4,beta,54,none,0.1,1.0,sae,none,,4,0.3187995979579068,0.65599173553719,0.24075196495918,0.885885885885886
6,beta,54,none,0.1,1.0,sae,none,,5,0.3481252485716119,0.5116033755274262,0.2559497324264195,0.933599316044457
2,beta,54,none,0.1,1.0,sae,none,,5,0.2670177662337379,0.5393258426966292,0.1770578861652067,0.9382754342431762
7,beta,54,none,0.1,1.0,sae,none,,3,0.3021673491267391,0.5774793388429752,0.2196339306017076,0.9213943950786057
12,beta,54,none,0.1,1.0,sae,none,,2,0.3027444530163178,0.5416666666666666,0.2286457767066509,0.8716409376786736
3,beta,54,none,0.1,1.0,sae,none,,7,0.3355737424492265,0.5338235294117647,0.2128095910073765,0.8897849462365592
8,beta,54,none,0.1,1.0,sae,none,,3,0.2975203752152007,0.6269762845849802,0.2123696488396129,0.9448244414044688
5,beta,54,none,0.1,1.0,sae,none,,6,0.3249753718031197,0.6008080808080808,0.2765738991365555,0.8873379860418743
1,beta,54,none,0.1,1.0,sae,none,,6,0.3173549463803472,0.68671679197995,0.2061189939845336,0.942360248447205
0,beta,54,none,0.1,1.0,sae,none,,3,0.3430099540759151,0.5492647058823529,0.2354460087497638,0.8870523415977962
6,beta,54,none,0.1,1.0,sae,none,,6,0.3301979050759589,0.6545358649789029,0.2302882328085148,0.9284696494727842
4,beta,54,none,0.1,1.0,sae,none,,5,0.3175501690298455,0.6363636363636364,0.2390907482835807,0.8817278817278817
2,beta,54,none,0.1,1.0,sae,none,,6,0.2649005941417449,0.6089887640449438,0.179330502267549,0.9295905707196028
7,beta,54,none,0.1,1.0,sae,none,,4,0.3033029201259459,0.5585399449035813,0.2196856142671268,0.9179767600820232
12,beta,54,none,0.1,1.0,sae,none,,3,0.3013451974278798,0.5129504504504505,0.2156657791967596,0.8802172670097199
3,beta,54,none,0.1,1.0,sae,none,,8,0.335593280092481,0.5889705882352941,0.2151099549839394,0.8978494623655914
8,beta,54,none,0.1,1.0,sae,none,,4,0.2966647784145319,0.6329051383399209,0.2162004549264532,0.943000455996352
5,beta,54,none,0.1,1.0,sae,none,,7,0.3119628581442452,0.5745454545454546,0.2416003246476111,0.874875373878365
1,beta,54,none,0.1,1.0,sae,none,,7,0.3193677717200859,0.6588345864661654,0.2089280382319576,0.933664596273292
0,beta,54,none,0.1,1.0,sae,none,,4,0.3405559574814195,0.5216911764705883,0.2314105671744576,0.8898071625344353
6,beta,54,none,0.1,1.0,sae,none,,7,0.3307370037241655,0.6777426160337553,0.2311599678616238,0.927044742091764
2,beta,54,none,0.1,1.0,sae,none,,7,0.2680216406182295,0.5760299625468166,0.1692249541585079,0.9423076923076924
4,beta,54,none,0.1,1.0,sae,none,,6,0.3359511283948956,0.7685950413223139,0.2806744647238671,0.8909678909678911
7,beta,54,none,0.1,1.0,sae,none,,5,0.3041886010926984,0.5568181818181819,0.2200318821921122,0.9102301207564364
12,beta,54,none,0.1,1.0,sae,none,,4,0.3152004861873905,0.4093468468468468,0.2560560620676211,0.8747855917667238
3,beta,54,none,0.1,1.0,sae,none,,9,0.3314726787322444,0.550735294117647,0.2251830197740111,0.8847072879330944
8,beta,54,none,0.1,1.0,sae,none,,5,0.3003139705602106,0.6338932806324111,0.2183828764331868,0.9361605107159144
5,beta,54,none,0.1,1.0,sae,none,,8,0.3192847441255917,0.5204040404040404,0.2510882919326002,0.8811066799601196
1,beta,54,none,0.1,1.0,sae,none,,8,0.3199651043834459,0.6190476190476191,0.2094131242858784,0.933664596273292
2,beta,54,none,0.1,1.0,sae,none,,8,0.2671495472014408,0.5895131086142322,0.1744476219860462,0.9398263027295284
0,beta,54,none,0.1,1.0,sae,none,,5,0.3416680120329227,0.5261029411764706,0.2406848003342039,0.8835104289649743
6,beta,54,none,0.1,1.0,sae,none,,8,0.3325011686612866,0.6466244725738396,0.2209764492930809,0.9341692789968652
4,beta,54,none,0.1,1.0,sae,none,,7,0.32249300477847,0.6601239669421487,0.2412742500767048,0.8909678909678911
45,beta,54,none,0.1,1.0,sae,none,,2,0.3145142726798053,0.4804006968641115,0.2628657840822017,0.9166666666666669
7,beta,54,none,0.1,1.0,sae,none,,6,0.3044265216248972,0.6418732782369146,0.2202162309082731,0.911369332421964
12,beta,54,none,0.1,1.0,sae,none,,5,0.3171477166017415,0.5793918918918919,0.2621974694694759,0.8785020011435106
24,beta,54,none,0.1,1.0,sae,none,,2,0.3144601619714971,0.6098876404494382,0.2202476595430583,0.90087890625
14,beta,54,none,0.1,1.0,sae,none,,2,0.2899180586945843,0.6459374999999999,0.2206746648482313,0.8809742647058825
3,beta,54,none,0.1,1.0,sae,none,,10,0.3321391323077772,0.550735294117647,0.2183590443699062,0.8978494623655914
9,beta,54,none,0.1,1.0,sae,none,,2,0.2811509991289364,0.5640732265446224,0.2356330881450747,0.9110642146517938
