seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
1,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3907697409453056,2.0
2,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.5,0.4285185779897504,2.0
3,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.435698615357425,2.0
5,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4109415801103181,2.0
7,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,10,0.5,0.3932778305189981,2.0
0,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4427501845679822,2.0
22,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3710471475350964,2.0
9,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,10,0.5,0.4288025499620342,2.0
4,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4468580662913506,2.0
16,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.449543412686762,2.0
8,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4236517332573052,2.0
10,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4044116129211916,2.0
6,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4391211718254765,2.0
46,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4068940815648221,2.0
13,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3329537087618464,2.0
26,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4267845581891806,2.0
30,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3752389186478407,2.0
33,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.4053725155975689,2.0
14,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4072285201576802,2.0
18,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4234378441671964,2.0
34,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.5,0.3817768880547005,2.0
38,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,10,0.5,0.3608700916377989,2.0
36,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.433615933099977,2.0
47,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.4076546447535148,2.0
42,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.4147361457768795,2.0
12,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4407602156819993,2.0
31,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4276590847134675,2.0
45,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,5,0.5,0.4367657699249008,2.0
21,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4124342194039554,2.0
48,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.3890027118995298,2.0
27,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4358430206299289,2.0
32,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.3833990080523606,2.0
44,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,5,0.5,0.4157845119332595,2.0
35,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,5,0.5,0.4510373497096351,2.0
19,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3825924299174184,2.0
15,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,20,0.5,0.4119591823445795,2.0
24,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4596939283812279,2.0
11,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.3429159971086185,2.0
41,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.5,0.4790328675204883,2.0
28,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4811759334392435,2.0
39,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,10,0.5,0.3522457794365724,2.0
43,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,50,0.5,0.3643297630613852,2.0
40,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.4524677706142122,2.0
23,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.5,0.4114463679670346,2.0
20,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.5,0.4650722871500828,2.0
49,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.3801631726482487,2.0
25,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,20,0.5,0.3572944872701246,2.0
29,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5,0.4067572214907543,2.0
37,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.5,0.4081274993784902,2.0
17,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5,0.38232164637843913,2.0
