seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
2,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5,0.2435713501517298,2.0
3,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2885344295535164,2.0
1,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5,0.3312566698050628,2.0
4,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3012814388054955,2.0
0,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3102597762895248,2.0
5,beta,54,none,0.5,1.0,raw,none,,54,29.0,5,0.5,0.3032847784663521,2.0
6,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,0.5,0.2943801451798314,2.0
7,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2946929927690231,2.0
19,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3076221526214504,2.0
23,beta,54,none,0.5,1.0,raw,none,,54,30.0,10,0.5,0.2857962311477837,2.0
43,beta,54,none,0.5,1.0,raw,none,,54,31.0,20,0.5,0.2512836433062314,2.0
27,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2952718237459222,2.0
31,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3253495019798694,2.0
15,beta,54,none,0.5,1.0,raw,none,,54,31.0,50,0.5,0.234559622210508,2.0
36,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3069150996181564,2.0
39,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3148400313581367,2.0
47,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3066395194647231,2.0
16,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3066396045060398,2.0
11,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2984046553468177,2.0
35,beta,54,none,0.5,1.0,raw,none,,54,30.0,10,0.5,0.2620299752010483,2.0
26,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3073869721740445,2.0
14,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5,0.2723270073415291,2.0
48,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3067295528652899,2.0
24,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,0.5,0.2957529900255396,2.0
8,beta,54,none,0.5,1.0,raw,none,,54,29.0,10,0.5,0.2970742385273771,2.0
28,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2810577159132576,2.0
12,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5,0.3122041732566589,2.0
44,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3146697062639207,2.0
34,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5,0.3118314744777382,2.0
40,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3087192714704906,2.0
20,beta,54,none,0.5,1.0,raw,none,,54,30.0,20,0.5,0.2518714949976884,2.0
32,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3052170626376033,2.0
38,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5,0.3087787315189506,2.0
22,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2781845832608379,2.0
10,beta,54,none,0.5,1.0,raw,none,,54,29.0,5,0.5,0.3079719798374982,2.0
30,beta,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5,0.2910609114056584,2.0
18,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3294031250073247,2.0
46,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2786619131255674,2.0
42,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2982189351768522,2.0
37,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5,0.2933541750796259,2.0
13,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2892014581878657,2.0
49,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2952727447473378,2.0
33,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2763558510116587,2.0
25,beta,54,none,0.5,1.0,raw,none,,54,31.0,50,0.5,0.2512815381416003,2.0
29,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3069370926194234,2.0
21,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.2866505700312492,2.0
41,beta,54,none,0.5,1.0,raw,none,,54,30.0,20,0.5,0.3001238587122217,2.0
17,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.3144556602233666,2.0
9,beta,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5,0.3120384622732688,2.0
45,beta,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5,0.30765165105649767,2.0
