seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
7,beta,54,none,0.5,1.0,sae,none,,54,29.0,10,0.6009703947368421,0.3067264072435989
2,beta,54,none,0.5,1.0,sae,none,,54,30.0,10,0.5596889055472264,0.2580355488540451
3,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5755464280475282,0.3090706893985327
6,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.6057435485490511,0.3054873897397293
1,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5377225713537576,0.3506547228136795
11,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5716736116100294,0.3136960624784853
19,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5959357928723356,0.3231508869411887
23,beta,54,none,0.5,1.0,sae,none,,54,30.0,5,0.5397412935323382,0.3025948356704279
43,beta,54,none,0.5,1.0,sae,none,,54,31.0,5,0.578679719035057,0.2623571608968353
4,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5355889372455426,0.3196000223369555
27,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5725407645014702,0.3162291466769721
0,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5079485355519129,0.3376617979823386
15,beta,54,none,0.5,1.0,sae,none,,54,31.0,20,0.6863941210045662,0.2235704110052007
39,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5167072181670722,0.3388274111750117
31,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5878899465017717,0.3353434344524733
47,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.6443570565707971,0.3065058174965825
35,beta,54,none,0.5,1.0,sae,none,,54,30.0,5,0.5577322865458458,0.2788419018839899
10,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5555862831858408,0.3207387181927065
8,beta,54,none,0.5,1.0,sae,none,,54,29.0,10,0.5429923922231614,0.3187300858167181
26,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5834323040380047,0.312739495057527
14,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5665608070240986,0.2962366946769568
34,beta,54,none,0.5,1.0,sae,none,,54,30.0,5,0.5901400014973422,0.3180750999398656
16,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5739297739297738,0.3245488749655461
30,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.6143158058979561,0.2903038896612173
46,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5805938494167551,0.3023144301163008
12,beta,54,none,0.5,1.0,sae,none,,54,29.0,5,0.5757233060032042,0.3323375747422603
38,beta,54,none,0.5,1.0,sae,none,,54,30.0,10,0.5454316953625739,0.3191071253438883
18,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.4670719351570415,0.3603403560064073
22,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.6892482517482518,0.2779850731013736
13,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5751789976133651,0.3267650350352756
42,beta,54,none,0.5,1.0,sae,none,,54,29.0,10,0.561884309915806,0.3162981955552467
36,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.6179584224672262,0.3123445004773343
48,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.6555521951711276,0.3040692953583422
24,beta,54,none,0.5,1.0,sae,none,,54,29.0,5,0.5759780907668232,0.3060130847536231
5,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.654371231696813,0.2985390031171778
28,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.6293975491349258,0.2925760434615241
44,beta,54,none,0.5,1.0,sae,none,,54,29.0,5,0.5367432585272933,0.3391597814802257
40,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5458861324290559,0.3236209459724979
20,beta,54,none,0.5,1.0,sae,none,,54,30.0,20,0.5848329621380846,0.2817638127809119
9,beta,54,none,0.5,1.0,sae,none,,54,30.0,20,0.6085010283502036,0.3057911763945961
32,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5957883771113923,0.3162934137407587
33,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.615995602062481,0.2913352440035585
49,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5928061139724206,0.3058630323130474
37,beta,54,none,0.5,1.0,sae,none,,54,30.0,5,0.6467416585613397,0.2888979185521576
25,beta,54,none,0.5,1.0,sae,none,,54,31.0,20,0.4906263019025135,0.281698227387174
29,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5184473774295386,0.327790748558215
21,beta,54,none,0.5,1.0,sae,none,,54,29.0,50,0.5757799671592776,0.308384256840175
41,beta,54,none,0.5,1.0,sae,none,,54,30.0,50,0.5919369295958278,0.3127896397151766
17,beta,54,none,0.5,1.0,sae,none,,54,29.0,10,0.5413326110509209,0.3401251428141885
45,beta,54,none,0.5,1.0,sae,none,,54,29.0,20,0.5636214727123818,0.3221685667977704
