n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,5832,0.3226683094828304,0.7018892916899051,1,[9],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007601070683449507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,1,0.029,external_raw_frozen_v1,external_frozen,0,none,,13.0,5890,0.3578255463599652,0.617550574084199,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.12663410604000092, 0.04012447968125343, 0.19537314772605896, 0.03288257494568825, 0.0712742730975151, 0.05080205202102661, 0.012119426392018795, 0.12610626220703125, 0.04784054309129715, 0.12603160738945007, 0.06758134812116623, 0.05740761756896973, 0.0364338681101799, 0.053613487631082535, 0.022622443735599518, 0.21045434474945068, 0.2757938802242279, 0.030339591205120087, 0.16000567376613617, 0.023836061358451843, 0.04538649320602417, 0.23335909843444824, 0.03489415720105171, 0.1025143414735794, 0.05695983022451401, 0.0805429220199585, 0.018674908205866814, 0.03731822222471237, 0.04051773622632027, 0.18173061311244965]",raw,16
54,beta,3,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,4916,0.2620996862857895,0.6784566614556193,5,"[12, 16, 17, 21, 24]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0841926634311676, 0.0, 0.0, 0.0, 0.16377387940883636, 0.026348190382122993, 0.0, 0.0, 0.0, 0.02433600090444088, 0.0, 0.0, 0.134557843208313, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,2,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,5073,0.2270759568562055,0.7136726744569881,10,"[7, 8, 11, 13, 18, 21, 22, 24, 27, 28]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04228977859020233, 0.11031429469585419, 0.0, 0.0, 0.026475537568330765, 0.0, 0.008343581110239029, 0.0, 0.0, 0.0, 0.0, 0.02481166273355484, 0.0, 0.0, 0.032760899513959885, 0.021546803414821625, 0.0, 0.04969603568315506, 0.0, 0.0, 0.0033384859561920166, 0.07010737806558609, 0.0]",raw,16
54,beta,4,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,3353,0.3625427451089008,0.6470164773636219,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.23308444023132324, 0.2187098115682602, 0.18247590959072113, 0.44898441433906555, 0.23636582493782043, 0.41446128487586975, 0.24111312627792358, 0.2840542197227478, 0.22313670814037323, 0.19419491291046143, 0.2262008786201477, 0.260000616312027, 0.27965426445007324, 0.22937288880348206, 0.4334966838359833, 0.2135116457939148, 0.2065778374671936, 0.2273172289133072, 0.21107861399650574, 0.3159123659133911, 0.21808241307735443, 0.2441432774066925, 0.22227442264556885, 0.21685348451137543, 0.25653719902038574, 0.226972296833992, 0.1972063034772873, 0.2102510631084442, 0.21804136037826538, 0.2015843242406845]",raw,16
54,beta,8,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,5884,0.3266535303558613,0.5835734680719484,13,"[2, 6, 8, 9, 15, 16, 17, 18, 21, 22, 23, 24, 27]","[0.0, 0.0, 0.027789339423179626, 0.0, 0.0, 0.0, 0.1811985820531845, 0.0, 0.018771657720208168, 0.04680502787232399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011025823652744293, 0.016410233452916145, 0.12030468136072159, 0.06594140827655792, 0.0, 0.0, 0.11066441237926483, 0.04715343192219734, 0.06331633776426315, 0.017552398145198822, 0.0, 0.0, 0.06694991886615753, 0.0, 0.0]",raw,16
54,beta,5,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,4938,0.3282341094488774,0.6553121077256647,13,"[2, 5, 9, 11, 12, 13, 16, 20, 21, 24, 26, 27, 28]","[0.0, 0.0, 0.017010411247611046, 0.0, 0.0, 0.005646050907671452, 0.0, 0.0, 0.0, 0.053541187196969986, 0.0, 0.11916311830282211, 0.026754280552268028, 0.001174500328488648, 0.0, 0.0, 0.08308183401823044, 0.0, 0.0, 0.0, 0.009259815327823162, 0.004455341026186943, 0.0, 0.0, 0.016592035070061684, 0.0, 0.1042691022157669, 0.08234722912311554, 0.061683349311351776, 0.0]",raw,16
54,beta,12,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,5850,0.2720302472871183,0.5726626348479895,3,"[0, 5, 29]","[0.03769702836871147, 0.0, 0.0, 0.0, 0.0, 0.004504102282226086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022666066884994507]",raw,16
54,beta,9,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,5813,0.3401640884028982,0.6263456284153005,1,[13],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07282385975122452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,11,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,4827,0.2646600502534976,0.7105456798729717,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,44,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,5086,0.3373078629388972,0.6078955392534932,15,"[0, 7, 8, 9, 11, 12, 14, 18, 19, 20, 21, 25, 26, 27, 28]","[0.12414661049842834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037061874754726887, 0.013296838849782944, 0.008062539622187614, 0.0, 0.05057169124484062, 0.003716081380844116, 0.0, 0.005027221981436014, 0.0, 0.0, 0.0, 0.14229407906532288, 0.001939996494911611, 0.028265099972486496, 0.004363415762782097, 0.0, 0.0, 0.0, 0.005686991382390261, 0.16737690567970276, 0.13195934891700745, 0.0509057380259037, 0.0]",raw,16
54,beta,20,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,6602,0.231068493518479,0.7580238095238095,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,16,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,6761,0.3020347016201938,0.6665891653103928,2,"[3, 29]","[0.0, 0.0, 0.0, 0.011354348622262478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03583621233701706]",raw,16
54,beta,48,0.029,external_raw_frozen_v1,external_frozen,0,none,,14.0,2525,0.4735083977016027,0.4856286186931348,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.8924278020858765, 1.765834927558899, 1.9859734773635864, 1.5858352184295654, 2.232525110244751, 1.6809628009796143, 1.7573421001434326, 1.7848234176635742, 1.7088334560394287, 1.7677109241485596, 1.5552871227264404, 1.7347760200500488, 1.8478320837020874, 1.961587905883789, 2.098992109298706, 1.626213550567627, 1.7714166641235352, 1.701648235321045, 2.2067184448242188, 1.8913764953613281, 1.7286159992218018, 1.6320204734802246, 1.6242401599884033, 1.9173920154571533, 2.0073018074035645, 1.976826548576355, 1.8519235849380493, 1.9975876808166504, 1.6858246326446533, 1.9327126741409302]",raw,16
54,beta,24,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,4845,0.2578795230328285,0.7116454763220933,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",raw,16
54,beta,28,0.029,external_raw_frozen_v1,external_frozen,0,none,,13.0,6621,0.3207707499900618,0.6630190714320734,2,"[17, 27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002782226772978902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024058963172137737, 0.0, 0.0]",raw,16
54,beta,36,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,2528,0.309492275859604,0.6463857323232323,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.868529200553894, 0.6898969411849976, 0.8019275069236755, 0.8576521277427673, 0.8104760646820068, 0.933053731918335, 0.759578287601471, 0.8391587138175964, 0.6611282825469971, 0.7841925024986267, 0.7001127004623413, 1.173067569732666, 0.8314331769943237, 0.9668408632278442, 0.8454167246818542, 0.9264085292816162, 0.8895241022109985, 0.8786407709121704, 0.7720562815666199, 0.791513979434967, 0.8664018511772156, 0.9774443507194519, 0.7359376549720764, 0.8461125493049622, 0.9181908369064331, 0.8596990704536438, 0.8214255571365356, 0.8546304702758789, 0.7776501178741455, 1.1519190073013306]",raw,16
54,beta,32,0.029,external_raw_frozen_v1,external_frozen,0,none,,15.0,3226,0.3545539949198235,0.6679505966087503,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.10869884490966797, 0.12664516270160675, 0.1474899798631668, 0.2120322734117508, 0.3310061991214752, 0.14054422080516815, 0.1469610631465912, 0.34272000193595886, 0.10980863124132156, 0.17470018565654755, 0.12449511885643005, 0.12194173038005829, 0.13568155467510223, 0.1111162081360817, 0.10463433712720871, 0.29542526602745056, 0.10633760690689087, 0.33613988757133484, 0.10723090916872025, 0.10941608250141144, 0.0884334072470665, 0.13493572175502777, 0.12320590019226074, 0.26706793904304504, 0.10422975569963455, 0.3383575975894928, 0.10134047269821167, 0.09566440433263779, 0.11967436224222183, 0.21853913366794586]",raw,16
