seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
2,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5208622169406483,0.4289314728149036
3,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.3998176133402814,0.4670009087322959
1,bernoulli,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5303786221979223,0.5066706805112026
5,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5521986382137015,0.4823426092719456
6,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6718386876281612,0.4825840573149247
0,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6043572225320691,0.5338368544834109
4,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5927851543752999,0.4708997545259492
12,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5574697613599215,0.431633358026842
14,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5061121049493142,0.4249630862922527
8,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5422966091659102,0.4765405180817382
46,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6343463024070806,0.4587794069432819
38,bernoulli,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5733189459336666,0.4680534432627968
30,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5047115248977289,0.4656384990962727
27,bernoulli,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5750720146421107,0.4603307415830331
7,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5185329861111111,0.4533019049382067
43,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.4916429488252692,0.4872937248999792
22,bernoulli,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5118771974959266,0.4993005718344438
34,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6345151294203427,0.4364211540804855
19,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6402813299232737,0.4159045182986777
18,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5244456661169141,0.4281050412892803
47,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5486373467916366,0.4479727007688697
21,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5464221218961626,0.4500858231667327
42,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5098820478765456,0.4626263697134178
15,bernoulli,54,none,1.0,1.0,pca,none,,54,16.0,20,0.5,0.4537931646092843
39,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5490248226950354,0.4618204356626987
28,bernoulli,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5045202725891063,0.5124197373692388
11,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5567561287324271,0.4618075612948018
37,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6252876004389225,0.4414829423834259
31,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,10,0.6243719627707767,0.4484376003517809
13,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5794539636663915,0.4671167211597734
32,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6954155327611471,0.4358638414071013
26,bernoulli,54,none,1.0,1.0,pca,none,,54,16.0,50,0.4392700729927007,0.5251089425813497
10,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5296188221850385,0.4336752428333959
25,bernoulli,54,none,1.0,1.0,pca,none,,54,16.0,50,0.4999599615631005,0.4598581640672101
45,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.4420394554042789,0.4664405835676031
36,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.4927793560606061,0.5043667012870874
24,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.452607333701861,0.5182726536688528
17,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,10,0.4728130081300813,0.4634757227192764
35,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.534288124338197,0.4829593398116299
41,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.4738472834067547,0.4088348902472983
33,bernoulli,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5,0.4691326804524654
23,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5162893759731705,0.4705394761138589
16,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5816507788886306,0.4674508370084222
48,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5309484422387648,0.4974365983272566
49,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6154901413690476,0.4756602360459578
29,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.604000438061266,0.4429394922568267
9,bernoulli,54,none,1.0,1.0,pca,none,,54,14.0,20,0.6062909836065573,0.458133037829697
20,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5124404761904762,0.4528369974863976
44,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6589331515792872,0.437034171609179
40,bernoulli,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6143102655338514,0.4204455459355629
