seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
3,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5179346882056627,0.2864025133828811
2,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5923285138971414,0.2530697909534589
6,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6861244019138756,0.3616083862478418
1,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5442523236741388,0.3598035247754129
5,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6106356270683556,0.3496593780561762
0,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6445621862799776,0.3287218206534025
12,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5847499182739457,0.279884320805406
4,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6503359462486001,0.3568444303724399
8,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5822313451492783,0.3355412474971932
30,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5692481309070391,0.3408881505220777
23,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5023206372020601,0.305171252407802
22,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5286608597645387,0.3644067086675787
14,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5509342079109522,0.2770282804800096
26,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5854379562043796,0.3193527823855396
18,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5911673080447132,0.2439177831260505
10,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5526466147002408,0.2823217027011732
38,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5593196274420719,0.2854154793280712
34,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6413415967918337,0.3191160792573101
46,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5845675696416239,0.3304394657155187
31,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.5937113911539411,0.3341915202094297
42,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5641147266230275,0.2897568816724652
27,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5620157860255197,0.329507503820598
11,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.6386468378451647,0.272952057579714
39,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.574251379038613,0.3388175708164
19,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.581042199488491,0.347354500793383
7,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5310474537037038,0.2804870190421688
15,beta,54,none,1.0,1.0,pca,none,,54,16.0,20,0.5898151455617074,0.2713607396789807
35,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.4998474488056139,0.3098506801097608
47,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.580360490266763,0.2970171889057694
43,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5339862715553323,0.3220433942789837
20,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5567500000000001,0.276252507116411
45,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5626562934148376,0.3228851028623652
49,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6354864211309523,0.350247296604013
24,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.4831030035010134,0.3067435316664522
9,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.6490573770491802,0.3237081896910535
29,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.549094151882099,0.3297890859182804
48,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5644472015439758,0.4181992795280332
44,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.6499022474126953,0.3212942337501175
28,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5409226847085356,0.3442904385492447
13,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.6213098678777869,0.3479117087146084
40,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5869459976278655,0.3007059250679185
16,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5985491746105557,0.3203155819814393
32,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6831902867908729,0.3461295800358923
25,beta,54,none,1.0,1.0,pca,none,,54,16.0,50,0.5458039718129404,0.3117572779735116
36,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5636837121212122,0.3089271868651885
21,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5597968397291196,0.289332740346807
41,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.537151248164464,0.2717681334919364
17,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.524390243902439,0.3137923103277459
37,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.6218363951718523,0.3179447422758756
33,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5242984439420135,0.3228860835492774
