seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.7108724832214766,0.4095496824177835
1,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.6898550724637681,0.3848652783225649
6,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.5,0.0283719939538516
4,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,2,0.7276437847866419,0.4330775478785983
8,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.716412490922295,0.4312402931447789
12,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.643640350877193,0.364863732911837
5,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,2,0.5347014925373135,0.4790920444791839
2,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.6190476190476191,0.2916716535459803
3,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.6691950464396286,0.3551998378860151
9,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,2,0.6352602033075406,0.3860201256834553
11,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7128129602356407,0.3721233340153355
20,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,2,0.7644736842105263,0.3572405162190475
28,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.6489741302408564,0.4343536694181203
24,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,5,2,0.3859881031064112,0.4245322570676516
32,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.6104166666666667,0.4700929794766735
40,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7738970588235293,0.3344605046870249
45,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.8333333333333334,0.2969058924212007
23,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.7217741935483871,0.3927700086203999
41,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,2,0.8733333333333334,0.2724330846844835
37,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7384698860553446,0.3532242496234117
29,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,2,0.6398635477582846,0.3863229170738474
19,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.6299019607843137,0.4694542997907038
49,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.7634408602150538,0.3443383362286776
36,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,1.0,0.2390474601452696
30,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,2,0.6075174825174825,0.3111473970892202
26,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.7060869565217391,0.3996071010908983
48,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,2,0.71875,0.3182407696487384
27,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.7036573494646085,0.4007048141732464
16,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7469879518072289,0.390461544170346
10,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,2,0.6955882352941177,0.3501397058407718
44,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,2,0.5777777777777778,0.3731602601303149
7,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,2,0.7797619047619049,0.4208104335893382
13,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,5,2,0.5604498594189316,0.3428302402652755
25,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.8438868976503385,0.3767914103966542
17,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,2,0.5989942528735632,0.3968172414306828
43,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,2,0.5605310531053105,0.3929341727604802
21,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.5844155844155844,0.4577448726608565
47,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.682716049382716,0.4163271852190259
33,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.6983253588516747,0.3884761259863823
39,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.8237742830712304,0.3566241925936068
42,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,2,0.6590909090909091,0.2790990408909622
15,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,2,0.6461038961038961,0.4380362834163605
35,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.8166796918611141,0.3837952164406525
31,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,2,0.709061224489796,0.3576893040493068
18,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,2,0.6902173913043479,0.3588324680974982
14,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.8667857142857143,0.3261198584830081
34,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.6681704260651629,0.3739337465001276
22,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7327672327672328,0.4059981886184386
38,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.6561569016881827,0.383940824443043
46,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,2,0.7553316147176002,0.3830275223643899
