seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.661476510067114,0.4185903686181819
1,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7560386473429952,0.376678426001277
4,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.6946196660482374,0.4402768193307038
8,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.6739288307915758,0.4394524129226002
6,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.5,0.0143759734914817
12,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.647203947368421,0.3679465301349026
45,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.9166666666666669,0.2814580624595786
24,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,2,0.5155320555188367,0.3705569148769512
40,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7873774509803921,0.3378878907550589
28,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.6260593220338982,0.4518853198517894
20,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.8552631578947368,0.3185026396442901
23,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.7131720430107528,0.3943975807593064
32,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,2,0.5857638888888889,0.4743126463588881
5,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.5555970149253732,0.4754858205327738
41,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.8433333333333333,0.27871723983258
26,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7660869565217391,0.3758338558308986
49,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7662705149971704,0.3537850380788983
37,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7455236028214867,0.3581629923029523
29,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.666829109811566,0.3830079922439799
30,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.5253496503496504,0.3126261575678184
27,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.7088026700041719,0.4036413213005966
19,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.4887955182072829,0.5560659554146794
11,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7191948944526264,0.3726899401712634
36,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,1.0,0.2544973974507032
16,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.759663654618474,0.3915990320442616
48,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.90625,0.3024050367078126
44,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6666666666666666,0.3789811207842531
7,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.8571428571428571,0.383306184961412
13,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.6021555763823805,0.329678581442587
9,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6457290244272492,0.387112484485444
25,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.8311429709279171,0.3786757643184905
17,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.5506465517241379,0.4269027463851429
21,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6428571428571429,0.437176908674233
33,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.684688995215311,0.3783121071685359
47,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,5,2,0.6604938271604939,0.4481429777702427
43,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.5121512151215122,0.4165700880019183
10,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,5,2,0.711764705882353,0.3892727333650604
39,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.72895467160037,0.3791957221409074
42,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7272727272727273,0.2723953003935891
35,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7992631461426818,0.3929365239665956
15,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6266233766233766,0.4337534223855739
18,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.7043124779073878,0.3633654507096464
3,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.5954334365325078,0.377927420360458
31,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6956734693877551,0.3595422479969122
14,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.8655357142857143,0.3303975134469936
2,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.6190476190476191,0.2915795386263617
34,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.699749373433584,0.3719951323400965
22,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7342032967032968,0.4070862452865879
38,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.674942072161536,0.3816236213011941
46,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7160475744082493,0.38958290332967654
