seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.6240268456375839,0.2853919714084781
1,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7729468599033816,0.2495646112745835
2,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.5714285714285714,0.2581748871937218
3,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.5860681114551083,0.2494778171508116
4,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7024118738404452,0.3069062267195088
8,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.6819172113289761,0.3002213555520043
12,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6792763157894737,0.2408480134054301
6,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.5,0.0143759734914817
30,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.6131993006993007,0.2630125774686743
5,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.5555970149253732,0.4754860712432114
24,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.3922670191672174,0.2925145379349828
7,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.8095238095238094,0.3839737154314435
48,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.875,0.3022139968222176
10,beta,54,none,1.0,1.0,raw,none,,54,4.0,5,2,0.7776470588235294,0.2336508929806989
20,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.8559210526315789,0.1996015535975961
9,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6311637080867851,0.2640758245819473
44,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.7333333333333333,0.3477583960157879
36,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.9583333333333331,0.2499721779839219
40,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.7536764705882353,0.2185173670972405
28,beta,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.6213202497769849,0.2925405424704334
32,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,2,0.5822916666666667,0.473983414653549
26,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.7321739130434782,0.2403785768997587
16,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7400853413654619,0.2507866018086691
38,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.6802383316782522,0.2421968442898516
34,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7027568922305764,0.2597426067278577
29,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6699155295646524,0.2377888798606921
42,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.75,0.2710026645722955
46,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7038903210686666,0.2458363428106745
14,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.8594642857142856,0.2054761566161581
18,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6916755037115588,0.2112818397561136
22,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7443806193806194,0.2514421619444877
45,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6388888888888888,0.3046670319944886
19,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.4761904761904762,0.5564496967736113
13,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.6260543580131208,0.251216239630044
49,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,2,0.7657045840407469,0.2120689230574916
41,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.87,0.1726379259664804
37,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7563754747693977,0.2258207824443473
11,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7447226313205695,0.2185776235700267
23,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.7427419354838709,0.2686110558740435
47,beta,54,none,1.0,1.0,raw,none,,54,4.0,5,2,0.6584362139917697,0.3158132978142755
39,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.7215541165587419,0.2578679660895505
25,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.8172043010752688,0.2612835839008419
15,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.7337662337662338,0.3788600775518309
27,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.6937838965373384,0.2302174167581506
17,beta,54,none,1.0,1.0,raw,none,,54,3.0,10,2,0.5925287356321839,0.2702467447026599
31,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,2,0.686530612244898,0.2381413158323881
33,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.684688995215311,0.233963907840066
35,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,2,0.7706821480406386,0.2564794002053987
21,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,2,0.6688311688311688,0.4206247701261666
43,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,2,0.4918991899189919,0.315937212633555
