seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
6,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.5,0.0271515423813967
5,beta,54,none,1.0,1.0,sae,none,,54,3.0,20,0.5958955223880598,0.4779386973964038
3,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.6691950464396285,0.2330598330244128
2,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.6190476190476191,0.2721277613072617
1,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7400966183574879,0.2509948189474249
0,beta,54,none,1.0,1.0,sae,none,,54,3.0,10,0.6740268456375839,0.2808593978139048
30,beta,54,none,1.0,1.0,sae,none,,54,3.0,5,0.4567307692307693,0.2694704705968315
10,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.7102941176470587,0.2414297123343531
4,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7031539888682745,0.3000580403688405
12,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.7176535087719298,0.255235187259499
8,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7058823529411765,0.2975555449812531
26,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7134782608695651,0.2440162723466965
38,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.6567361800728235,0.2514108840676511
34,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.6731829573934837,0.2696470896258784
11,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.7142857142857143,0.2294537857066933
7,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.8452380952380952,0.3918013027621756
24,beta,54,none,1.0,1.0,sae,none,,54,3.0,5,0.4553866490416391,0.283301908430969
46,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.6958050152331849,0.2515763415207113
42,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.8863636363636362,0.2595796851768718
22,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7348901098901098,0.2500782188598876
19,beta,54,none,1.0,1.0,sae,none,,54,3.0,50,0.671218487394958,0.4604328593546711
14,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.75375,0.210230623082052
9,beta,54,none,1.0,1.0,sae,none,,54,3.0,5,0.6222121074192078,0.2913407679152213
18,beta,54,none,1.0,1.0,sae,none,,54,3.0,10,0.7157122658183104,0.2126552785813387
48,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.625,0.3377174308421404
47,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.6580246913580247,0.2916623296869354
39,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.7192414431082331,0.2591738161918279
23,beta,54,none,1.0,1.0,sae,none,,54,3.0,50,0.7403225806451613,0.2722578625003443
20,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.9098684210526315,0.1865578165376996
29,beta,54,none,1.0,1.0,sae,none,,54,3.0,20,0.6486354775828459,0.2451903929193308
15,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.7727272727272727,0.3758774069292587
27,beta,54,none,1.0,1.0,sae,none,,54,3.0,20,0.6965651508830483,0.2292863937659863
36,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,1.0,0.2196360592421486
35,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7540471139890588,0.2546391839143866
31,beta,54,none,1.0,1.0,sae,none,,54,3.0,5,0.7096326530612245,0.2445165029472577
44,beta,54,none,1.0,1.0,sae,none,,54,4.0,10,0.6888888888888889,0.3507917644734549
40,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7928921568627451,0.2116305568746243
13,beta,54,none,1.0,1.0,sae,none,,54,3.0,20,0.5023430178069352,0.236168105751217
43,beta,54,none,1.0,1.0,sae,none,,54,3.0,50,0.4837983798379838,0.2932419202728903
41,beta,54,none,1.0,1.0,sae,none,,54,4.0,50,0.7722222222222223,0.177075201203112
32,beta,54,none,1.0,1.0,sae,none,,54,3.0,20,0.6236111111111111,0.4696038575610639
45,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.8611111111111112,0.2838154323059295
28,beta,54,none,1.0,1.0,sae,none,,54,3.0,50,0.6106155218554863,0.2858245934164104
37,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.7807921866521974,0.2182357567829254
49,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.77985285795133,0.2112448977948994
25,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.7423337315810434,0.2591873989955907
16,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.7173694779116465,0.2605896121180435
17,beta,54,none,1.0,1.0,sae,none,,54,3.0,5,0.6460488505747126,0.2649814439070815
33,beta,54,none,1.0,1.0,sae,none,,54,4.0,5,0.6988835725677831,0.237968865417733
21,beta,54,none,1.0,1.0,sae,none,,54,4.0,20,0.6883116883116883,0.4130735643486217
