seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
0,beta,54,none,1.0,1.0,raw,none,,54,3.0,10,0.6003355704697987,0.360922941929894,8,2,30,2,2.0
1,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5521739130434783,0.3426097033223308,18,2,30,2,2.0
2,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.2857142857142857,0.4729207930055768,23,2,30,2,2.0
3,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.4852941176470588,0.2860277914060904,18,2,30,2,2.0
4,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5376623376623376,0.3616117858925028,28,2,30,2,2.0
8,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.4774872912127814,0.3321622814356187,21,2,30,2,2.0
12,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.4649122807017543,0.2808492772776775,4,2,30,2,2.0
6,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3405947663074762,24,2,30,2,2.0
30,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,0.5113636363636365,0.3889516848809993,5,2,30,2,2.0
5,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.475,0.4826896017251842,5,2,30,2,2.0
24,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,0.4844679444811632,0.3188991534253256,20,2,30,2,2.0
7,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.3095238095238095,0.4715714735285838,28,2,30,2,2.0
48,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.65625,0.4923229031279066,6,2,30,2,2.0
10,beta,54,none,1.0,1.0,raw,none,,54,4.0,5,0.538235294117647,0.3226976331168603,26,2,30,2,2.0
20,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.6039473684210527,0.3641954424849453,21,2,30,2,2.0
9,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5141860112274313,0.2895802937949588,19,2,30,2,2.0
44,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5777777777777777,0.4584605210289709,21,2,30,2,2.0
36,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.4143007600599623,28,2,30,2,2.0
40,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.3995098039215686,0.3753110866853528,22,2,30,2,2.0
28,beta,54,none,1.0,1.0,raw,none,,54,3.0,10,0.5178969669937555,0.3367370472160735,21,2,30,2,2.0
32,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5647569444444445,0.4723625847143148,12,2,30,2,2.0
26,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.4882608695652174,0.3627150851166675,11,2,30,2,2.0
16,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5227158634538152,0.2803063589293061,3,2,30,2,2.0
