seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
1,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4034104142674073
2,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.269584332643118
7,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.4807997393098019
11,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.3826460184370409
10,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3535787620857302
5,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.5791211438527162
0,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,0.5,0.4397952464650861
3,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3600063996938261
4,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4638330226162221
8,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4563418184931901
6,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.0194174775793566
19,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,0.5,0.5372155101989758
23,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,0.5,0.4296909332138233
27,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,0.5,0.4293595536409073
26,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4113686218323649
30,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.2994436519407268
12,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.3716737932147761
24,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,0.5,0.4004714139982956
32,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,0.5,0.5214159631324539
28,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,0.5,0.4504162624767841
40,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.358623091218269
20,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3519789136949849
43,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.3851228014676772
47,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.4283833392555705
29,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,20,0.5,0.3926553602773997
41,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.2899633623484547
13,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.3079000232407232
45,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3004332672132047
49,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.3756248910177012
39,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.3975772921672845
37,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3705789910911234
36,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.3534039168082236
48,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3253773703743423
42,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.2902004935818398
16,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.4171970766375629
18,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,0.5,0.3651320982337431
35,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4264479500805273
15,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,20,0.5,0.4336208128860316
9,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.3903222245775611
25,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4193503105070548
31,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,50,0.5,0.3784251944559639
34,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.3850805668628653
14,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.3627823716434722
22,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.4345449718845026
38,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.3951031156740995
17,bernoulli,54,none,1.0,1.0,pca,none,,54,3.0,10,0.5,0.3899708993459548
21,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4289492420544227
46,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,50,0.5,0.4098035658443854
44,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,10,0.5,0.3741657394738947
33,bernoulli,54,none,1.0,1.0,pca,none,,54,4.0,5,0.5,0.3902198216012767
