seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
6,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.0194174775793566
2,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.269584332643118
3,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3600063996938261
1,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4034104142674073
5,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.5791211438527162
0,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.4397952464650861
4,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4638330226162221
7,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4807997393098019
8,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4563418184931901
12,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3716737932147761
30,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,5,0.5,0.2994436519407268
26,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.4113686218323649
19,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.5372155101989758
27,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.4293595536409073
11,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3826460184370409
23,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.4296909332138233
28,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.4504162624767841
24,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.4004714139982956
40,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.358623091218269
32,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.5214159631324539
20,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3519789136949849
45,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3004332672132047
47,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.4283833392555705
41,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.2899633623484547
29,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.3926553602773997
49,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3756248910177012
43,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.3851228014676772
37,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3705789910911234
10,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.3535787620857302
39,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3975772921672845
9,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,10,0.5,0.3903222245775611
36,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.3534039168082236
42,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.2902004935818398
16,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,5,0.5,0.4171970766375629
48,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.3253773703743423
13,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,5,0.5,0.3079000232407232
18,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.3651320982337431
35,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.4264479500805273
25,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4193503105070548
31,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.3784251944559639
15,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4336208128860316
22,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4345449718845026
14,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3627823716434722
34,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3850805668628653
17,bernoulli,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.3899708993459548
38,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3951031156740995
21,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4289492420544227
44,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.3741657394738947
46,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4098035658443854
33,bernoulli,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.3902198216012767
