n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,4,0.0155,train_items_only_refit_v1,train_items_only,1050,none,,8.0,1206,0.4212171405631587,0.7148936170212765,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.03076694719493389, 0.02832140401005745, 0.032637618482112885, 0.029752323403954506, 0.03063140995800495, 0.030773542821407318, 0.034523602575063705, 0.030096933245658875, 0.030460285022854805, 0.030181264504790306, 0.02926395833492279, 0.02742783911526203, 0.029954584315419197, 0.032000407576560974, 0.027891937643289566, 0.03208908066153526, 0.02918010577559471, 0.03079032525420189, 0.028792638331651688, 0.031021922826766968, 0.029161103069782257, 0.0321594700217247, 0.03268561139702797, 0.03148382529616356, 0.027398983016610146, 0.028131216764450073, 0.029399357736110687, 0.030827345326542854, 0.03108600527048111, 0.03011462837457657]",pca,8
54,bernoulli,2,0.0155,train_items_only_refit_v1,train_items_only,153,none,,8.0,441,0.3418620238203916,0.5982905982905983,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.062294986099004745, 0.06993457674980164, 0.0596640445291996, 0.0751589834690094, 0.07301989197731018, 0.07539478689432144, 0.0756697729229927, 0.07375436276197433, 0.06673730164766312, 0.07339336723089218, 0.06076514720916748, 0.06746135652065277, 0.07687582075595856, 0.07062413543462753, 0.07298232614994049, 0.0757841169834137, 0.07349269837141037, 0.0694589838385582, 0.07020843029022217, 0.08035830408334732, 0.07300116121768951, 0.07036025077104568, 0.08067482709884644, 0.07043346762657166, 0.059711430221796036, 0.06284808367490768, 0.06396178156137466, 0.07795192301273346, 0.07398268580436707, 0.07195791602134705]",pca,8
54,bernoulli,0,0.0155,train_items_only_refit_v1,train_items_only,1048,none,,6.0,3801,0.458959083671955,0.6420110192837466,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.023216860368847847, 0.020919740200042725, 0.020019564777612686, 0.02051704004406929, 0.02085777558386326, 0.021444713696837425, 0.021326912567019463, 0.024116462096571922, 0.01995093561708927, 0.018566487357020378, 0.02338499203324318, 0.026064496487379074, 0.021252574399113655, 0.020245971158146858, 0.02236301079392433, 0.021372374147176743, 0.01903178170323372, 0.02110365964472294, 0.019584136083722115, 0.026599731296300888, 0.025262828916311264, 0.02097180299460888, 0.019694680348038673, 0.022380882874131203, 0.02060210518538952, 0.02122359350323677, 0.02196219190955162, 0.022011619061231613, 0.021604157984256744, 0.02608371339738369]",pca,8
54,bernoulli,3,0.0155,train_items_only_refit_v1,train_items_only,1010,none,,8.0,3799,0.4171232245432901,0.6274894810659186,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.022674210369586945, 0.022823955863714218, 0.02133398875594139, 0.02304416336119175, 0.022427935153245926, 0.02302323468029499, 0.021300645545125008, 0.0261337012052536, 0.023859580978751183, 0.02427298203110695, 0.023980403319001198, 0.021998455747961998, 0.022475410252809525, 0.022288324311375618, 0.021954815834760666, 0.02348966896533966, 0.02236676774919033, 0.022948455065488815, 0.023997433483600616, 0.023540344089269638, 0.022296644747257233, 0.02277328073978424, 0.022852741181850433, 0.023543579503893852, 0.022635458037257195, 0.020866407081484795, 0.026637002825737, 0.02238617278635502, 0.023423805832862854, 0.02414029650390148]",pca,8
54,bernoulli,1,0.0155,train_items_only_refit_v1,train_items_only,1046,none,,6.0,3758,0.4622923126949674,0.6390520188969802,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.020126041024923325, 0.020888376981019974, 0.02485528402030468, 0.022250758484005928, 0.02009531855583191, 0.019330037757754326, 0.01761014200747013, 0.022743601351976395, 0.020453818142414093, 0.018789537250995636, 0.018479760736227036, 0.02191718854010105, 0.020893897861242294, 0.017965570092201233, 0.02017129585146904, 0.023342935368418694, 0.019240695983171463, 0.018135370686650276, 0.021152863278985023, 0.019322065636515617, 0.018717965111136436, 0.020252631977200508, 0.019939307123422623, 0.020076250657439232, 0.019712990149855614, 0.02181781642138958, 0.021395768970251083, 0.01871158741414547, 0.01925100013613701, 0.020366288721561432]",pca,8
54,bernoulli,8,0.0155,train_items_only_refit_v1,train_items_only,1046,none,,7.0,2942,0.4410322850124054,0.6315217391304347,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.026083923876285553, 0.024958575144410133, 0.025367997586727142, 0.02583567053079605, 0.02486136369407177, 0.023585569113492966, 0.028215989470481873, 0.02543792687356472, 0.025396067649126053, 0.022946573793888092, 0.025618676096200943, 0.02854365110397339, 0.029452700167894363, 0.02497599832713604, 0.028139978647232056, 0.026780717074871063, 0.02684597112238407, 0.023946473374962807, 0.023822005838155746, 0.027449237182736397, 0.028418678790330887, 0.026991436257958412, 0.025283947587013245, 0.027132714167237282, 0.02646210975944996, 0.02739257737994194, 0.02602875977754593, 0.02397625520825386, 0.028118742629885674, 0.027271196246147156]",pca,8
54,bernoulli,6,0.0155,train_items_only_refit_v1,train_items_only,157,none,,8.0,335,0.3246906591891375,0.5444444444444445,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.1319020390510559, 0.13327725231647491, 0.13681809604167938, 0.12865446507930756, 0.1345330774784088, 0.13715407252311707, 0.13098716735839844, 0.13307198882102966, 0.13321326673030853, 0.1364177018404007, 0.1381271928548813, 0.14043428003787994, 0.1423235535621643, 0.12751632928848267, 0.13468147814273834, 0.127724751830101, 0.1332280933856964, 0.14609289169311523, 0.1416608840227127, 0.12414902448654175, 0.12711898982524872, 0.1294361799955368, 0.13733838498592377, 0.13721323013305664, 0.133775532245636, 0.13861975073814392, 0.13852480053901672, 0.13488134741783142, 0.1274779587984085, 0.13002052903175354]",pca,8
54,bernoulli,5,0.0155,train_items_only_refit_v1,train_items_only,963,none,,6.0,1971,0.4362261141492869,0.6052876776147216,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.08136570453643799, 0.07730269432067871, 0.080989308655262, 0.08271656930446625, 0.0738750621676445, 0.08594170957803726, 0.08127589523792267, 0.07525325566530228, 0.08184526860713959, 0.09759829193353653, 0.0828121230006218, 0.08006393909454346, 0.07664584368467331, 0.07655438035726547, 0.06978705525398254, 0.09005947411060333, 0.076474629342556, 0.07553572952747345, 0.08051947504281998, 0.08018654584884644, 0.08024746924638748, 0.07791328430175781, 0.0784878209233284, 0.0931478887796402, 0.07027322798967361, 0.0834677666425705, 0.08336953818798065, 0.07532012462615967, 0.07726579159498215, 0.07967117428779602]",pca,8
54,bernoulli,16,0.0155,train_items_only_refit_v1,train_items_only,1040,none,,8.0,4632,0.3551179601232692,0.8316971164428791,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.016314199194312096, 0.014560245908796787, 0.016283530741930008, 0.01748618669807911, 0.015726452693343163, 0.016692500561475754, 0.01631355471909046, 0.01841900683939457, 0.017810475081205368, 0.0153767429292202, 0.01704222708940506, 0.01818041317164898, 0.014665729366242886, 0.01803366281092167, 0.017494363710284233, 0.015716401860117912, 0.013644566759467125, 0.015600874088704586, 0.01675446145236492, 0.014742236584424973, 0.014890627935528755, 0.015843519940972328, 0.01721469685435295, 0.01524750143289566, 0.01464879885315895, 0.015336720272898674, 0.018341805785894394, 0.016149288043379784, 0.018086912110447884, 0.016463354229927063]",pca,8
54,bernoulli,14,0.0155,train_items_only_refit_v1,train_items_only,1049,none,,7.0,2951,0.3470432148553582,0.7282396353375298,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02782547101378441, 0.030437134206295013, 0.028731204569339752, 0.028926147148013115, 0.030433684587478638, 0.026584113016724586, 0.026688579469919205, 0.028268227353692055, 0.030148444697260857, 0.02504066377878189, 0.026833759620785713, 0.027120500802993774, 0.03166772797703743, 0.028421461582183838, 0.02658306434750557, 0.02816203236579895, 0.02556394226849079, 0.02925596758723259, 0.027283962815999985, 0.028267936781048775, 0.03154173493385315, 0.02800438553094864, 0.03062705136835575, 0.028781358152627945, 0.025945156812667847, 0.02986973151564598, 0.0281179491430521, 0.02613835036754608, 0.02730722166597843, 0.02391849458217621]",pca,8
