seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.6282051282051282,0.3220435793615803
5,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,10,0.6968320521779641,0.4182099154623176
0,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.7150902969084787,0.4335161431770575
1,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.6716258189126407,0.4435266019730417
27,bernoulli,54,none,1.0,1.0,pca,none,,54,5.0,50,0.6951126091619428,0.4190745476705541
47,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,5,0.6921960072595281,0.4398594990649788
45,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7192513368983957,0.3786865462602642
41,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.7066326530612245,0.304657812383928
14,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7320020259026119,0.3469480630891485
6,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7999999999999999,0.2932049244378988
15,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.8363286264441592,0.3492740216134792
11,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.741685534591195,0.3919155545825552
3,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7066230325697367,0.3915586566964766
18,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7058654399079931,0.3535003237284428
32,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.6428396572827417,0.4487413606369909
7,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7958695652173913,0.3729153346281219
42,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.8452813067150635,0.3123090995395809
20,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.8270082226438963,0.3262405551624836
39,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.816554054054054,0.3463902621952394
17,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.6807071665875652,0.3845135206578602
31,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.726917586958155,0.3498872260219598
26,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.73786717752235,0.3860919187865911
43,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.673039923039923,0.38013602792912
30,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7275392370669622,0.3759558139376839
19,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7099705960973002,0.4399110739155464
28,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.6577073691705234,0.4573208795947322
38,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.6834282309322033,0.3984263923443085
23,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7817961866242957,0.3719919677913185
22,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7704918032786886,0.3932043745633831
46,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7680507497116494,0.3794367311394784
8,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.6735960144927536,0.4328925158630282
4,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7689969604863223,0.4096166785485966
9,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,20,0.6891824526420738,0.4237543032998752
34,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7518028846153846,0.3996829780817922
21,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7327472527472527,0.3871350022964727
10,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7737203616748807,0.3542427888108009
12,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.6645904336584793,0.4025324962067457
29,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.6831763748401349,0.3922092545695508
16,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,5,0.7425930002201189,0.3992644311856232
35,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.76832942751925,0.3862872751082549
33,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.6939347604485219,0.3928145650294975
36,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7139219015280136,0.4333088600449287
49,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7569160997732426,0.3811966014425361
37,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7193452380952381,0.3654485676229414
48,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5718632958801498,0.4755019284097936
44,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.6090476190476192,0.4759868052511069
40,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,20,0.765907207953604,0.3556666818739135
25,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.811111111111111,0.3745207107837145
24,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.715515350877193,0.4078805187108018
13,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.7226936676309869,0.3698966947241318
