seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
3,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7014492753623187,0.2506628041995987
6,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7999999999999999,0.2712186844279877
7,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7735869565217391,0.2501432187405024
2,beta,54,none,1.0,1.0,pca,none,,54,8.0,5,0.735042735042735,0.2968165063955132
1,beta,54,none,1.0,1.0,pca,none,,54,6.0,50,0.6610027927857385,0.3426935260360455
5,beta,54,none,1.0,1.0,pca,none,,54,6.0,20,0.7054507337526206,0.3771929793129741
10,beta,54,none,1.0,1.0,pca,none,,54,8.0,20,0.7759711280996547,0.2199056107789724
0,beta,54,none,1.0,1.0,pca,none,,54,6.0,50,0.706060606060606,0.3396171055228295
4,beta,54,none,1.0,1.0,pca,none,,54,8.0,20,0.7583586626139818,0.2875523814912805
14,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7429997829390059,0.2306846561008544
19,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7099705960973002,0.4384542854614278
43,beta,54,none,1.0,1.0,pca,none,,54,7.0,20,0.6924001924001923,0.2621982224901008
27,beta,54,none,1.0,1.0,pca,none,,54,5.0,50,0.6786885245901639,0.3251317738271393
12,beta,54,none,1.0,1.0,pca,none,,54,7.0,10,0.6907392172993301,0.235315122197145
46,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.763033448673587,0.2410297408213106
22,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7820417287630401,0.2454707570664724
38,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.6597259004237289,0.2602878140517106
34,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7696514423076923,0.3169040649108517
18,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.713464224102522,0.2093015563316002
26,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.7496807151979566,0.2625637646839655
11,beta,54,none,1.0,1.0,pca,none,,54,8.0,20,0.756930817610063,0.2421252647545174
8,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.6724637681159419,0.3518783316276659
42,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.8457350272232305,0.2063175892622548
30,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7316506381609524,0.2442707249180947
44,beta,54,none,1.0,1.0,pca,none,,54,7.0,20,0.6145238095238096,0.4705886859992442
47,beta,54,none,1.0,1.0,pca,none,,54,8.0,5,0.6981851179673322,0.3063702697482127
31,beta,54,none,1.0,1.0,pca,none,,54,7.0,5,0.7356697468259334,0.2414286476534781
35,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7576442361343599,0.2619458963618105
39,beta,54,none,1.0,1.0,pca,none,,54,8.0,10,0.8264864864864865,0.2276720877867561
45,beta,54,none,1.0,1.0,pca,none,,54,8.0,5,0.7326203208556149,0.2361883112430899
23,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7962588473205259,0.2431707342986689
15,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.8198973042362003,0.2307716415925826
41,beta,54,none,1.0,1.0,pca,none,,54,7.0,20,0.7077922077922078,0.2117179631292494
48,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5706928838951311,0.4750719210485125
28,beta,54,none,1.0,1.0,pca,none,,54,6.0,50,0.6452919188323247,0.3687960919167951
32,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.641860465116279,0.4477752214556128
9,beta,54,none,1.0,1.0,pca,none,,54,6.0,20,0.6712362911266202,0.3593293865944915
16,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7465771516618974,0.2321124461383953
24,beta,54,none,1.0,1.0,pca,none,,54,7.0,50,0.7019188596491229,0.2590895581580949
13,beta,54,none,1.0,1.0,pca,none,,54,7.0,10,0.6932819029251045,0.2404160626639101
29,beta,54,none,1.0,1.0,pca,none,,54,7.0,10,0.6955005231949773,0.2701599556143119
40,beta,54,none,1.0,1.0,pca,none,,54,8.0,20,0.7590720795360397,0.2316199581325235
33,beta,54,none,1.0,1.0,pca,none,,54,8.0,5,0.7079146643366827,0.2566373659388574
49,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7482993197278911,0.249475330902004
36,beta,54,none,1.0,1.0,pca,none,,54,8.0,5,0.7113752122241087,0.2958608294970768
20,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.851201771030993,0.2027111514246166
25,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.8162162162162162,0.2696164728964158
17,beta,54,none,1.0,1.0,pca,none,,54,7.0,10,0.701827242524917,0.2580008252430071
37,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7405357142857143,0.2312489815637999
21,beta,54,none,1.0,1.0,pca,none,,54,8.0,50,0.7053846153846154,0.25859439653851685
