seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,5,2,0.4871794871794871,0.3597911415619029
0,bernoulli,54,none,1.0,1.0,sae,none,,54,6.0,50,2,0.7079583715947352,0.435347746759176
1,bernoulli,54,none,1.0,1.0,sae,none,,54,6.0,50,2,0.6512410931015582,0.4469654291863448
6,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,20,2,0.7888888888888889,0.3017328863126456
4,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7610942249240121,0.4084494545667586
8,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6549365942028985,0.4357930159322527
5,bernoulli,54,none,1.0,1.0,sae,none,,54,6.0,50,2,0.6835546238061961,0.4163506461802627
41,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6187384044526901,0.3072958948631132
27,bernoulli,54,none,1.0,1.0,sae,none,,54,5.0,50,2,0.6810785965987436,0.4205317304854657
45,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,20,2,0.6341354723707664,0.382788073480551
12,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6181396168762487,0.4021595097889235
32,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,10,2,0.6047735618115055,0.4717316213887967
14,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.7023732002025903,0.3498178638253535
47,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6370235934664246,0.4215770304941963
20,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.8045540796963947,0.3275925994593751
28,bernoulli,54,none,1.0,1.0,sae,none,,54,6.0,50,2,0.6307404770380919,0.4616548161529252
16,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7233546114902047,0.3881646493571596
15,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,20,2,0.72798459563543,0.3670386560568986
48,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,20,2,0.5252808988764045,0.4942953297286571
18,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,20,2,0.6924751499219585,0.3601389725651472
17,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.5895823445657333,0.3873364110930795
21,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6935164835164834,0.3959912206912037
36,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6711941143180532,0.4383095506040959
7,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7419565217391305,0.3817017068075706
9,bernoulli,54,none,1.0,1.0,sae,none,,54,6.0,50,2,0.6463609172482552,0.4311998455626347
3,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,20,2,0.6593423718248402,0.4054274668468712
11,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7031949685534592,0.4017450081171519
42,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.677404718693285,0.3359469146296432
26,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,20,2,0.7318007662835249,0.3844944923251961
30,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6957384433877944,0.3822819867931142
31,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6562241754939524,0.3584875261139754
39,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,10,2,0.7553378378378379,0.3570224635672851
29,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6215556330659225,0.3964584417271161
33,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6666848696665211,0.393400971562922
44,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.5630952380952381,0.481933918404977
43,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,20,2,0.5687229437229437,0.3964649815819659
22,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7282573983393655,0.4030517718614181
40,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6848384424192212,0.3743025532584176
46,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6942906574394464,0.3940297707163764
38,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6275489936440678,0.4035407657675599
49,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,10,2,0.691156462585034,0.4006074085926052
19,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,20,2,0.7404437316225607,0.4301178597675474
23,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.7174454716163513,0.3832792628377104
37,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.7494047619047619,0.360730475962098
34,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.6474158653846154,0.4173269781629434
24,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,20,2,0.6221217105263159,0.4261334738488904
35,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,50,2,0.7451177323959381,0.3930852849940316
10,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,50,2,0.6664208933214326,0.3681508069472644
13,bernoulli,54,none,1.0,1.0,sae,none,,54,7.0,5,2,0.6095789135326262,0.4119319624287702
25,bernoulli,54,none,1.0,1.0,sae,none,,54,8.0,10,2,0.7399399399399399,0.382007394525599
