seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
0,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.5740434649525559,0.488056421017095,30,2,30,2,2.0
2,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,5,0.6324786324786325,0.3626727268169054,9,2,30,2,2.0
1,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.6064260172787304,0.4707030458568965,23,2,30,2,2.0
4,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.5006079027355623,0.497705724224194,25,2,30,2,2.0
3,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,20,0.6393641888733054,0.4111901286351805,2,2,30,2,2.0
5,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.5064640111809924,0.4986233086881262,23,2,30,2,2.0
6,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,10,0.9,0.3248927338270791,2,2,30,2,2.0
7,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.5928260869565218,0.4200758540819482,5,2,30,2,2.0
27,bernoulli,54,none,1.0,1.0,pca,none,,54,5.0,50,0.5438792707216179,0.4936206328246418,5,2,30,2,2.0
41,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.5947356215213359,0.4936408429263511,19,2,30,2,2.0
45,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.303475935828877,0.4905262720186318,18,2,30,2,2.0
47,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.4459165154264973,0.4569468950201386,26,2,30,2,2.0
14,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.4930902250198972,0.4253773129344545,21,2,30,2,2.0
32,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5988984088127295,0.4550494565651795,4,2,30,2,2.0
20,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.5028462998102466,0.4931466127839924,26,2,30,2,2.0
8,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5896512681159419,0.4518438677002407,7,2,30,2,2.0
15,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.6413350449293966,0.4124345626368051,13,2,30,2,2.0
28,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,20,0.5434763260946955,0.4987352737365597,14,2,30,2,2.0
9,bernoulli,54,none,1.0,1.0,pca,none,,54,6.0,50,0.5998504486540379,0.4963646096741784,19,2,30,2,2.0
17,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5035595633602277,0.4656170095487774,8,2,30,2,2.0
18,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.596894767107533,0.4613363512357132,24,2,30,2,2.0
11,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.6081006289308176,0.4352621336620037,20,2,30,2,2.0
16,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.4965441338322694,0.443193883720518,22,2,30,2,2.0
31,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.5144992863045601,0.4100451909432477,2,2,30,2,2.0
39,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.5655405405405405,0.418290504606834,23,2,30,2,2.0
43,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,10,0.4662097162097163,0.452605377066881,6,2,30,2,2.0
19,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.7102379043036621,0.4627985963400768,8,2,30,2,2.0
21,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.6048351648351649,0.4309644278784719,14,2,30,2,2.0
23,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.5778203091145457,0.4412432344258376,23,2,30,2,2.0
12,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5951345634034552,0.4758096282463444,19,2,30,2,2.0
36,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.4518958687040181,0.490113976880709,28,2,30,2,2.0
35,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,50,0.5629394040843656,0.4401261664615895,4,2,30,2,2.0
42,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.4373865698729582,0.489360151418839,17,2,30,2,2.0
48,bernoulli,54,none,1.0,1.0,pca,none,,54,7.0,20,0.5685861423220974,0.4787425067753447,28,2,30,2,2.0
33,bernoulli,54,none,1.0,1.0,pca,none,,54,8.0,50,0.5416484636668123,0.4347841058386547,14,2,30,2,2.0
