seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4576469577771961,0.590205081114172,0.4225267215325558,0.7413842124953236
5,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4455707871791028,0.5267295597484276,0.4428210918963246,0.5593095742178311
3,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4111901286351805,0.6393641888733054,0.2993958509347546,0.936993006993007
0,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4576908470717995,0.6129629629629628,0.4202778394227291,0.7408903853348298
2,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4872639396311726,0.2393162393162393,0.4854149729026528,0.9332365747460089
5,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4467093327354569,0.5852550663871419,0.4436511453473386,0.5936544342507646
4,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4977340164386857,0.4899696048632218,0.4974398934653865,0.6651908396946564
3,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4131963054853713,0.6367149758454107,0.2997103365569509,0.9321853146853148
0,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4624411416619935,0.5621824303642485,0.4301465963104162,0.7230901608679386
2,bernoulli,54,none,1.0,1.0,raw,none,,3,0.3399564183577049,0.7435897435897435,0.2716880555718715,0.9622641509433962
5,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4519380446599422,0.5278942464477054,0.447348507860193,0.6129440131733709
1,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4561464597191451,0.6118810847493018,0.4314533362413133,0.6806992284699291
4,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4977294658418195,0.4656534954407294,0.4974577467433773,0.6071755725190839
3,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4213127699023362,0.6280504908835906,0.3025527655476208,0.9321153846153848
7,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4185892294667757,0.5784782608695652,0.3540195435325934,0.8571676702176934
0,bernoulli,54,none,1.0,1.0,raw,none,,5,0.4604905110975166,0.549862258953168,0.4247480508165726,0.7186681631126077
5,bernoulli,54,none,1.0,1.0,raw,none,,5,0.4537934601412965,0.5285348241323085,0.4486430086032621,0.6023582686426724
2,bernoulli,54,none,1.0,1.0,raw,none,,4,0.351898837798146,0.641025641025641,0.27647853266312,0.9666182873730044
1,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4562170487092624,0.5870853235194321,0.4305652496398494,0.6878511400804395
9,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4945899217461892,0.5806580259222334,0.4942289582560145,0.5486210744460386
7,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4162943627083696,0.6130434782608696,0.3482744742171215,0.8677628531727652
3,bernoulli,54,none,1.0,1.0,raw,none,,5,0.42045437074114,0.6046439146018389,0.3036376275883503,0.933444055944056
4,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4912037934225535,0.50790273556231,0.4900458835995226,0.6432061068702289
5,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4708176627828713,0.4851502445842068,0.4658396015132219,0.579157845212891
2,bernoulli,54,none,1.0,1.0,raw,none,,5,0.358447890027158,0.5726495726495726,0.2761477350586562,0.9637155297532656
1,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4567101157302444,0.5707070707070707,0.4274094100526292,0.6769433011471229
0,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4643392951146272,0.5510407101316193,0.4328148177322412,0.7406359895248784
9,bernoulli,54,none,1.0,1.0,raw,none,,3,0.494590900915473,0.6011216350947158,0.4942045057416706,0.5897364365800521
7,bernoulli,54,none,1.0,1.0,raw,none,,4,0.420397289757109,0.6156521739130436,0.3390984639198804,0.8738420565076425
3,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4183263763891588,0.6241234221598877,0.3067108001106238,0.9062587412587412
2,bernoulli,54,none,1.0,1.0,raw,none,,6,0.3566870092038002,0.9230769230769232,0.2819351354807238,0.9608127721335268
5,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4534544897807187,0.545888655951549,0.4483889835975126,0.5803046342037168
4,bernoulli,54,none,1.0,1.0,raw,none,,5,0.497732953638536,0.4673252279635258,0.4974622698714734,0.5790076335877863
1,bernoulli,54,none,1.0,1.0,raw,none,,5,0.4572432425746835,0.6058779004515439,0.427089780278122,0.6898543013192695
0,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4604060455178886,0.6115855524946434,0.4217787032250101,0.7196258885147774
7,bernoulli,54,none,1.0,1.0,raw,none,,5,0.4200758540819482,0.5928260869565218,0.3465714729014308,0.889821676702177
9,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4981684966343544,0.5389082751744766,0.4980289231599235,0.4988309687018439
3,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4247492962382898,0.6201340190119994,0.3047163778460552,0.9048426573426576
2,bernoulli,54,none,1.0,1.0,raw,none,,7,0.3657116143427613,0.6068376068376069,0.2777960138825207,0.9608127721335268
27,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4936125576086584,0.5417343343036617,0.4922384508191416,0.5098545322601926
5,bernoulli,54,none,1.0,1.0,raw,none,,8,0.4583595243108808,0.5400069881201957,0.4520597927128995,0.5320218772053635
4,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4547581509629832,0.5620060790273556,0.4381988087463814,0.623206106870229
45,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4936151084855517,0.4244652406417112,0.4926784579579557,0.6104725415070242
41,bernoulli,54,none,1.0,1.0,raw,none,,2,0.3990845755234288,0.5629638218923934,0.4076399134692187,0.5537041784157908
7,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4943470128091153,0.5290760869565218,0.4908946177246798,0.8716998610467809
0,bernoulli,54,none,1.0,1.0,raw,none,,8,0.4608236107510544,0.6101010101010101,0.4185521163541045,0.7389450056116723
3,bernoulli,54,none,1.0,1.0,raw,none,,8,0.427451314412585,0.6302945301542777,0.3040025053595528,0.9221678321678322
1,bernoulli,54,none,1.0,1.0,raw,none,,6,0.4587007336056991,0.5863675514838306,0.428984569910075,0.7311382024757822
9,bernoulli,54,none,1.0,1.0,raw,none,,5,0.4981700670060959,0.5264207377866401,0.4980318852581121,0.5591025027897337
47,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4447405806632749,0.4475499092558984,0.4305081247367173,0.717906517445688
2,bernoulli,54,none,1.0,1.0,raw,none,,8,0.355211814833478,0.8888888888888888,0.2825563872869461,0.965166908563135
27,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4983691051996596,0.4675348552167917,0.4979939301716443,0.4474122575537669
4,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4560175519114687,0.4048632218844984,0.4387497422633269,0.6129770992366412
5,bernoulli,54,none,1.0,1.0,raw,none,,9,0.459026334751969,0.5601560680177032,0.4525542775684568,0.5122912255939779
45,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4783259736080845,0.6452762923351159,0.474913511433216,0.5833971902937419
14,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4079107853046925,0.5164242818898778,0.323436298460272,0.8659113724365409
41,bernoulli,54,none,1.0,1.0,raw,none,,3,0.3891788990288826,0.585343228200371,0.4036265727544429,0.5849782107152013
7,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4237536879184898,0.5328260869565218,0.351008370581556,0.8784738304770727
0,bernoulli,54,none,1.0,1.0,raw,none,,9,0.4617347127152797,0.6031374349556168,0.4225716842975808,0.7423643845866069
3,bernoulli,54,none,1.0,1.0,raw,none,,9,0.4283279237362299,0.6347514414835593,0.30539428213003,0.928916083916084
1,bernoulli,54,none,1.0,1.0,raw,none,,7,0.4584070836321687,0.61101975830658,0.4274203571786986,0.6873816491650886
9,bernoulli,54,none,1.0,1.0,raw,none,,6,0.491116524149166,0.6128364905284147,0.4905638328618705,0.5443434826505128
47,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4409476742290458,0.4577132486388384,0.4326587424545711,0.6366030283080975
2,bernoulli,54,none,1.0,1.0,raw,none,,9,0.3626727268169054,0.6324786324786325,0.2848673755140976,0.9724238026124818
27,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4820253850991243,0.5487360196108473,0.4788076794043938,0.5404241984430664
4,bernoulli,54,none,1.0,1.0,raw,none,,8,0.4699675800170174,0.5889057750759878,0.4632247974037288,0.5800000000000001
32,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4524845167798888,0.6132190942472461,0.4576718169560649,0.6616699539776463
5,bernoulli,54,none,1.0,1.0,raw,none,,10,0.4986217696285346,0.478977405078034,0.4984804248563027,0.5751293813220418
10,bernoulli,54,none,1.0,1.0,raw,none,,2,0.3928701918001605,0.5543482478947571,0.2627890890991114,0.9433380749170224
14,bernoulli,54,none,1.0,1.0,raw,none,,3,0.4103870469102005,0.5105636350481152,0.3251508275670151,0.8638677757062957
20,bernoulli,54,none,1.0,1.0,raw,none,,2,0.4447371631107787,0.5939278937381404,0.4206894534979103,0.7704367301231804
45,bernoulli,54,none,1.0,1.0,raw,none,,4,0.496792128987625,0.642602495543672,0.4963210779017322,0.6514687100893998
41,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4126934775416845,0.5102040816326531,0.4165683173297843,0.6046312911219345
7,bernoulli,54,none,1.0,1.0,raw,none,,8,0.4971560121416154,0.437554347826087,0.4953990638012947,0.815829087540528
3,bernoulli,54,none,1.0,1.0,raw,none,,10,0.4303378991503591,0.6113448652018078,0.309657003496689,0.9092657342657342
0,bernoulli,54,none,1.0,1.0,raw,none,,10,0.4688538277396052,0.6044842363024181,0.432392587333276,0.739618406285073
1,bernoulli,54,none,1.0,1.0,raw,none,,8,0.4596234356954978,0.5981259624670477,0.4297470918427177,0.6802923363432918
47,bernoulli,54,none,1.0,1.0,raw,none,,4,0.4423840082754517,0.4813067150635209,0.4322144676891628,0.6394009216589862
