n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,0,0.0159,train_items_only_refit_v1,train_items_only,1057,none,,32.0,11069,0.4141900747727733,0.69320251102166,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.011055861599743366, 0.009352369233965874, 0.008279071189463139, 0.0068589854054152966, 0.010814025066792965, 0.012364905327558517, 0.00951619353145361, 0.00622012373059988, 0.008271411061286926, 0.00961016770452261, 0.008382812142372131, 0.010334144346415997, 0.009927514009177685, 0.00727971363812685, 0.01129619125276804, 0.005392744671553373, 0.005001001991331577, 0.011129100807011127, 0.01064351387321949, 0.005065763369202614, 0.007784986402839422, 0.010762801393866539, 0.011729790829122066, 0.008440938778221607, 0.007559330202639103, 0.005315775517374277, 0.008206511847674847, 0.010395917110145092, 0.0071380953304469585, 0.01631244644522667]",sae,35
54,bernoulli,1,0.0159,train_items_only_refit_v1,train_items_only,1057,none,,32.0,11021,0.419111010099816,0.6575595606207851,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.00622469512745738, 0.007818838581442833, 0.006563893519341946, 0.005028801038861275, 0.004930999595671892, 0.004688558168709278, 0.009375125169754028, 0.007785591762512922, 0.006477980874478817, 0.006051758304238319, 0.01056348904967308, 0.010653811506927013, 0.003288090694695711, 0.004540229681879282, 0.0052944659255445, 0.007519305218011141, 0.007765129674226046, 0.006710499059408903, 0.006352197844535112, 0.004500159993767738, 0.007563789840787649, 0.005466511473059654, 0.0031859020236879587, 0.005012227222323418, 0.00632994482293725, 0.006828220095485449, 0.005907977465540171, 0.004380236379802227, 0.005812875926494598, 0.008656168356537819]",sae,35
54,bernoulli,4,0.0159,train_items_only_refit_v1,train_items_only,1056,none,,32.0,11039,0.4182776085371239,0.6109336893491485,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.014712094329297543, 0.015879103913903236, 0.019111555069684982, 0.01489623636007309, 0.014258328825235367, 0.014965626411139965, 0.02031959593296051, 0.01413306687027216, 0.01566128060221672, 0.013168975710868835, 0.015136987902224064, 0.017052587121725082, 0.01614428125321865, 0.01825316622853279, 0.015264583751559258, 0.0165901780128479, 0.017424140125513077, 0.02158038318157196, 0.015276964753866196, 0.015081328339874744, 0.01329340972006321, 0.015854639932513237, 0.01631562039256096, 0.014595775865018368, 0.01711486093699932, 0.013527351431548595, 0.015420141629874706, 0.01335807517170906, 0.014474320225417614, 0.014790431596338749]",sae,35
54,bernoulli,2,0.0159,train_items_only_refit_v1,train_items_only,1056,none,,32.0,11016,0.399168913953716,0.6533943978538802,26,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29]","[0.0011748088290914893, 0.003697843523696065, 0.004194422625005245, 0.0029963403940200806, 0.0, 0.005245203152298927, 0.001985854934900999, 0.0, 0.0016428654780611396, 0.0013657183153554797, 0.003039759583771229, 0.0031853197142481804, 0.003436109982430935, 0.001488717389293015, 0.003315974725410342, 0.0014330943813547492, 0.004051173105835915, 0.0019200376700609922, 0.003950545098632574, 0.006655660457909107, 0.00044131759204901755, 0.00475340848788619, 0.0035316545981913805, 0.0010095563484355807, 0.0, 0.006322805769741535, 0.004876517690718174, 0.0038379968609660864, 0.002031812909990549, 0.001991951372474432]",sae,35
54,bernoulli,5,0.0159,train_items_only_refit_v1,train_items_only,1056,none,,32.0,11022,0.4311488530502627,0.5553843008351289,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.012284893542528152, 0.007239990867674351, 0.011208306066691875, 0.01143952552229166, 0.012981688603758812, 0.007496784906834364, 0.008088352158665657, 0.011102478951215744, 0.009911341592669487, 0.012861422263085842, 0.01313898153603077, 0.011394419707357883, 0.008458963595330715, 0.011085770092904568, 0.012812095694243908, 0.010613854043185711, 0.01049106102436781, 0.010087628848850727, 0.01308212336152792, 0.008832420222461224, 0.010000642389059067, 0.00898927915841341, 0.010468553751707077, 0.008626578375697136, 0.010952846147119999, 0.006842391565442085, 0.011573138646781445, 0.009354731999337673, 0.009637193754315376, 0.008206416852772236]",sae,35
54,bernoulli,3,0.0159,train_items_only_refit_v1,train_items_only,1057,none,,32.0,11003,0.3994435343793164,0.6611759142496847,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.005654006730765104, 0.008423526771366596, 0.009877831675112247, 0.008710981346666813, 0.006478082854300737, 0.00450298422947526, 0.010064962320029736, 0.007937169633805752, 0.004074507392942905, 0.00812096893787384, 0.009116960689425468, 0.003786267014220357, 0.01035312283784151, 0.007271667942404747, 0.008137366734445095, 0.005135675892233849, 0.0036753551103174686, 0.0030840621329844, 0.008418196812272072, 0.006990788504481316, 0.009303879924118519, 0.008142739534378052, 0.00893727783113718, 0.004386215005069971, 0.007045038975775242, 0.006359959486871958, 0.007890963926911354, 0.00869525596499443, 0.004463972523808479, 0.0041919066570699215]",sae,35
54,bernoulli,6,0.0159,train_items_only_refit_v1,train_items_only,1056,none,,32.0,10993,0.4133534027746759,0.6665374343068837,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.009649519808590412, 0.0044735269621014595, 0.0049735973589122295, 0.00645675091072917, 0.006723803002387285, 0.005678182002156973, 0.003910417202860117, 0.007409337908029556, 0.006455123424530029, 0.0058226995170116425, 0.00700641144067049, 0.0024071449879556894, 0.005828313063830137, 0.0035389887634664774, 0.008735292591154575, 0.005290708038955927, 0.008687936700880527, 0.009774119593203068, 0.007256843615323305, 0.004885698202997446, 0.008030598051846027, 0.008902657777071, 0.0037454653065651655, 0.012001418508589268, 0.006243149749934673, 0.009235979057848454, 0.0021630858536809683, 0.006420784164220095, 0.006834801286458969, 0.001213979790918529]",sae,35
54,bernoulli,14,0.0159,train_items_only_refit_v1,train_items_only,1057,none,,32.0,11030,0.3854774435769323,0.681978173661735,3,"[15, 18, 21]","[0.0, 0.0005051210173405707, 0.0, 0.0, 0.0007941610529087484, 0.0005888745654374361, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0020983119029551744, 0.0005312151624821126, 0.0, 0.003501418512314558, 0.000629012007266283, 0.0, 0.0015267940470948815, 0.0, 0.0001784490013960749, 0.0, 0.0, 0.00023618785780854523, 0.0, 0.0, 0.0]",sae,35
54,bernoulli,13,0.0159,train_items_only_refit_v1,train_items_only,1057,none,,32.0,11016,0.4228086912345899,0.6568551315515097,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.013789821416139603, 0.01634247787296772, 0.014881730079650879, 0.015207777731120586, 0.014054293744266033, 0.01163472793996334, 0.011086151003837585, 0.012178895063698292, 0.011951416730880737, 0.012361994944512844, 0.012184333987534046, 0.015490662306547165, 0.016837699338793755, 0.011768092401325703, 0.011554998345673084, 0.014332994818687439, 0.012381811626255512, 0.016964823007583618, 0.014562932774424553, 0.015481775626540184, 0.012858239933848381, 0.012502401135861874, 0.013851480558514595, 0.013209654949605465, 0.015550763346254826, 0.015328295528888702, 0.014435590244829655, 0.013583309017121792, 0.01138364989310503, 0.013560814782977104]",sae,35
54,bernoulli,15,0.0159,train_items_only_refit_v1,train_items_only,1056,none,,32.0,11032,0.3996595453741968,0.671113703190688,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.005145051050931215, 0.008484594523906708, 0.010046317242085934, 0.005333579611033201, 0.001971313962712884, 0.006208763457834721, 0.006113605573773384, 0.005371532868593931, 0.00470507750287652, 0.005413359496742487, 0.0013621295802295208, 0.005770695861428976, 0.004878454841673374, 0.008246802724897861, 0.0018308729631826282, 0.007700702175498009, 0.007327910978347063, 0.006333979312330484, 0.00420268252491951, 0.004423152189701796, 0.006289777345955372, 0.0028076316229999065, 0.0059037888422608376, 0.005912527441978455, 0.0077565619722008705, 0.008584205992519855, 0.00761225912719965, 0.0047326963394880295, 0.00876448955386877, 0.005764578934758902]",sae,35
