seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
3,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6900299495586382,0.3938779804597591
1,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6831930824277763,0.4106340078123581
0,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7561298000127787,0.3970359948785625
4,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7048342132280436,0.3969195378461509
5,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6674091345170878,0.4046368298420178
7,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7318183717820127,0.3749076212903784
2,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7930512925860583,0.3733156244762547
11,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7121121604129806,0.3939398686227184
27,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7339200734810875,0.3896711720500387
23,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7514417776270037,0.3980355198431906
36,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.6975778035417945,0.4046792695964916
35,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7625713094120976,0.3856597812368204
39,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7620655008523465,0.3922049613500228
43,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7269397949566945,0.4112313485481527
15,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7586632159607299,0.384948532082667
19,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7381928820284985,0.3689351594900123
47,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7046612906041089,0.3853961406431384
31,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7513357966633075,0.3698619475760897
8,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6966359196961477,0.3945755319955383
14,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7623301557175516,0.3719095198052659
26,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6971247071001406,0.4124724429491456
42,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7654266389177939,0.3791956042506257
46,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7575111617744847,0.3893605174743603
30,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7200637755102041,0.3817639685512777
18,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7150896118236644,0.3827414544021753
22,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7232952240457311,0.4026320822423591
21,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6940840184994861,0.3777002826126552
38,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.6833069591138262,0.4029752164738235
6,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7347380172884179,0.3971271472340938
41,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7199601850802457,0.3691199766166677
10,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7398597761812123,0.388629815207681
34,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7119345185706741,0.3843447324419387
12,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7000199028739749,0.3955291553908103
16,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7120840942496993,0.4006843977828748
24,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7195055054655708,0.4210237639520542
20,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7742745853032444,0.3727442927291389
49,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7312913744819934,0.3906425281406738
29,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7257954990459844,0.3907867287576242
44,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6906793842034805,0.3814268530594667
37,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7196326359142092,0.3960326868123145
48,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.732443370140453,0.3697547244930137
40,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7219380184872684,0.3780814169365084
32,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6975582258765575,0.3779033286984007
28,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.718466097399306,0.4121155037808397
33,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6665834360710998,0.4102452862693668
9,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7017068575068115,0.3890668118096227
13,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7522686253784039,0.3986052365743345
45,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6993730636048843,0.4074590554466809
25,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7635134154921914,0.3989410584231453
17,bernoulli,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7163189681132265,0.3851806609676071
