seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7954378841707552,0.2585366223437716
10,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7484099620548182,0.2778055081168842
3,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6772816834804539,0.2784325089098294
7,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7281176863925108,0.2674023684475933
1,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6907964484495097,0.293258866668765
5,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6648396583992576,0.2794039594332173
4,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7150886049238935,0.2774216851352223
0,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7535540860008945,0.2825791028137417
23,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.75895713988327,0.2783748506349489
6,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7244299417018465,0.2799850335761912
8,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7094217502519184,0.274746811878635
28,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7185706639443918,0.2925574148918231
16,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7133498136682851,0.278549528265413
43,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7248076599190865,0.2826891872643252
18,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7211968062515927,0.2697222074672246
27,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7217695639435906,0.272983091705836
26,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.709010858121258,0.282221770988366
40,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7156397684440843,0.2839195266625677
46,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7507324023938443,0.2802062535592836
19,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7315951357047248,0.2680089364350035
35,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7582815734989647,0.2757481628107757
39,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7597022620109356,0.2844037224862981
15,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7526791572501276,0.2746253371178038
31,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7521039077370955,0.2698010462648735
42,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7767789962378931,0.2639095506749648
22,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7338521113774663,0.2899180843935018
47,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7190483671082719,0.2807098738859428
38,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6846420261943024,0.2888425041418663
30,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7306590136054423,0.2706534754372288
11,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7119360002450924,0.2802486741028659
14,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7570331708579563,0.2736843357412876
34,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7266284440197484,0.2760946729738517
12,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7117028898973012,0.2781514374886972
33,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6477824248193637,0.3024741623421138
48,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7134080462927357,0.2712465795397993
32,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7096674876847291,0.2701174953235519
24,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7199559828718848,0.2865582970838264
17,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.716636832067454,0.2717982063140238
20,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7790247112150899,0.269530047538397
36,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.712973697969947,0.2762187788439262
44,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.6972162152885045,0.2739652717398253
41,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.712894022341689,0.2827828017601244
37,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.737668884704541,0.2771081192121505
45,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6969272826681246,0.2827898891114514
9,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.7038321361593716,0.2824547449086483
29,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.7189611644822903,0.2841314294484515
49,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7317801311906037,0.2738184999306199
25,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7658146130578908,0.2819708355261355
21,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.6829233042137719,0.2687628199602439
13,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.7433325423704439,0.2677611400359753
